id,map_monster_group,server_open_day
1,11,1
2,112,41
3,114,47
4,113,53
5,112,59
6,114,65
7,113,71
8,112,78
9,114,85
10,113,92
11,112,99
12,114,106
13,113,113
14,112,120
15,114,127
16,113,134
17,112,141
18,114,148
19,113,155
20,112,162
21,114,169
22,113,176
23,112,183
24,114,190
25,113,197
26,112,204
27,114,211
28,113,218
29,112,225
30,114,232
31,113,239
32,112,246
33,114,253
34,113,260
35,112,267
36,114,274
37,113,281
38,112,288
39,114,295
40,113,302
41,112,309
42,114,316
43,113,323
44,112,330
45,114,337
46,113,344
47,112,351
48,114,358
49,113,365
50,112,372
51,114,379
52,113,386
53,112,393
54,114,400
55,113,407
56,112,414
57,114,421
58,113,428
59,112,435
60,114,442
61,113,449
62,112,456
63,114,463
64,113,470
65,112,477
66,114,484
67,113,491
68,112,498
69,114,505
70,113,512
71,112,519
72,114,526
73,113,533
74,112,540
75,114,547
76,113,554
77,112,561
78,114,568
79,113,575
80,112,582
81,114,589
82,113,596
83,112,603
84,114,610
85,113,617
86,112,624
87,114,631
88,113,638
89,112,645
90,114,652
91,113,659
92,112,666
93,114,673
94,113,680
95,112,687
96,114,694
97,113,701
98,112,708
99,114,715
100,113,722
101,112,729
102,114,736
103,113,743
104,112,750
105,114,757
106,113,764
107,112,771
108,114,778
109,113,785
110,112,792
111,114,799
112,113,806
113,112,813
114,114,820
115,113,827
116,112,834
117,114,841
118,113,848
119,112,855
120,114,862
121,113,869
122,112,876
123,114,883
124,113,890
125,112,897
126,114,904
127,113,911
128,112,918
129,114,925
130,113,932
131,112,939
132,114,946
133,113,953
134,112,960
135,114,967
136,113,974
137,112,981
138,114,988
139,113,995
