id,dropReward,build_prefab,cab_score,desc,drop_show,first_drop_client,first_reward,gather_speed,gather_time,iconSrc,iconType,is_visible,kvk_honor,level,lifetime,load_factor,map_instance,map_stage,map_zoom_icon,model,model_unlock,name,need_level,new_ui_banner,resource_type,reward,reward_time,scale_para,show_group,show_need_level,storage,tech_detail,x_para,y_para
101,6101,1,-1,map_resource_desc_101,6101,7331,7331,6,4,gather_res_4,2,1,-1,1,1800,5,20001,24101,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,18000,-1,0,0
102,6101,1,-1,map_resource_desc_101,6101,7332,7332,9,4,gather_res_4,2,1,-1,2,1800,5,20002,24102,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,90000,-1,0,0
103,6101,1,-1,map_resource_desc_101,6101,7333,7333,12,4,gather_res_4,2,1,-1,3,1800,5,20003,24103,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,180000,-1,0,0
104,6101,1,-1,map_resource_desc_101,6101,7334,7334,15,4,gather_res_4,2,1,-1,4,1800,5,20004,24104,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,360000,-1,0,0
105,6101,1,-1,map_resource_desc_101,6101,7335,7335,18,4,gather_res_4,2,1,-1,5,1800,5,20005,24105,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,720000,-1,0,0
106,6101,1,-1,map_resource_desc_101,6101,7336,7336,21,4,gather_res_4,2,1,-1,6,1800,5,20006,24106,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,1080000,-1,0,0
107,6101,1,-1,map_resource_desc_101,6101,7337,7337,24,4,gather_res_4,2,1,-1,7,1800,5,20007,24107,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,1260000,-1,0,0
108,6101,1,-1,map_resource_desc_101,6101,7338,7338,27,4,gather_res_4,2,1,-1,8,1800,5,20008,24108,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,1440000,-1,0,0
109,6101,1,-1,map_resource_desc_101,6101,7339,7339,30,4,gather_res_4,2,1,-1,9,1800,5,20009,24109,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,1620000,-1,0,0
110,6101,1,-1,map_resource_desc_101,6101,7340,7340,36,4,gather_res_4,2,1,-1,10,1800,5,20010,24110,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,3,1,1800000,-1,0,0
