id,atk_death_rate,atk_injury_rate,atk_serious_injury_rate,enemy_birth,fight_type,forbid_skip,hero_birth,map,map_stage_wave,pos_relative,report_icon,stage_time,switch_downgrade,switch_rebirth,switch_resetting,switch_troop_morale,switch_water_morale,team_castle_level,team_level,team_power,troop_morale_skill,type,water,wave_max,waveList
100000,-1,-1,-1,204,-1,-1,203,10005,[1],,,120,0,0,0,-1,-1,0,0,-1,,3,-1,1,[1]
100001,-1,-1,-1,204,-1,-1,203,10009,[2],,,90,0,0,0,-1,-1,0,0,-1,,2,-1,1,[2]
100002,-1,-1,-1,204,-1,-1,203,10009,[3],,,90,0,0,0,-1,-1,0,0,-1,,2,-1,1,[3]
100003,-1,-1,-1,204,-1,-1,203,10009,[6],,,90,0,0,0,-1,-1,0,0,-1,,2,-1,1,[6]
100004,-1,-1,-1,204,-1,-1,203,10009,[4],,,120,0,0,0,-1,-1,0,0,-1,,2,-1,1,[4]
100005,-1,-1,-1,204,-1,-1,203,10005,[5],,,120,0,0,0,-1,-1,0,0,-1,,3,-1,1,[5]
100006,-1,-1,-1,204,-1,-1,203,807,[7],,,120,0,0,0,-1,-1,5,0,30000,,4,-1,1,[7]
100007,-1,-1,-1,402,-1,-1,401,20016,[7],,,120,0,0,0,-1,-1,5,0,30000,,6,-1,1,[7]
1,-1,-1,-1,1014,-1,-1,203,10006,[101],,,60,0,0,0,-1,-1,2,10,30000,,1,-1,1,[101]
2,-1,-1,-1,1014,-1,-1,203,10006,[201],,,60,0,0,0,-1,-1,2,10,31800,,1,-1,1,[201]
3,-1,-1,-1,1014,-1,-1,203,10006,[301],,,60,0,0,0,-1,-1,3,12,33600,,1,-1,1,[301]
4,-1,-1,-1,1014,-1,-1,203,10006,[401],,,60,0,0,0,-1,-1,3,12,35400,,1,-1,1,[401]
5,-1,-1,-1,1015,-1,-1,203,10006,[501],,,60,0,0,0,-1,-1,3,14,37200,,1,-1,1,[501]
6,-1,-1,-1,1016,-1,-1,203,10006,[601],,,60,0,0,0,-1,-1,3,14,39000,,1,-1,1,[601]
7,-1,-1,-1,1016,-1,-1,203,10006,[701],,,60,0,0,0,-1,-1,4,16,40800,,1,-1,1,[701]
8,-1,-1,-1,1016,-1,-1,203,10006,[801],,,60,0,0,0,-1,-1,4,16,42600,,1,-1,1,[801]
9,-1,-1,-1,1016,-1,-1,203,10006,[901],,,60,0,0,0,-1,-1,4,18,44400,,1,-1,1,[901]
10,-1,-1,-1,1023,-1,-1,203,10006,[1001],,,60,0,0,0,-1,-1,4,18,46200,,1,-1,1,[1001]
11,-1,-1,-1,1002,-1,-1,203,10006,[1101],,,60,0,0,0,-1,-1,4,20,48000,,1,-1,1,[1101]
12,-1,-1,-1,1002,-1,-1,203,10006,[1201],,,60,0,0,0,-1,-1,4,20,49800,,1,-1,1,[1201]
13,-1,-1,-1,1002,-1,-1,203,10006,[1301],,,60,0,0,0,-1,-1,5,22,51600,,1,-1,1,[1301]
14,-1,-1,-1,1002,-1,-1,203,10006,[1401],,,60,0,0,0,-1,-1,5,22,53400,,1,-1,1,[1401]
15,-1,-1,-1,1024,-1,-1,203,10006,[1501],,,60,0,0,0,-1,-1,5,24,55200,,1,-1,1,[1501]
16,-1,-1,-1,1002,-1,-1,203,10006,[1601],,,60,0,0,0,-1,-1,5,24,57000,,1,-1,1,[1601]
17,-1,-1,-1,1002,-1,-1,203,10006,[1701],,,60,0,0,0,-1,-1,6,26,58800,,1,-1,1,[1701]
18,-1,-1,-1,1002,-1,-1,203,10006,[1801],,,60,0,0,0,-1,-1,6,26,60600,,1,-1,1,[1801]
19,-1,-1,-1,1002,-1,-1,203,10006,[1901],,,60,0,0,0,-1,-1,6,30,62400,,1,-1,1,[1901]
20,-1,-1,-1,1024,-1,-1,203,10006,[2001],,,60,0,0,0,-1,-1,6,30,64200,,1,-1,1,[2001]
21,-1,-1,-1,1002,-1,-1,203,10006,[2101],,,60,0,0,0,-1,-1,7,32,66000,,1,-1,1,[2101]
22,-1,-1,-1,1002,-1,-1,203,10006,[2201],,,60,0,0,0,-1,-1,7,32,67800,,1,-1,1,[2201]
23,-1,-1,-1,1002,-1,-1,203,10006,[2301],,,60,0,0,0,-1,-1,7,34,69600,,1,-1,1,[2301]
24,-1,-1,-1,1002,-1,-1,203,10006,[2401],,,60,0,0,0,-1,-1,7,34,71400,,1,-1,1,[2401]
25,-1,-1,-1,1023,-1,-1,203,10006,[2501],,,60,0,0,0,-1,-1,8,36,73200,,1,-1,1,[2501]
26,-1,-1,-1,1002,-1,-1,203,10006,[2601],,,60,0,0,0,-1,-1,8,36,75000,,1,-1,1,[2601]
27,-1,-1,-1,1002,-1,-1,203,10006,[2701],,,60,0,0,0,-1,-1,8,38,76800,,1,-1,1,[2701]
28,-1,-1,-1,1002,-1,-1,203,10006,[2801],,,60,0,0,0,-1,-1,8,38,78600,,1,-1,1,[2801]
