id,birth,pet_birth,petBirthPos,pos,troop_birth,troopBirthPos,villager_birth,villagerBirthPos
1,[85.8|-38.7|87.6|-39.7|84|-39.1|88.1|-41.5|84|-40.8|85.8|-41.7],[183|-37],"[(183.0, -37.0)]","[(85.8, -38.7)|(87.6, -39.7)|(84.0, -39.1)|(88.1, -41.5)|(84.0, -40.8)|(85.8, -41.7)]",,,,
2,[92.8|-36.3|90.4|-35.3|94|-35.9|89.9|-33.5|94|-34.2|92.2|-33.3],[189|-37],"[(189.0, -37.0)]","[(92.8, -36.3)|(90.4, -35.3)|(94.0, -35.9)|(89.9, -33.5)|(94.0, -34.2)|(92.2, -33.3)]",,,,
3,[92|-35.2|92.5|-37.2|89.3|-35.2|94.5|-34.8|91.4|-33.4],[183|-37],"[(183.0, -37.0)]","[(92.0, -35.2)|(92.5, -37.2)|(89.3, -35.2)|(0.0, 0.0)|(0.0, 0.0)|(0.0, 0.0)|(0.0, 0.0)]",,,,
11,[85.8|-38.7|87.6|-39.7|84|-39.1|88.1|-41.5|84|-40.8|85.8|-41.7],[183|-37],"[(183.0, -37.0)]","[(85.8, -38.7)|(87.6, -39.7)|(84.0, -39.1)|(88.1, -41.5)|(84.0, -40.8)|(85.8, -41.7)]",,,,
12,[92.8|-36.3|90.4|-35.3|94|-35.9|89.9|-33.5|94|-34.2|92.2|-33.3],[189|-37],"[(189.0, -37.0)]","[(92.8, -36.3)|(90.4, -35.3)|(94.0, -35.9)|(89.9, -33.5)|(94.0, -34.2)|(92.2, -33.3)]",,,,
13,[85.8|-38.7|87.6|-39.7|84|-39.1|88.1|-41.5|84|-40.8|85.8|-41.7],,,"[(85.8, -38.7)|(87.6, -39.7)|(84.0, -39.1)|(88.1, -41.5)|(84.0, -40.8)|(85.8, -41.7)]",,,,
14,[89.6|-35.78|91.1|-37.1|92.53|-38.52|91.69|-35.12|93.19|-36.66|92.12|-33.58|93.88|-34.9|95.4|-36.34],,,"[(89.6, -35.8)|(91.1, -37.1)|(92.5, -38.5)|(91.7, -35.1)|(93.2, -36.7)|(92.1, -33.6)|(93.9, -34.9)|(95.4, -36.3)]",,,,
15,[91.1|-37.1],,,"[(91.1, -37.1)]",,,,
101,[83|-40|84.6|-40.7|81|-40.1|85.1|-42.5|81|-41.8|82.8|-42.7],[183|-37],"[(183.0, -37.0)]","[(83.0, -40.0)|(84.6, -40.7)|(81.0, -40.1)|(85.1, -42.5)|(81.0, -41.8)|(82.8, -42.7)]",,,,
102,[89|-37|87.4|-36.3|91|-36.9|86.9|-34.5|91|-35.2|89.2|-34.3],[189|-37],"[(189.0, -37.0)]","[(89.0, -37.0)|(87.4, -36.3)|(91.0, -36.9)|(86.9, -34.5)|(91.0, -35.2)|(89.2, -34.3)]",,,,
201,[82.8|-39.7|84.6|-40.7|81|-40.1|85.1|-42.5|81|-41.8|82.8|-42.7],[183|-37],"[(183.0, -37.0)]","[(82.8, -39.7)|(84.6, -40.7)|(81.0, -40.1)|(85.1, -42.5)|(81.0, -41.8)|(82.8, -42.7)]",,,,
