id,color,contention,cyan_same_theater,display_level,display_prefeb,icon,icon_size,icon_type,level_0_display,level_1_display,level_2_display,level_3_display,text_size
0,,-1,-1,[0|1|2|3],,,0,1,1,1,1,1,0
1,,-1,-1,[0|1],,icon_minimap_base,1.2,1,1,1,1,0,0.8
2,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
4,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,1,0,0,0.8
7,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,0,0,0,0.8
9,,-1,-1,[0|1|2|3],,world_simple_watchtower,1.5,1,1,1,1,1,0.8
10,,-1,-1,[0|1|2|3],,world_simple_throne,2,1,1,1,1,1,0.8
12,946ea7,-1,-1,[0|1|2],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
13,,1,-1,[0|1|2|3],,icon_mini_allianceTerritory,1,1,1,1,1,1,0.8
14,,-1,-1,[0|1],,icon_mini_allianceTerritory,1,1,1,1,1,1,0.8
15,,-1,-1,[1|2|3],,"sp_map_fortress,map_zoom_icon",1.5,2,1,1,1,1,0.8
19,,-1,-1,[0|1],,"map_instance,map_zoom_icon",1,2,1,1,0,0,0.8
20,,1,-1,[0|1|2|3],,icon_mini_allianceTerritory,1,1,1,1,1,1,0.8
31,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,0,0,0,0.8
32,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,1,1,0,0.8
33,946ea7,-1,-1,[0|1|2],,icon_mini_dragon_red,1.8,1,1,1,1,1,0.8
34,c36945,-1,-1,[0|1],,"map_monster_group,map_zoom_icon",1,2,1,1,0,0,0.8
17,946ea7,-1,-1,[0|1|2],,icon_mini_dragon_red,1.5,1,1,1,1,0,0.8
35,946ea7,-1,-1,[0|1],,"map_building,map_zoom_icon",1,6,1,1,0,0,0.8
36,946ea7,-1,-1,[0|1],,"map_building,map_zoom_icon",1,6,1,1,0,0,0.8
37,,-1,-1,[0|1|2|3],,"gvg_building,building_image",2,1,1,1,1,1,0.8
38,,-1,-1,[0|1|2|3],,"gvg_building,building_image",2,1,1,1,1,1,0.8
39,,-1,-1,[0|1|2|3],,"map_building,map_zoom_icon",1.2,6,1,1,1,1,0.8
40,,-1,-1,[0|1|2|3],,"map_building,map_zoom_icon",1.2,6,1,1,1,1,0.8
41,946ea7,-1,-1,[0|1],,world_simple_activity,1,1,1,1,0,0,0.8
42,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,1,0,0,0.8
43,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,1,0,0,0.8
44,946ea7,-1,-1,[0|1|2],,icon_mini_dragon_red,2,1,1,1,1,1,0.8
46,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,1,0,0,0.8
47,,-1,-1,[0|1],,"map_resource,map_zoom_icon",1,2,1,1,0,0,0.8
48,,-1,-1,[0|1|2],,"alliance_water_tower,map_zoom_icon",1.5,7,1,1,1,1,0.8
49,,-1,-1,[0|1],,,1,0,1,0,0,0,0.8
50,,1,-1,[0|1],,"map_building,map_zoom_icon",1,6,1,1,0,0,0.8
1001,,-1,-1,[0],,,0,0,1,0,0,0,0
