id,icon,is_repeat,mark_effect,mark_type,name,type
1,ui_sjfx_zhongli,1,,1,mark_name1,1
2,ui_sjfx_pengyou,1,,2,mark_name2,1
3,ui_sjfx_diren,1,,3,mark_name3,1
4,ui_sjfx_tu2,2,ui_sjfx_tu2,4,mark_name4,2
5,ui_sjfx_tu1,2,ui_sjfx_tu1,4,mark_name5,2
6,ui_sjfx_tu3,2,ui_sjfx_tu3,4,mark_name6,2
7,ui_sjfx_tu4,2,ui_sjfx_tu4,4,mark_name7,2
8,ui_sjfx_tu5,2,ui_sjfx_tu5,4,mark_name8,2
9,ui_sjfx_tu2,2,ui_sjfx_tu2,4,mark_name4,3
10,ui_sjfx_tu1,2,ui_sjfx_tu1,4,mark_name5,3
11,ui_sjfx_tu6,2,,4,alliance_gather_point_key3,4
12,ui_sjfx_tu2,2,,4,mark_name4,5
13,icon_2ndSR_01,2,,4,mark_name13,5
14,icon_2ndSR_02,2,,4,mark_name13,5
15,icon_2ndSR_03,2,,4,mark_name13,5
16,icon_2ndSR_04,2,,4,mark_name13,5
17,icon_2ndSR_01,2,ui_sjfx_tu8,-1,mark_name13,6
18,icon_2ndSR_02,2,ui_sjfx_tu9,-1,mark_name13,6
19,icon_2ndSR_03,2,ui_sjfx_tu10,-1,mark_name13,6
20,icon_2ndSR_04,2,ui_sjfx_tu11,-1,mark_name13,6
21,icon_2ndSR_05,2,ui_sjfx_tu12,-1,mark_name13,6
22,ui_sjfx_tu2,2,ui_sjfx_tu2,4,mark_name4,7
23,ui_sjfx_tu1,2,ui_sjfx_tu1,4,mark_name5,7
24,ui_sjfx_tu3,2,ui_sjfx_tu3,4,mark_name6,7
25,ui_sjfx_tu4,2,ui_sjfx_tu4,4,mark_name7,7
26,ui_sjfx_tu5,2,ui_sjfx_tu5,4,mark_name8,7
27,ui_sjfx_tu6,2,,4,alliance_gather_point_key3,8
28,ui_sjfx_tu2,2,ui_sjfx_tu2,-1,mark_name4,6
29,ui_sjfx_tu1,2,ui_sjfx_tu1,-1,mark_name5,6
30,ui_sjfx_tu3,2,ui_sjfx_tu3,-1,mark_name6,6
31,ui_sjfx_tu4,2,ui_sjfx_tu4,-1,mark_name7,6
32,ui_sjfx_tu5,2,ui_sjfx_tu5,-1,mark_name8,6
33,ui_sjfx_tu8,2,ui_sjfx_tu13,-1,mark_name9,6
34,ui_sjfx_tu9,2,ui_sjfx_tu14,4,mark_name14,2
35,ui_sjfx_tu10,2,ui_sjfx_tu15,4,mark_name15,2
36,ui_sjfx_tu11,2,ui_sjfx_tu16,4,mark_name16,2
37,ui_sjfx_zhongli,1,,1,mark_name1,9
38,ui_sjfx_pengyou,1,,2,mark_name2,9
39,ui_sjfx_diren,1,,3,mark_name3,9
