id,taskConditionVo,reward,scene,show_limit,show_limit_num,show_progress,task_condition,task_condition_num,task_discription,task_group,task_guide,task_guide_mun,task_icon,task_limit,task_limit_num,task_order,taskConditionType
101,TaskConditionBaseVO,3401,-1,1,1,1,1055,800000,task_desc_1055,1,-1,,icon_xunzhang_101,2,1,1,MedalGroup1
102,TaskConditionBaseVO,3402,-1,1,1,1,1055,4000000,task_desc_1055,1,-1,,icon_xunzhang_102,2,1,2,MedalGroup1
103,TaskConditionBaseVO,3403,-1,1,1,1,1055,8000000,task_desc_1055,1,-1,,icon_xunzhang_103,2,1,3,MedalGroup1
201,TaskConditionBaseVO,3404,-1,1,1,1,1056,800000,task_desc_1056,2,-1,,icon_xunzhang_201,2,1,1,MedalGroup2
202,TaskConditionBaseVO,3405,-1,1,1,1,1056,4000000,task_desc_1056,2,-1,,icon_xunzhang_202,2,1,2,MedalGroup2
203,TaskConditionBaseVO,3406,-1,1,1,1,1056,8000000,task_desc_1056,2,-1,,icon_xunzhang_203,2,1,3,MedalGroup2
301,TaskConditionBaseVO,3407,-1,1,1,1,1057,5000,task_desc_1057,3,-1,,icon_xunzhang_301,2,1,1,MedalGroup3
302,TaskConditionBaseVO,3408,-1,1,1,1,1057,20000,task_desc_1057,3,-1,,icon_xunzhang_302,2,1,2,MedalGroup3
303,TaskConditionBaseVO,3409,-1,1,1,1,1057,50000,task_desc_1057,3,-1,,icon_xunzhang_303,2,1,3,MedalGroup3
401,TaskConditionBaseVO,3410,-1,1,1,1,1058,5000000,task_desc_1058,4,-1,,icon_xunzhang_401,2,1,1,MedalGroup4
402,TaskConditionBaseVO,3411,-1,1,1,1,1058,20000000,task_desc_1058,4,-1,,icon_xunzhang_402,2,1,2,MedalGroup4
403,TaskConditionBaseVO,3412,-1,1,1,1,1058,45000000,task_desc_1058,4,-1,,icon_xunzhang_403,2,1,3,MedalGroup4
501,TaskConditionBaseVO,3413,-1,1,1,1,1059,1200,task_desc_1059,5,-1,,icon_xunzhang_501,2,1,1,MedalGroup5
502,TaskConditionBaseVO,3414,-1,1,1,1,1059,6000,task_desc_1059,5,-1,,icon_xunzhang_502,2,1,2,MedalGroup5
503,TaskConditionBaseVO,3415,-1,1,1,1,1059,12000,task_desc_1059,5,-1,,icon_xunzhang_503,2,1,3,MedalGroup5
