id,eliteMonsterAttrList,monsterAttrList,alert_range,attr_level,boss_reward,Cannot_push,chase_range,elite_kill_exp,elite_kill_exp_hero,elite_monster_attr,elite_monster_attr_group,elite_probability,elite_reward_id,elite_rewardIds,fight_bubble,fightBubbleMeta,first_reward_id,first_rewardIds,firstkill_dialog,firstkill_event_id,haloFX,haloFX__scale,ini_action,Is_Boss,kill_event_id,kill_exp,kill_exp_hero,level,map_id,model_scale,monster_attr,monster_attr_group,name,OutRangeRecaver,patrol_distance,patrol_idle_time,patrol_range,relive_cdtime,reward_id,rewardIds,unitID
101,[[3|1]|[4|11]],[[3|1]|[4|5]],1,-1,,-1,1,0,-1,"3|1,4|11",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|5",1,monster_name_101,-1,,,-1,30000,[3],[3],50022
102,[[3|1]|[4|11]],[[3|1]|[4|5]],1,-1,,-1,1,0,-1,"3|1,4|11",2,-1,[204],[204],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|5",1,monster_name_102,-1,,,-1,30000,[3],[3],50026
103,[[3|1]|[4|11]],[[3|1]|[4|5]],1,-1,,-1,1,0,-1,"3|1,4|11",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|5",1,monster_name_103,-1,,,-1,30000,[3],[3],50026
104,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_104,-1,,,-1,30000,[3],[3],50004
105,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_105,-1,,,-1,30000,[3],[3],50005
106,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50006
107,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_107,-1,,,-1,30000,[3],[3],50023
108,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_108,-1,,,-1,30000,[3],[3],50008
109,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[204],[204],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_109,-1,,,-1,30000,[3],[3],50022
110,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_110,-1,,,-1,30000,[3],[3],50010
