id,attr,attr_group,level,monster_attr
10001,{3:1|4:3},1,1,"3|1,4|3"
10002,{3:1|4:3},1,2,"3|1,4|3"
10003,{3:1|4:3},1,3,"3|1,4|3"
10004,{3:1|4:3},1,4,"3|1,4|3"
10005,{3:1|4:3},1,5,"3|1,4|3"
10006,{3:1|4:3},1,6,"3|1,4|3"
10007,{3:1|4:3},1,7,"3|1,4|3"
10008,{3:1|4:3},1,8,"3|1,4|3"
10009,{3:1|4:3},1,9,"3|1,4|3"
10010,{3:1|4:3},1,10,"3|1,4|3"
10011,{3:1|4:3},1,11,"3|1,4|3"
10012,{3:1|4:3},1,12,"3|1,4|3"
10013,{3:1|4:3},1,13,"3|1,4|3"
10014,{3:1|4:3},1,14,"3|1,4|3"
10015,{3:1|4:3},1,15,"3|1,4|3"
10016,{3:1|4:3},1,16,"3|1,4|3"
10017,{3:1|4:3},1,17,"3|1,4|3"
10018,{3:1|4:3},1,18,"3|1,4|3"
10019,{3:1|4:3},1,19,"3|1,4|3"
10020,{3:1|4:3},1,20,"3|1,4|3"
10021,{3:1|4:3},1,21,"3|1,4|3"
10022,{3:1|4:3},1,22,"3|1,4|3"
10023,{3:1|4:3},1,23,"3|1,4|3"
10024,{3:1|4:3},1,24,"3|1,4|3"
10025,{3:1|4:3},1,25,"3|1,4|3"
10026,{3:1|4:3},1,26,"3|1,4|3"
10027,{3:1|4:3},1,27,"3|1,4|3"
10028,{3:1|4:3},1,28,"3|1,4|3"
10029,{3:1|4:3},1,29,"3|1,4|3"
10030,{3:1|4:3},1,30,"3|1,4|3"
10031,{3:1|4:3},1,31,"3|1,4|3"
10032,{3:1|4:3},1,32,"3|1,4|3"
10033,{3:1|4:3},1,33,"3|1,4|3"
10034,{3:1|4:3},1,34,"3|1,4|3"
10035,{3:1|4:3},1,35,"3|1,4|3"
10036,{3:1|4:3},1,36,"3|1,4|3"
10037,{3:1|4:3},1,37,"3|1,4|3"
10038,{3:1|4:3},1,38,"3|1,4|3"
10039,{3:1|4:3},1,39,"3|1,4|3"
10040,{3:1|4:3},1,40,"3|1,4|3"
10041,{3:1|4:3},1,41,"3|1,4|3"
10042,{3:1|4:3},1,42,"3|1,4|3"
10043,{3:1|4:3},1,43,"3|1,4|3"
10044,{3:1|4:3},1,44,"3|1,4|3"
10045,{3:1|4:3},1,45,"3|1,4|3"
10046,{3:1|4:3},1,46,"3|1,4|3"
10047,{3:1|4:3},1,47,"3|1,4|3"
10048,{3:1|4:3},1,48,"3|1,4|3"
10049,{3:1|4:3},1,49,"3|1,4|3"
10050,{3:1|4:3},1,50,"3|1,4|3"
10051,{3:1|4:3},1,51,"3|1,4|3"
10052,{3:1|4:3},1,52,"3|1,4|3"
10053,{3:1|4:3},1,53,"3|1,4|3"
10054,{3:1|4:3},1,54,"3|1,4|3"
10055,{3:1|4:3},1,55,"3|1,4|3"
10056,{3:1|4:3},1,56,"3|1,4|3"
10057,{3:1|4:3},1,57,"3|1,4|3"
10058,{3:1|4:3},1,58,"3|1,4|3"
10059,{3:1|4:3},1,59,"3|1,4|3"
10060,{3:1|4:3},1,60,"3|1,4|3"
10061,{3:1|4:3},1,61,"3|1,4|3"
10062,{3:1|4:3},1,62,"3|1,4|3"
10063,{3:1|4:3},1,63,"3|1,4|3"
10064,{3:1|4:3},1,64,"3|1,4|3"
10065,{3:1|4:3},1,65,"3|1,4|3"
10066,{3:1|4:3},1,66,"3|1,4|3"
10067,{3:1|4:3},1,67,"3|1,4|3"
10068,{3:1|4:3},1,68,"3|1,4|3"
10069,{3:1|4:3},1,69,"3|1,4|3"
10070,{3:1|4:3},1,70,"3|1,4|3"
10071,{3:1|4:3},1,71,"3|1,4|3"
10072,{3:1|4:3},1,72,"3|1,4|3"
10073,{3:1|4:3},1,73,"3|1,4|3"
10074,{3:1|4:3},1,74,"3|1,4|3"
10075,{3:1|4:3},1,75,"3|1,4|3"
10076,{3:1|4:3},1,76,"3|1,4|3"
10077,{3:1|4:3},1,77,"3|1,4|3"
10078,{3:1|4:3},1,78,"3|1,4|3"
10079,{3:1|4:3},1,79,"3|1,4|3"
10080,{3:1|4:3},1,80,"3|1,4|3"
10081,{3:1|4:3},1,81,"3|1,4|3"
10082,{3:1|4:3},1,82,"3|1,4|3"
10083,{3:1|4:3},1,83,"3|1,4|3"
10084,{3:1|4:3},1,84,"3|1,4|3"
10085,{3:1|4:3},1,85,"3|1,4|3"
10086,{3:1|4:3},1,86,"3|1,4|3"
10087,{3:1|4:3},1,87,"3|1,4|3"
10088,{3:1|4:3},1,88,"3|1,4|3"
10089,{3:1|4:3},1,89,"3|1,4|3"
10090,{3:1|4:3},1,90,"3|1,4|3"
10091,{3:1|4:3},1,91,"3|1,4|3"
10092,{3:1|4:3},1,92,"3|1,4|3"
10093,{3:1|4:3},1,93,"3|1,4|3"
10094,{3:1|4:3},1,94,"3|1,4|3"
10095,{3:1|4:3},1,95,"3|1,4|3"
10096,{3:1|4:3},1,96,"3|1,4|3"
10097,{3:1|4:3},1,97,"3|1,4|3"
10098,{3:1|4:3},1,98,"3|1,4|3"
10099,{3:1|4:3},1,99,"3|1,4|3"
10100,{3:1|4:3},1,100,"3|1,4|3"
20001,{3:1|4:3},2,1,"3|1,4|3"
20002,{3:1|4:3},2,2,"3|1,4|3"
20003,{3:1|4:3},2,3,"3|1,4|3"
20004,{3:1|4:3},2,4,"3|1,4|3"
20005,{3:1|4:3},2,5,"3|1,4|3"
20006,{3:1|4:3},2,6,"3|1,4|3"
20007,{3:1|4:3},2,7,"3|1,4|3"
20008,{3:1|4:3},2,8,"3|1,4|3"
20009,{3:1|4:3},2,9,"3|1,4|3"
20010,{3:1|4:3},2,10,"3|1,4|3"
20011,{3:1|4:3},2,11,"3|1,4|3"
20012,{3:1|4:3},2,12,"3|1,4|3"
20013,{3:1|4:3},2,13,"3|1,4|3"
20014,{3:1|4:3},2,14,"3|1,4|3"
20015,{3:1|4:3},2,15,"3|1,4|3"
20016,{3:1|4:3},2,16,"3|1,4|3"
20017,{3:1|4:3},2,17,"3|1,4|3"
20018,{3:1|4:3},2,18,"3|1,4|3"
20019,{3:1|4:3},2,19,"3|1,4|3"
20020,{3:1|4:3},2,20,"3|1,4|3"
20021,{3:1|4:3},2,21,"3|1,4|3"
20022,{3:1|4:3},2,22,"3|1,4|3"
20023,{3:1|4:3},2,23,"3|1,4|3"
20024,{3:1|4:3},2,24,"3|1,4|3"
20025,{3:1|4:3},2,25,"3|1,4|3"
20026,{3:1|4:3},2,26,"3|1,4|3"
20027,{3:1|4:3},2,27,"3|1,4|3"
20028,{3:1|4:3},2,28,"3|1,4|3"
20029,{3:1|4:3},2,29,"3|1,4|3"
20030,{3:1|4:3},2,30,"3|1,4|3"
20031,{3:1|4:3},2,31,"3|1,4|3"
20032,{3:1|4:3},2,32,"3|1,4|3"
20033,{3:1|4:3},2,33,"3|1,4|3"
20034,{3:1|4:3},2,34,"3|1,4|3"
20035,{3:1|4:3},2,35,"3|1,4|3"
20036,{3:1|4:3},2,36,"3|1,4|3"
20037,{3:1|4:3},2,37,"3|1,4|3"
20038,{3:1|4:3},2,38,"3|1,4|3"
20039,{3:1|4:3},2,39,"3|1,4|3"
20040,{3:1|4:3},2,40,"3|1,4|3"
20041,{3:1|4:3},2,41,"3|1,4|3"
20042,{3:1|4:3},2,42,"3|1,4|3"
20043,{3:1|4:3},2,43,"3|1,4|3"
20044,{3:1|4:3},2,44,"3|1,4|3"
20045,{3:1|4:3},2,45,"3|1,4|3"
20046,{3:1|4:3},2,46,"3|1,4|3"
20047,{3:1|4:3},2,47,"3|1,4|3"
20048,{3:1|4:3},2,48,"3|1,4|3"
20049,{3:1|4:3},2,49,"3|1,4|3"
20050,{3:1|4:3},2,50,"3|1,4|3"
20051,{3:1|4:3},2,51,"3|1,4|3"
20052,{3:1|4:3},2,52,"3|1,4|3"
20053,{3:1|4:3},2,53,"3|1,4|3"
20054,{3:1|4:3},2,54,"3|1,4|3"
20055,{3:1|4:3},2,55,"3|1,4|3"
20056,{3:1|4:3},2,56,"3|1,4|3"
20057,{3:1|4:3},2,57,"3|1,4|3"
20058,{3:1|4:3},2,58,"3|1,4|3"
20059,{3:1|4:3},2,59,"3|1,4|3"
