id,adjuest_day1,adjuest_day10,adjuest_day11,adjuest_day12,adjuest_day13,adjuest_day14,adjuest_day15,adjuest_day16,adjuest_day17,adjuest_day18,adjuest_day19,adjuest_day2,adjuest_day20,adjuest_day21,adjuest_day22,adjuest_day23,adjuest_day24,adjuest_day25,adjuest_day26,adjuest_day27,adjuest_day28,adjuest_day29,adjuest_day3,adjuest_day30,adjuest_day4,adjuest_day5,adjuest_day6,adjuest_day7,adjuest_day8,adjuest_day9
10111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
10211,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
10311,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
10411,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
10511,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
10611,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
10711,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
15111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
16111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
16121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
16131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20211,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20221,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20311,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20411,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20421,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20511,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20611,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20711,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20811,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
20911,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
25111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
25121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
26111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
26121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
26131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
27101,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
28101,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
28201,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30211,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30311,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30411,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30511,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
