id,appear_range,elite_number_limit,group_id,group_name,instance_id,monster_group,monsterDic,monsterList
1,-1,-1,1,,1,[104|1],{104:1},[104]
41,-1,-1,1,,2,[104|1],{104:1},[104]
2,-1,-1,2,,1,[104|2],{104:2},[104|104]
3,-1,-1,3,,1,[104|3],{104:3},[104|104|104]
4,-1,-1,4,,1,[104|4],{104:4},[104|104|104|104]
21,-1,-1,21,,1,[310|1],{310:1},[310]
22,-1,-1,22,,1,[310|2],{310:2},[310|310]
23,-1,-1,23,,1,[310|3],{310:3},[310|310|310]
24,-1,-1,24,,1,[310|4],{310:4},[310|310|310|310]
25,-1,-1,25,,99,[310|1],{310:1},[310]
42,-1,-1,22,,2,[310|1],{310:1},[310]
43,-1,-1,23,,2,[310|1],{310:1},[310]
44,-1,-1,24,,2,[310|1],{310:1},[310]
45,-1,-1,22,,3,[310|2],{310:2},[310|310]
46,-1,-1,23,,3,[310|3],{310:3},[310|310|310]
47,-1,-1,24,,3,[310|4],{310:4},[310|310|310|310]
48,-1,-1,22,,4,[310|2],{310:2},[310|310]
49,-1,-1,23,,4,[310|3],{310:3},[310|310|310]
50,-1,-1,24,,4,[310|4],{310:4},[310|310|310|310]
51,-1,-1,22,,5,[310|2],{310:2},[310|310]
52,-1,-1,23,,5,[310|3],{310:3},[310|310|310]
53,-1,-1,24,,5,[310|4],{310:4},[310|310|310|310]
54,-1,-1,22,,6,[310|2],{310:2},[310|310]
55,-1,-1,23,,6,[310|3],{310:3},[310|310|310]
56,-1,-1,24,,6,[310|4],{310:4},[310|310|310|310]
57,-1,-1,22,,7,[310|2],{310:2},[310|310]
58,-1,-1,23,,7,[310|3],{310:3},[310|310|310]
59,-1,-1,24,,7,[310|4],{310:4},[310|310|310|310]
60,-1,-1,22,,8,[310|2],{310:2},[310|310]
61,-1,-1,23,,8,[310|3],{310:3},[310|310|310]
62,-1,-1,24,,8,[310|4],{310:4},[310|310|310|310]
31,-1,-1,31,,4,[400|1],{400:1},[400]
32,-1,-1,32,,5,[401|1],{401:1},[401]
33,-1,-1,33,,6,[402|1],{402:1},[402]
34,-1,-1,34,,7,[403|1],{403:1},[403]
35,-1,-1,35,,3,[350|1],{350:1},[350]
36,-1,-1,36,,4,[350|1],{350:1},[350]
37,-1,-1,37,,5,[350|1],{350:1},[350]
101,-1,-1,101,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
102,-1,-1,102,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
103,-1,-1,103,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
104,-1,-1,104,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
105,-1,-1,105,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
106,-1,-1,106,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
107,-1,-1,107,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
108,-1,-1,108,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
109,-1,-1,109,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
110,-1,-1,110,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
111,-1,-1,111,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
112,-1,-1,112,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
113,-1,-1,113,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
114,-1,-1,114,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
115,-1,-1,115,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
116,-1,-1,116,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
117,-1,-1,117,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
118,-1,-1,118,,1,[101|2|103|1],{101:2|103:1},[101|101|103]
131,-1,-1,131,,1,[16111|1],{16111:1},[16111]
132,-1,-1,132,,1,[16121|1],{16121:1},[16121]
133,-1,-1,133,,1,[16131|1],{16131:1},[16131]
201,-1,-1,201,,2,[109|1],{109:1},[109]
202,-1,-1,202,,2,[102|1],{102:1},[102]
203,-1,-1,203,,2,[104|1],{104:1},[104]
204,-1,-1,204,,2,[109|1|102|1],{109:1|102:1},[109|102]
205,-1,-1,205,,2,[109|1|102|1],{109:1|102:1},[109|102]
206,-1,-1,206,,2,[104|1|109|1],{104:1|109:1},[104|109]
207,-1,-1,207,,2,[109|2],{109:2},[109|109]
208,-1,-1,208,,2,[102|2],{102:2},[102|102]
209,-1,-1,209,,2,[104|2],{104:2},[104|104]
210,-1,-1,210,,2,[109|2|102|1],{109:2|102:1},[109|109|102]
211,-1,-1,211,,2,[102|2|109|1],{102:2|109:1},[102|102|109]
212,-1,-1,212,,2,[102|1|104|1|109|1],{102:1|104:1|109:1},[102|104|109]
213,-1,-1,213,,2,[109|2|102|1|104|1],{109:2|102:1|104:1},[109|109|102|104]
214,-1,-1,214,,2,[102|1|104|1|109|1],{102:1|104:1|109:1},[102|104|109]
215,-1,-1,215,,2,[104|1|109|1|102|1],{104:1|109:1|102:1},[104|109|102]
216,-1,-1,216,,2,[109|1|102|1|104|1],{109:1|102:1|104:1},[109|102|104]
217,-1,-1,217,,2,[109|1|102|3|104|1],{109:1|102:3|104:1},[109|102|102|102|104]
218,-1,-1,218,,2,[109|2|102|1],{109:2|102:1},[109|109|102]
231,-1,-1,231,,2,[26111|1],{26111:1},[26111]
232,-1,-1,232,,2,[26121|1],{26121:1},[26121]
233,-1,-1,233,,2,[26131|1],{26131:1},[26131]
234,-1,-1,234,,2,[26111|1],{26111:1},[26111]
235,-1,-1,235,,2,[26121|1],{26121:1},[26121]
236,-1,-1,236,,2,[26131|1],{26131:1},[26131]
240,-1,-1,201,,2002,[109|1],{109:1},[109]
241,-1,-1,202,,2002,[102|1],{102:1},[102]
242,-1,-1,203,,2002,[104|1],{104:1},[104]
243,-1,-1,204,,2002,[109|1|102|1],{109:1|102:1},[109|102]
244,-1,-1,205,,2002,[109|1|102|1],{109:1|102:1},[109|102]
245,-1,-1,206,,2002,[104|1|109|1],{104:1|109:1},[104|109]
246,-1,-1,207,,2002,[109|2],{109:2},[109|109]
247,-1,-1,208,,2002,[102|2],{102:2},[102|102]
248,-1,-1,209,,2002,[104|2],{104:2},[104|104]
