id,adjuest_day1,adjuest_day10,adjuest_day11,adjuest_day12,adjuest_day13,adjuest_day14,adjuest_day15,adjuest_day16,adjuest_day17,adjuest_day18,adjuest_day19,adjuest_day2,adjuest_day20,adjuest_day21,adjuest_day22,adjuest_day23,adjuest_day24,adjuest_day25,adjuest_day26,adjuest_day27,adjuest_day28,adjuest_day29,adjuest_day3,adjuest_day30,adjuest_day4,adjuest_day5,adjuest_day6,adjuest_day7,adjuest_day8,adjuest_day9
101,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
102,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
103,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
104,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
105,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
106,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
201,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
202,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
203,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
204,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
205,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
206,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
301,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
302,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
303,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
304,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
305,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
306,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
401,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
402,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
403,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
404,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
405,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
406,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
501,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
502,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
503,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
504,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
505,"103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
