id,group2_chance,level_limit,monster_group,monster_group2,monster_wave,time_limit,tower_group
1,-1,,110101,-1,1,-1,101
2,-1,,110101,-1,2,-1,101
3,-1,,110102,-1,3,-1,101
4,-1,,110201,-1,1,-1,201
5,-1,,110201,-1,2,-1,201
6,-1,,110202,-1,3,-1,201
7,-1,,110301,-1,1,-1,301
8,-1,,110301,-1,2,-1,301
9,-1,,110302,-1,3,-1,301
10,-1,,110401,-1,1,-1,401
11,-1,,110401,-1,2,-1,401
12,-1,,110402,-1,3,-1,401
13,-1,,110501,-1,1,-1,501
14,-1,,110501,-1,2,-1,501
15,-1,,110502,-1,3,-1,501
16,-1,,110601,-1,1,-1,601
17,-1,,110601,-1,2,-1,601
18,-1,,110602,-1,3,-1,601
19,-1,,110701,-1,1,-1,701
20,-1,,110701,-1,2,-1,701
21,-1,,110702,-1,3,-1,701
22,-1,,110801,-1,1,-1,801
23,-1,,110801,-1,2,-1,801
24,-1,,110802,-1,3,-1,801
25,-1,,110601,-1,1,-1,901
26,-1,,110601,-1,2,-1,901
27,-1,,110602,-1,3,-1,901
101,-1,0|9,140101,-1,-1,90,1001
102,-1,10|19,140102,-1,-1,90,1001
103,-1,20|29,140103,-1,-1,90,1001
104,-1,30|39,140104,-1,-1,90,1001
105,-1,40|49,140105,-1,-1,90,1001
106,-1,50|59,140106,-1,-1,90,1001
107,-1,60|69,140107,-1,-1,90,1001
108,-1,70|79,140108,-1,-1,90,1001
109,-1,80|89,140109,-1,-1,90,1001
110,-1,90|100,140110,-1,-1,90,1001
102101,-1,,102101,-1,1,120,102101
102102,-1,,102102,-1,1,120,102102
102103,-1,,102103,-1,1,120,102103
102104,-1,,102104,-1,1,120,102104
102105,-1,,102105,-1,1,120,102105
102201,-1,,102201,-1,1,120,102201
102202,-1,,102202,-1,1,120,102202
102203,-1,,102203,-1,1,120,102203
102204,-1,,102204,-1,1,120,102204
102205,-1,,102205,-1,1,120,102205
103101,-1,,103101,-1,1,120,103101
103102,-1,,103102,-1,1,120,103102
103103,-1,,103103,-1,1,120,103103
103104,-1,,103104,-1,1,120,103104
103105,-1,,103105,-1,1,120,103105
103201,-1,,103201,-1,1,120,103201
103202,-1,,103202,-1,1,120,103202
103203,-1,,103203,-1,1,120,103203
103204,-1,,103204,-1,1,120,103204
103205,-1,,103205,-1,1,120,103205
103301,-1,,103301,-1,1,120,103301
103302,-1,,103302,-1,1,120,103302
103303,-1,,103303,-1,1,120,103303
103304,-1,,103304,-1,1,120,103304
103305,-1,,103305,-1,1,120,103305
104101,-1,,104101,-1,1,120,104101
104102,-1,,104102,-1,1,120,104102
104103,-1,,104103,-1,1,120,104103
104104,-1,,104104,-1,1,120,104104
104105,-1,,104105,-1,1,120,104105
104106,-1,,104106,-1,1,120,104106
104201,-1,,104201,-1,1,120,104201
104202,-1,,104202,-1,1,120,104202
104203,-1,,104203,-1,1,120,104203
104204,-1,,104204,-1,1,120,104204
104205,-1,,104205,-1,1,120,104205
104206,-1,,104206,-1,1,120,104206
104301,-1,,104301,-1,1,120,104301
104302,-1,,104302,-1,1,120,104302
104303,-1,,104303,-1,1,120,104303
104304,-1,,104304,-1,1,120,104304
104305,-1,,104305,-1,1,120,104305
104306,-1,,104306,-1,1,120,104306
105101,-1,,105101,-1,1,120,105101
105102,-1,,105102,-1,1,120,105102
105103,-1,,105103,-1,1,120,105103
105104,-1,,105104,-1,1,120,105104
105105,-1,,105105,-1,1,120,105105
105106,-1,,105106,-1,1,120,105106
105201,-1,,105201,-1,1,120,105201
105202,-1,,105202,-1,1,120,105202
105203,-1,,105203,-1,1,120,105203
105204,-1,,105204,-1,1,120,105204
105205,-1,,105205,-1,1,120,105205
105206,-1,,105206,-1,1,120,105206
105301,-1,,105301,-1,1,120,105301
105302,-1,,105302,-1,1,120,105302
105303,-1,,105303,-1,1,120,105303
105304,-1,,105304,-1,1,120,105304
105305,-1,,105305,-1,1,120,105305
105306,-1,,105306,-1,1,120,105306
106101,-1,,106101,-1,1,120,106101
106102,-1,,106102,-1,1,120,106102
106103,-1,,106103,-1,1,120,106103
106104,-1,,106104,-1,1,120,106104
106105,-1,,106105,-1,1,120,106105
106106,-1,,106106,-1,1,120,106106
106107,-1,,106107,-1,1,120,106107
106201,-1,,106201,-1,1,120,106201
106202,-1,,106202,-1,1,120,106202
106203,-1,,106203,-1,1,120,106203
106204,-1,,106204,-1,1,120,106204
106205,-1,,106205,-1,1,120,106205
106206,-1,,106206,-1,1,120,106206
106207,-1,,106207,-1,1,120,106207
106301,-1,,106301,-1,1,120,106301
106302,-1,,106302,-1,1,120,106302
106303,-1,,106303,-1,1,120,106303
106304,-1,,106304,-1,1,120,106304
106305,-1,,106305,-1,1,120,106305
106306,-1,,106306,-1,1,120,106306
106307,-1,,106307,-1,1,120,106307
107101,-1,,107101,-1,1,120,107101
107102,-1,,107102,-1,1,120,107102
107103,-1,,107103,-1,1,120,107103
107104,-1,,107104,-1,1,120,107104
107105,-1,,107105,-1,1,120,107105
107106,-1,,107106,-1,1,120,107106
107107,-1,,107107,-1,1,120,107107
107108,-1,,107108,-1,1,120,107108
107201,-1,,107201,-1,1,120,107201
107202,-1,,107202,-1,1,120,107202
107203,-1,,107203,-1,1,120,107203
107204,-1,,107204,-1,1,120,107204
107205,-1,,107205,-1,1,120,107205
107206,-1,,107206,-1,1,120,107206
107207,-1,,107207,-1,1,120,107207
107208,-1,,107208,-1,1,120,107208
107301,-1,,107301,-1,1,120,107301
107302,-1,,107302,-1,1,120,107302
107303,-1,,107303,-1,1,120,107303
107304,-1,,107304,-1,1,120,107304
107305,-1,,107305,-1,1,120,107305
107306,-1,,107306,-1,1,120,107306
107307,-1,,107307,-1,1,120,107307
107308,-1,,107308,-1,1,120,107308
108101,-1,,108101,-1,1,120,108101
108102,-1,,108102,-1,1,120,108102
108103,-1,,108103,-1,1,120,108103
108104,-1,,108104,-1,1,120,108104
108105,-1,,108105,-1,1,120,108105
108106,-1,,108106,-1,1,120,108106
108107,-1,,108107,-1,1,120,108107
108108,-1,,108108,-1,1,120,108108
108109,-1,,108109,-1,1,120,108109
108201,-1,,108201,-1,1,120,108201
108202,-1,,108202,-1,1,120,108202
108203,-1,,108203,-1,1,120,108203
108204,-1,,108204,-1,1,120,108204
108205,-1,,108205,-1,1,120,108205
108206,-1,,108206,-1,1,120,108206
108207,-1,,108207,-1,1,120,108207
108208,-1,,108208,-1,1,120,108208
108209,-1,,108209,-1,1,120,108209
108301,-1,,108301,-1,1,120,108301
108302,-1,,108302,-1,1,120,108302
108303,-1,,108303,-1,1,120,108303
108304,-1,,108304,-1,1,120,108304
108305,-1,,108305,-1,1,120,108305
108306,-1,,108306,-1,1,120,108306
108307,-1,,108307,-1,1,120,108307
108308,-1,,108308,-1,1,120,108308
108309,-1,,108309,-1,1,120,108309
109101,-1,,109101,-1,1,120,109101
109102,-1,,109102,-1,1,120,109102
109103,-1,,109103,-1,1,120,109103
109104,-1,,109104,-1,1,120,109104
109105,-1,,109105,-1,1,120,109105
109106,-1,,109106,-1,1,120,109106
109107,-1,,109107,-1,1,120,109107
109108,-1,,109108,-1,1,120,109108
109109,-1,,109109,-1,1,120,109109
109110,-1,,109110,-1,1,120,109110
109201,-1,,109201,-1,1,120,109201
109202,-1,,109202,-1,1,120,109202
109203,-1,,109203,-1,1,120,109203
109204,-1,,109204,-1,1,120,109204
109205,-1,,109205,-1,1,120,109205
109206,-1,,109206,-1,1,120,109206
109207,-1,,109207,-1,1,120,109207
109208,-1,,109208,-1,1,120,109208
109209,-1,,109209,-1,1,120,109209
109210,-1,,109210,-1,1,120,109210
109301,-1,,109301,-1,1,120,109301
109302,-1,,109302,-1,1,120,109302
109303,-1,,109303,-1,1,120,109303
109304,-1,,109304,-1,1,120,109304
109305,-1,,109305,-1,1,120,109305
109306,-1,,109306,-1,1,120,109306
109307,-1,,109307,-1,1,120,109307
109308,-1,,109308,-1,1,120,109308
109309,-1,,109309,-1,1,120,109309
109310,-1,,109310,-1,1,120,109310
110101,-1,,110101,-1,1,120,110101
110102,-1,,110102,-1,1,120,110102
110103,-1,,110103,-1,1,120,110103
110104,-1,,110104,-1,1,120,110104
110105,-1,,110105,-1,1,120,110105
110106,-1,,110106,-1,1,120,110106
110107,-1,,110107,-1,1,120,110107
110108,-1,,110108,-1,1,120,110108
110109,-1,,110109,-1,1,120,110109
110110,-1,,110110,-1,1,120,110110
110201,-1,,110201,-1,1,120,110201
110202,-1,,110202,-1,1,120,110202
110203,-1,,110203,-1,1,120,110203
110204,-1,,110204,-1,1,120,110204
110205,-1,,110205,-1,1,120,110205
110206,-1,,110206,-1,1,120,110206
110207,-1,,110207,-1,1,120,110207
110208,-1,,110208,-1,1,120,110208
110209,-1,,110209,-1,1,120,110209
110210,-1,,110210,-1,1,120,110210
110301,-1,,110301,-1,1,120,110301
110302,-1,,110302,-1,1,120,110302
110303,-1,,110303,-1,1,120,110303
110304,-1,,110304,-1,1,120,110304
110305,-1,,110305,-1,1,120,110305
110306,-1,,110306,-1,1,120,110306
110307,-1,,110307,-1,1,120,110307
110308,-1,,110308,-1,1,120,110308
110309,-1,,110309,-1,1,120,110309
110310,-1,,110310,-1,1,120,110310
120101,-1,,120101,-1,1,120,120101
120102,-1,,120102,-1,1,120,120102
120103,-1,,120103,-1,1,120,120103
120104,-1,,120104,-1,1,120,120104
120105,-1,,120105,-1,1,120,120105
120201,-1,,120201,-1,1,120,120201
120202,-1,,120202,-1,1,120,120202
120203,-1,,120203,-1,1,120,120203
120204,-1,,120204,-1,1,120,120204
120205,-1,,120205,-1,1,120,120205
120301,-1,,120301,-1,1,120,120301
120302,-1,,120302,-1,1,120,120302
120303,-1,,120303,-1,1,120,120303
