id,difficulty,group_id,scale,tower_id
101,1,101,50,102101
102,2,101,50,102102
103,3,101,50,102103
104,4,101,50,102104
105,5,101,50,102105
106,1,102,50,102201
107,2,102,50,102202
108,3,102,50,102203
109,4,102,50,102204
110,5,102,50,102205
111,1,103,50,103101
112,2,103,50,103102
113,3,103,50,103103
114,4,103,50,103104
115,5,103,50,103105
116,1,104,30,103201
117,2,104,30,103202
118,3,104,30,103203
119,4,104,30,103204
120,5,104,30,103205
121,1,105,50,103301
122,2,105,50,103302
123,3,105,50,103303
124,4,105,50,103304
125,5,105,50,103305
126,1,106,50,104101
127,2,106,50,104102
128,3,106,50,104103
129,4,106,50,104104
130,5,106,50,104105
131,6,106,50,104106
132,1,107,70,104201
133,2,107,70,104202
134,3,107,70,104203
135,4,107,70,104204
136,5,107,70,104205
137,6,107,70,104206
138,1,108,70,104301
139,2,108,70,104302
140,3,108,70,104303
141,4,108,70,104304
142,5,108,70,104305
143,6,108,70,104306
144,1,109,45,105101
145,2,109,45,105102
146,3,109,45,105103
147,4,109,45,105104
148,5,109,45,105105
149,6,109,45,105106
150,1,110,30,105201
151,2,110,30,105202
152,3,110,30,105203
153,4,110,30,105204
154,5,110,30,105205
155,6,110,30,105206
156,1,111,45,105301
157,2,111,45,105302
158,3,111,45,105303
159,4,111,45,105304
160,5,111,45,105305
161,6,111,45,105306
162,1,112,75,106101
163,2,112,75,106102
164,3,112,75,106103
165,4,112,75,106104
166,5,112,75,106105
167,6,112,75,106106
168,7,112,75,106107
169,1,113,50,106201
170,2,113,50,106202
171,3,113,50,106203
172,4,113,50,106204
173,5,113,50,106205
174,6,113,50,106206
175,7,113,50,106207
176,1,114,75,106301
177,2,114,75,106302
178,3,114,75,106303
179,4,114,75,106304
180,5,114,75,106305
181,6,114,75,106306
182,7,114,75,106307
183,1,115,55,107101
184,2,115,55,107102
185,3,115,55,107103
186,4,115,55,107104
187,5,115,55,107105
188,6,115,55,107106
189,7,115,55,107107
190,8,115,55,107108
191,1,116,55,107201
192,2,116,55,107202
193,3,116,55,107203
194,4,116,55,107204
195,5,116,55,107205
196,6,116,55,107206
197,7,116,55,107207
198,8,116,55,107208
199,1,117,55,107301
200,2,117,55,107302
201,3,117,55,107303
202,4,117,55,107304
203,5,117,55,107305
204,6,117,55,107306
205,7,117,55,107307
206,8,117,55,107308
207,1,118,75,108101
208,2,118,75,108102
209,3,118,75,108103
210,4,118,75,108104
211,5,118,75,108105
212,6,118,75,108106
213,7,118,75,108107
214,8,118,75,108108
215,9,118,75,108109
216,1,119,30,108201
217,2,119,30,108202
218,3,119,30,108203
219,4,119,30,108204
220,5,119,30,108205
221,6,119,30,108206
222,7,119,30,108207
223,8,119,30,108208
224,9,119,30,108209
225,1,120,40,108301
226,2,120,40,108302
227,3,120,40,108303
228,4,120,40,108304
229,5,120,40,108305
230,6,120,40,108306
231,7,120,40,108307
232,8,120,40,108308
233,9,120,40,108309
234,1,121,55,109101
235,2,121,55,109102
236,3,121,55,109103
237,4,121,55,109104
238,5,121,55,109105
239,6,121,55,109106
240,7,121,55,109107
241,8,121,55,109108
242,9,121,55,109109
243,10,121,55,109110
244,1,122,40,109201
245,2,122,40,109202
246,3,122,40,109203
247,4,122,40,109204
248,5,122,40,109205
249,6,122,40,109206
250,7,122,40,109207
251,8,122,40,109208
252,9,122,40,109209
253,10,122,40,109210
254,1,123,50,109301
255,2,123,50,109302
256,3,123,50,109303
257,4,123,50,109304
258,5,123,50,109305
259,6,123,50,109306
260,7,123,50,109307
261,8,123,50,109308
262,9,123,50,109309
263,10,123,50,109310
264,1,124,55,110101
265,2,124,55,110102
266,3,124,55,110103
267,4,124,55,110104
268,5,124,55,110105
269,6,124,55,110106
270,7,124,55,110107
271,8,124,55,110108
272,9,124,55,110109
273,10,124,55,110110
274,1,125,55,110201
275,2,125,55,110202
276,3,125,55,110203
277,4,125,55,110204
278,5,125,55,110205
279,6,125,55,110206
280,7,125,55,110207
281,8,125,55,110208
282,9,125,55,110209
283,10,125,55,110210
284,1,126,25,110301
285,2,126,25,110302
286,3,126,25,110303
287,4,126,25,110304
288,5,126,25,110305
289,6,126,25,110306
290,7,126,25,110307
291,8,126,25,110308
292,9,126,25,110309
293,10,126,25,110310
300,1,127,50,120101
301,2,127,50,120102
302,3,127,50,120103
303,4,127,50,120104
304,5,127,50,120105
305,1,128,50,120201
306,2,128,50,120202
307,3,128,50,120203
308,4,128,50,120204
309,5,128,50,120205
310,1,129,50,120301
311,2,129,50,120302
312,3,129,50,120303
313,4,129,50,120304
314,5,129,50,120305
315,1,130,50,120401
316,2,130,50,120402
317,3,130,50,120403
318,4,130,50,120404
319,5,130,50,120405
320,1,131,50,120501
321,2,131,50,120502
322,3,131,50,120503
323,4,131,50,120504
324,5,131,50,120505
