id,day,free_reward,group,vip,vip_reward
1,1,500001,1,2,600001
2,2,500002,1,2,600002
3,3,500003,1,2,600003
4,4,500004,1,2,600004
5,5,500005,1,2,600005
6,6,500006,1,2,600006
7,7,500007,1,2,600007
101,1,11222001,2,2,11222101
102,2,11222002,2,2,11222102
103,3,11222003,2,2,11222103
104,4,11222004,2,2,11222104
201,1,12285001,3,2,12285011
202,2,12285002,3,2,12285012
203,3,12285003,3,2,12285013
204,4,12285004,3,2,12285014
205,5,12285005,3,2,12285015
206,6,12285006,3,2,12285016
207,7,12285007,3,2,12285017
301,1,402028001,4,2,402028011
302,2,402028002,4,2,402028012
401,1,402075001,5,2,402075011
402,2,402075002,5,2,402075012
403,3,402075003,5,2,402075013
404,4,402075004,5,2,402075014
405,5,402075005,5,2,402075015
406,6,402075006,5,2,402075016
407,7,402075007,5,2,402075017
501,1,402267001,6,2,402267101
502,2,402267002,6,2,402267102
503,3,402267003,6,2,402267103
504,4,402267004,6,2,402267104
505,5,402267005,6,2,402267105
601,1,403075001,7,2,403075101
602,2,403075002,7,2,403075102
603,3,403075003,7,2,403075103
604,4,403075004,7,2,403075104
605,5,403075005,7,2,403075105
606,6,403075006,7,2,403075106
607,7,403075007,7,2,403075107
701,1,403282301,8,2,403282401
702,2,403282302,8,2,403282402
703,3,403282303,8,2,403282403
704,4,403282304,8,2,403282404
705,5,403282305,8,2,403282405
706,6,403282306,8,2,403282406
707,7,403282307,8,2,403282407
801,1,405282401,9,2,405282501
802,2,405282402,9,2,405282502
803,3,405282403,9,2,405282503
804,4,405282404,9,2,405282504
805,5,405282405,9,2,405282505
806,6,405282406,9,2,405282506
807,7,405282407,9,2,405282507
901,1,602042001,10,2,-1
902,2,602042002,10,2,-1
903,3,602042003,10,2,-1
904,4,602042004,10,2,-1
905,5,602042005,10,2,-1
906,6,602042006,10,2,-1
1001,1,405282401,11,0,-1
1002,2,405282402,11,0,-1
1003,3,405282403,11,0,-1
1004,4,405282404,11,0,-1
1005,5,405282405,11,0,-1
1006,6,405282406,11,0,-1
1007,7,405282407,11,0,-1
