id,desc1,desc2,is_open,is_set,order,para,platform,server_or_client,set_initialize,title1,title2
101,notice_desc_101,notice_set_desc_101,1,1,1,,,2,1,notice_tile_101,notice_set_title_101
102,notice_desc_102,notice_set_desc_102,1,1,2,,,2,1,notice_tile_102,notice_set_title_102
103,notice_desc_103,notice_set_desc_103,1,1,3,,,1,1,notice_tile_103,notice_set_title_103
104,notice_desc_104,notice_set_desc_104,1,1,4,,,1,1,notice_tile_104,notice_set_title_104
105,notice_desc_105,notice_set_desc_105,1,1,5,,,1,1,notice_tile_105,notice_set_title_105
106,notice_desc_106,notice_set_desc_106,1,1,6,,,1,0,notice_tile_106,notice_set_title_106
107,notice_desc_107,notice_set_desc_107,1,1,7,,,1,1,notice_tile_107,notice_set_title_107
108,notice_desc_108,notice_set_desc_108,1,1,10,,,1,1,notice_tile_108,notice_set_title_108
109,notice_desc_109,notice_set_desc_109,1,2,12,999,,2,0,notice_tile_109,notice_set_title_109
110,notice_desc_110,notice_set_desc_110,1,0,9,,,1,1,notice_tile_110,notice_set_title_110
111,notice_desc_111,notice_set_desc_111,1,0,998,5,,1,1,notice_tile_111,notice_set_title_111
112,notice_desc_112,notice_set_desc_112,1,1,11,,,1,1,notice_tile_112,notice_set_title_112
114,notice_desc_114,notice_set_desc_114,1,1,999,,,1,1,notice_tile_114,notice_set_title_114
115,notice_desc_115,notice_set_desc_115,1,1,8,,,1,1,notice_tile_115,notice_set_title_115
116,notice_desc_116,notice_set_desc_116,1,1,13,,,1,1,notice_tile_116,notice_set_title_116
117,notice_desc_117,notice_set_desc_117,1,1,14,,,1,1,notice_tile_117,notice_set_title_117
118,notice_desc_118,notice_set_desc_118,0,1,999,,,1,1,notice_tile_118,notice_set_title_118
119,notice_desc_117,notice_set_desc_117,1,0,14,,,1,1,notice_tile_117,notice_set_title_117
121,notice_desc_121,notice_set_desc_121,1,1,16,,,1,1,notice_tile_121,notice_set_title_121
122,notice_desc_122,notice_set_desc_122,1,1,17,,,1,1,notice_tile_122,notice_set_title_122
123,notice_desc_123,notice_set_desc_123,1,1,18,,,1,1,notice_tile_123,notice_set_title_123
124,christmas_notice,christmas_notice,1,2,19,,,1,1,server_donate_01,server_donate_01
125,notice_desc_125,notice_set_desc_125,1,1,20,,,1,1,notice_tile_125,notice_set_title_125
126,newyear_notice,newyear_notice,1,0,20,,,1,1,newyear_notice1,newyear_notice1
127,pubg_battle_name_1104,pubg_battle_name_1106,1,1,21,,,1,1,pubg_battle_name_1103,pubg_battle_name_1105
128,crossover_dragon_push,crossover_dragon_push,1,0,20,,,1,1,crossover_dragon_notice1,crossover_dragon_notice1
129,notice_desc_129,notice_set_desc_129,1,1,20,,,1,1,elf_d1,elf_d1
130,notice_desc_130,notice_set_desc_130,1,1,20,,,1,1,notice_tile_130,notice_tile_130
