id,box_quality,group,icon,max_chest_num,min_chest_num,refresh_weight,reward_id
1,1,1,box3,5,0,7,9260001
2,2,1,box2,5,1,23,9260002
3,3,1,box1,8,0,70,9260003
4,1,2,box3,5,0,7,9261001
5,2,2,box2,5,1,23,9261002
6,3,2,box1,8,0,70,9261003
7,1,3,box3,5,0,7,10114001
8,2,3,box2,5,1,23,10114002
9,3,3,box1,8,0,70,10114003
10,1,4,box3,5,0,7,10190001
11,2,4,box2,5,1,23,10190002
12,3,4,box1,8,0,70,10190003
13,1,5,box3,5,0,7,10260001
14,2,5,box2,5,1,23,10260002
15,3,5,box1,8,0,70,10260003
16,1,6,box3,5,0,7,10310001
17,2,6,box2,5,1,23,10310002
18,3,6,box1,8,0,70,10310003
19,1,7,box3,5,0,7,11012001
20,2,7,box2,5,1,23,11012002
21,3,7,box1,8,0,70,11012003
22,1,8,box3,5,0,7,11170001
23,2,8,box2,5,1,23,11170002
24,3,8,box1,8,0,70,11170003
25,1,9,box3,5,0,7,11290001
26,2,9,box2,5,1,23,11290002
27,3,9,box1,8,0,70,11290003
28,1,10,box3,5,0,7,11303001
29,2,10,box2,5,1,23,11303002
30,3,10,box1,8,0,70,11303003
31,1,11,box3,5,0,7,12080001
32,2,11,box2,5,1,23,12080002
33,3,11,box1,8,0,70,12080003
34,1,12,box3,5,0,7,12200101
35,2,12,box2,5,1,23,12200102
36,3,12,box1,8,0,70,12200103
37,1,13,box3,5,0,7,12210001
38,2,13,box2,5,1,23,12210002
39,3,13,box1,8,0,70,12210003
40,1,14,box3,5,0,7,12293001
41,2,14,box2,5,1,23,12293002
42,3,14,box1,8,0,70,12293003
43,1,15,box3,5,0,7,401045001
44,2,15,box2,5,1,23,401045002
45,3,15,box1,8,0,70,401045003
46,1,16,box3,5,0,7,401110901
47,2,16,box2,5,1,23,401110902
48,3,16,box1,8,0,70,401110903
49,1,17,box3,5,0,7,401187401
50,2,17,box2,5,1,23,401187402
51,3,17,box1,8,0,70,401187403
52,1,18,box3,5,0,7,401310001
53,2,18,box2,5,1,23,401310002
54,3,18,box1,8,0,70,401310003
55,1,19,box3,5,0,7,402020011
56,2,19,box2,5,1,23,402020012
57,3,19,box1,8,0,70,402020013
58,1,20,box3,5,0,7,402210101
59,2,20,box2,5,1,23,402210102
60,3,20,box1,8,0,70,402210103
61,1,21,box3,5,0,7,402227777
62,2,21,box2,5,1,23,402227778
63,3,21,box1,8,0,70,402227779
64,1,22,box3,5,0,7,403057501
65,2,22,box2,5,1,23,403057502
66,3,22,box1,8,0,70,403057503
67,1,23,box3,5,0,7,403080011
68,2,23,box2,5,1,23,403080012
69,3,23,box1,8,0,70,403080013
70,1,24,box3,5,0,7,403220011
71,2,24,box2,5,1,23,403220012
72,3,24,box1,8,0,70,403220013
73,1,25,box3,5,0,7,403271011
74,2,25,box2,5,1,23,403271012
75,3,25,box1,8,0,70,403271013
77,1,26,box3,5,0,7,404026001
78,2,26,box2,5,1,23,404026002
79,3,26,box1,8,0,70,404026003
80,1,27,box3,5,0,7,404020001
81,2,27,box2,5,1,23,404020002
82,3,27,box1,8,0,70,404020003
83,1,28,box3,5,0,7,404250001
84,2,28,box2,5,1,23,404250002
85,3,28,box1,8,0,70,404250003
86,1,29,box3,5,0,7,404256001
87,2,29,box2,5,1,23,404256002
88,3,29,box1,8,0,70,404256003
89,1,30,box3,5,0,7,405100001
90,2,30,box2,5,1,23,405100002
91,3,30,box1,8,0,70,405100003
