id,group,order,reward,type
1,1,1,11130001,1
2,1,2,11130002,1
3,1,3,11130003,1
4,1,4,11130004,1
5,1,5,11130005,1
6,1,6,11130006,1
7,1,7,11130007,1
8,1,8,11130008,1
1001,1,9,603170001,1
1002,1,10,603170002,1
1003,1,11,603170003,1
1004,1,12,603170004,1
9,1,1,11130009,2
10,1,2,11130010,2
11,1,3,11130011,2
12,1,4,11130012,2
13,1,5,11130013,2
14,1,6,11130014,2
15,1,7,11130015,2
16,1,8,11130016,2
2001,1,9,603170011,2
2002,1,10,603170012,2
2003,1,11,603170013,2
2004,1,12,603170014,2
17,1,1,11130017,3
18,1,2,11130018,3
19,1,3,11130019,3
20,1,4,11130020,3
21,1,5,11130021,3
22,1,6,11130022,3
23,1,7,11130023,3
24,1,8,11130024,3
3001,1,9,603170021,3
3002,1,10,603170022,3
3003,1,11,603170023,3
3004,1,12,603170024,3
