id,after_build_disappear_time,before_build_disappear_time,day_max_times,double_time,goods_id,help_reward,mail_id,max_player,max_reward,model,name,reward_id,size,time
1,86400,28800,5,1,408261001,408221152,3031,10,20,WorldMap/Building/party_goods_001,anniversary_party_good_key1,408221151,[2|2],60
2,86400,28800,5,-1,254,-1,1135,10,10,WorldMap/Building/party_goods_002,party_pet_01,412020101,[2|2],60
3,86400,28800,5,-1,254,-1,1135,10,10,WorldMap/Building/party_goods_002,party_pet_01,412020101,[2|2],60
4,86400,28800,5,1,408261001,408221152,3031,10,20,WorldMap/Building/party_goods_001,most_popular_353,408221151,[2|2],60
5,86400,28800,5,1,-1,37883,8016,10,20,Seasons/S2/WorldMap/ice_box_1_1,season_encounter_box1,37877,[1|1],60
6,86400,28800,5,1,-1,37883,8016,10,20,Seasons/S2/WorldMap/ice_box_2_1,season_encounter_box2,37878,[1|1],60
7,86400,28800,5,1,-1,37883,8016,10,20,Seasons/S2/WorldMap/ice_box_3_1,season_encounter_box3,37879,[1|1],60
8,86400,28800,5,1,-1,38023,8024,10,20,Seasons/S1/WorldMap/sand_box_1_1,sand_encounter_box1,38017,[1|1],60
9,86400,28800,5,1,-1,38023,8024,10,20,Seasons/S1/WorldMap/sand_box_2_1,sand_encounter_box2,38018,[1|1],60
10,86400,28800,5,1,-1,38023,8024,10,20,Seasons/S1/WorldMap/sand_box_3_1,sand_encounter_box3,38019,[1|1],60
11,86400,28800,5,1,408261001,408221152,3031,10,20,WorldMap/Building/party_goods_001,dream_land_desc_19,408221151,[2|2],60
12,86400,28800,5,1,-1,47079,8024,10,20,Seasons/S1/WorldMap/sand_box_1_1,sand_encounter_box1,47072,[1|1],60
13,86400,28800,5,1,-1,47079,8024,10,20,Seasons/S1/WorldMap/sand_box_2_1,sand_encounter_box2,47073,[1|1],60
14,86400,28800,5,1,-1,47079,8024,10,20,Seasons/S1/WorldMap/sand_box_3_1,sand_encounter_box3,47074,[1|1],60
15,86400,28800,5,1,-1,408221152,3036,10,50,WorldMap/Building/party_goods_003,bounty_task_name_21,602098001,[2|2],60
16,86400,28800,15,-1,-1,602098003,5106,10,-1,WorldMap/Building/DragonPreHeatPartyGoods,crossover_warm_des5,-1,[2|2],30
17,86400,28800,5,1,-1,47474,8016,10,20,Seasons/S2/WorldMap/ice_box_1_1,season_encounter_box1,47467,[1|1],60
18,86400,28800,5,1,-1,47474,8016,10,20,Seasons/S2/WorldMap/ice_box_2_1,season_encounter_box2,47468,[1|1],60
19,86400,28800,5,1,-1,47474,8016,10,20,Seasons/S2/WorldMap/ice_box_3_1,season_encounter_box3,47469,[1|1],60
