id,att_pet,attr_pets,attr_role,attr_roles,discription,exp,fightforce,index,need_break,need_level,pet_id
301001,,[],,[],,10,-1,1,1,-1,830001
301002,,[],,[],,10,-1,2,2,-1,830001
301003,,[],,[],,10,-1,3,3,-1,830001
301004,,[],,[],,10,-1,4,4,-1,830001
301005,,[],,[],,10,-1,5,5,-1,830001
301006,,[],,[],,10,-1,6,6,-1,830001
301007,,[],,[],,10,-1,7,7,-1,830001
301008,,[],,[],,10,-1,8,8,-1,830001
301009,,[],,[],,10,-1,9,9,-1,830001
301010,,[],,[],,10,-1,10,10,-1,830001
301011,,[],,[],,10,-1,11,11,-1,830001
301012,,[],,[],,20,-1,12,12,-1,830001
301013,,[],,[],,20,-1,13,13,-1,830001
301014,,[],,[],,20,-1,14,14,-1,830001
301015,,[],,[],,20,-1,15,15,-1,830001
301016,,[],,[],,20,-1,16,16,-1,830001
301017,,[],,[],,20,-1,17,17,-1,830001
302001,,[],,[],,10,-1,1,1,-1,830002
302002,,[],,[],,10,-1,2,2,-1,830002
302003,,[],,[],,10,-1,3,3,-1,830002
302004,,[],,[],,10,-1,4,4,-1,830002
302005,,[],,[],,10,-1,5,5,-1,830002
302006,,[],,[],,10,-1,6,6,-1,830002
302007,,[],,[],,10,-1,7,7,-1,830002
302008,,[],,[],,10,-1,8,8,-1,830002
302009,,[],,[],,10,-1,9,9,-1,830002
302010,,[],,[],,10,-1,10,10,-1,830002
302011,,[],,[],,10,-1,11,11,-1,830002
302012,,[],,[],,20,-1,12,12,-1,830002
302013,,[],,[],,20,-1,13,13,-1,830002
302014,,[],,[],,20,-1,14,14,-1,830002
302015,,[],,[],,20,-1,15,15,-1,830002
302016,,[],,[],,20,-1,16,16,-1,830002
302017,,[],,[],,20,-1,17,17,-1,830002
303001,,[],,[],,10,-1,1,1,-1,830003
303002,,[],,[],,10,-1,2,2,-1,830003
303003,,[],,[],,10,-1,3,3,-1,830003
303004,,[],,[],,10,-1,4,4,-1,830003
303005,,[],,[],,10,-1,5,5,-1,830003
303006,,[],,[],,10,-1,6,6,-1,830003
303007,,[],,[],,10,-1,7,7,-1,830003
303008,,[],,[],,10,-1,8,8,-1,830003
303009,,[],,[],,10,-1,9,9,-1,830003
303010,,[],,[],,10,-1,10,10,-1,830003
303011,,[],,[],,10,-1,11,11,-1,830003
303012,,[],,[],,20,-1,12,12,-1,830003
303013,,[],,[],,20,-1,13,13,-1,830003
303014,,[],,[],,20,-1,14,14,-1,830003
