id,break_level,conversion_rate,cost,costs,decomposed_get,desc,desc_2,desc_parameter,extra,extras,fightforce,pet_break_scale,pet_id,pet_info_scale,pet_lv_max,pet_lv_min,pet_skin_id,quality,scene_scale,show_star,skill,skill_level,special
8310001,0,2000,,[],-1,,,,,[],1375,1,830001,1,20,0,56001,2,0.8,0,[8300101|8300102|8300103],[1|0|0],-1
8310002,1,2400,[1|0|1],[[1|0|1]],100,,,,,[],4400,1,830001,1,30,5,56001,2,0.8,1,[8300101|8300102|8300103],[1|0|0],-1
8310003,2,2800,[2|0|2],[[2|0|2]],300,,,,,[],9900,1,830001,1,40,10,56001,2,0.8,2,[8300101|8300102|8300103],[2|0|0],-1
8310004,3,3200,[2|0|3],[[2|0|3]],600,,,,,[],16800,1,830001,1,50,15,56001,2,0.8,3,[8300101|8300102|8300103],[2|0|0],-1
8310005,4,3600,[1|0|2],[[1|0|2]],800,,,,,[],27625,1,830001,1,60,20,56002,2,1.2,4,[8300101|8300102|8300103],[3|0|0],-1
8310006,5,4000,[2|0|3],[[2|0|3]],1100,,,,,[],39000,1,830001,1,60,25,56002,3,1.2,0,[8300101|8300102|8300103],[3|1|0],-1
8310007,6,4400,[2|0|4],[[2|0|4]],1500,,,,,[],56350,1,830001,1,60,30,56002,3,1.2,1,[8300101|8300102|8300103],[3|1|0],-1
8310008,7,4800,[2|0|5],[[2|0|5]],2000,,,,,[],72800,1,830001,1,60,35,56002,3,1.2,2,[8300101|8300102|8300103],[3|2|0],-1
8310009,8,5200,[1|0|5],[[1|0|5]],2500,,,,,[],97875,1,830001,1,60,40,56003,3,1,3,[8300101|8300102|8300103],[3|2|0],-1
8310010,9,5600,[2|0|6],[[2|0|6]],3100,,,,,[],120000,1,830001,1,60,45,56003,3,1,4,[8300101|8300102|8300103],[3|3|0],-1
8310011,10,6000,[2|0|8],[[2|0|8]],3900,,,,,[],144375,1,830001,1,60,50,56003,3,1,5,[8300101|8300102|8300103],[3|3|0],-1
8310012,11,6400,[1|0|10],[[1|0|10]],4900,,,,,[],182400,1,830001,1,60,55,56003,4,1,0,[8300101|8300102|8300103],[3|3|1],-1
8310013,12,6800,[1|0|4|2|0|5],[[1|0|4]|[2|0|5]],5800,,,,,[],213200,1,830001,1,70,55,56003,4,1,1,[8300101|8300102|8300103],[3|3|1],-1
8310014,13,7200,[1|0|4|2|0|5],[[1|0|4]|[2|0|5]],6700,,,,,[],235200,1,830001,1,70,55,56003,4,1,2,[8300101|8300102|8300103],[3|3|1],-1
8310015,14,7600,[1|0|5|2|0|10],[[1|0|5]|[2|0|10]],8200,,,,,[],258000,1,830001,1,80,60,56003,4,1,3,[8300101|8300102|8300103],[3|3|1],-1
8310016,15,8000,[1|0|5|2|0|10],[[1|0|5]|[2|0|10]],9700,,,,,[],281600,1,830001,1,80,65,56003,4,1,4,[8300101|8300102|8300103],[3|3|1],-1
8310017,16,8400,[1|0|5|2|0|15],[[1|0|5]|[2|0|15]],11700,,,,,[],306000,1,830001,1,90,70,56003,4,1,5,[8300101|8300102|8300103],[3|3|1],-1
8310018,17,8800,[1|0|5|2|0|20],[[1|0|5]|[2|0|20]],14200,,,,,[],331200,1,830001,1,90,75,56004,5,1,0,[8300101|8300102|8300103],[3|3|1],-1
8320001,0,2000,,[],-1,,,,,[],1375,1,830002,1,20,0,56011,2,0.6,0,[8300201|8300202|8300203],[1|0|0],-1
8320002,1,2400,[1|0|1],[[1|0|1]],100,,,,,[],4400,1,830002,1,30,5,56011,2,0.6,1,[8300201|8300202|8300203],[1|0|0],-1
8320003,2,2800,[2|0|2],[[2|0|2]],300,,,,,[],9900,1,830002,1,40,10,56011,2,0.6,2,[8300201|8300202|8300203],[2|0|0],-1
8320004,3,3200,[2|0|3],[[2|0|3]],600,,,,,[],16800,1,830002,1,50,15,56011,2,0.6,3,[8300201|8300202|8300203],[2|0|0],-1
8320005,4,3600,[1|0|2],[[1|0|2]],800,,,,,[],27625,1,830002,1,60,20,56012,2,0.8,4,[8300201|8300202|8300203],[3|0|0],-1
8320006,5,4000,[2|0|3],[[2|0|3]],1100,,,,,[],39000,1,830002,1,60,25,56012,3,0.8,0,[8300201|8300202|8300203],[3|1|0],-1
8320007,6,4400,[2|0|4],[[2|0|4]],1500,,,,,[],56350,1,830002,1,60,30,56012,3,0.8,1,[8300201|8300202|8300203],[3|1|0],-1
8320008,7,4800,[2|0|5],[[2|0|5]],2000,,,,,[],72800,1,830002,1,60,35,56012,3,0.8,2,[8300201|8300202|8300203],[3|2|0],-1
8320009,8,5200,[1|0|5],[[1|0|5]],2500,,,,,[],97875,1,830002,1,60,40,56013,3,1,3,[8300201|8300202|8300203],[3|2|0],-1
8320010,9,5600,[2|0|6],[[2|0|6]],3100,,,,,[],120000,1,830002,1,60,45,56013,3,1,4,[8300201|8300202|8300203],[3|3|0],-1
8320011,10,6000,[2|0|8],[[2|0|8]],3900,,,,,[],144375,1,830002,1,60,50,56013,3,1,5,[8300201|8300202|8300203],[3|3|0],-1
8320012,11,6400,[1|0|10],[[1|0|10]],4900,,,,,[],182400,1,830002,1,60,55,56013,4,1,0,[8300201|8300202|8300203],[3|3|1],-1
8320013,12,6800,[1|0|4|2|0|5],[[1|0|4]|[2|0|5]],5800,,,,,[],213200,1,830002,1,70,55,56013,4,1,1,[8300201|8300202|8300203],[3|3|1],-1
8320014,13,7200,[1|0|4|2|0|5],[[1|0|4]|[2|0|5]],6700,,,,,[],235200,1,830002,1,70,55,56013,4,1,2,[8300201|8300202|8300203],[3|3|1],-1
8320015,14,7600,[1|0|5|2|0|10],[[1|0|5]|[2|0|10]],8200,,,,,[],258000,1,830002,1,80,60,56013,4,1,3,[8300201|8300202|8300203],[3|3|1],-1
8320016,15,8000,[1|0|5|2|0|10],[[1|0|5]|[2|0|10]],9700,,,,,[],281600,1,830002,1,80,65,56013,4,1,4,[8300201|8300202|8300203],[3|3|1],-1
8320017,16,8400,[1|0|5|2|0|15],[[1|0|5]|[2|0|15]],11700,,,,,[],306000,1,830002,1,90,70,56013,4,1,5,[8300201|8300202|8300203],[3|3|1],-1
8320018,17,8800,[1|0|5|2|0|20],[[1|0|5]|[2|0|20]],14200,,,,,[],331200,1,830002,1,90,75,56014,5,1,0,[8300201|8300202|8300203],[3|3|1],-1
8330001,0,2000,,[],-1,,,,,[],1375,2,830003,2,20,0,56021,2,2,0,[8300301|8300302|8300303],[1|0|0],-1
8330002,1,2400,[1|0|1],[[1|0|1]],100,,,,,[],4400,2,830003,2,30,5,56021,2,2,1,[8300301|8300302|8300303],[1|0|0],-1
8330003,2,2800,[2|0|2],[[2|0|2]],300,,,,,[],9900,2,830003,2,40,10,56021,2,2,2,[8300301|8300302|8300303],[2|0|0],-1
8330004,3,3200,[2|0|3],[[2|0|3]],600,,,,,[],16800,2,830003,2,50,15,56021,2,2,3,[8300301|8300302|8300303],[2|0|0],-1
8330005,4,3600,[1|0|2],[[1|0|2]],800,,,,,[],27625,2,830003,2,60,20,56022,2,2,4,[8300301|8300302|8300303],[3|0|0],-1
8330006,5,4000,[2|0|3],[[2|0|3]],1100,,,,,[],39000,2,830003,2,60,25,56022,3,2,0,[8300301|8300302|8300303],[3|1|0],-1
8330007,6,4400,[2|0|4],[[2|0|4]],1500,,,,,[],56350,2,830003,2,60,30,56022,3,2,1,[8300301|8300302|8300303],[3|1|0],-1
8330008,7,4800,[2|0|5],[[2|0|5]],2000,,,,,[],72800,2,830003,2,60,35,56022,3,2,2,[8300301|8300302|8300303],[3|2|0],-1
8330009,8,5200,[1|0|5],[[1|0|5]],2500,,,,,[],97875,2,830003,2,60,40,56023,3,2,3,[8300301|8300302|8300303],[3|2|0],-1
8330010,9,5600,[2|0|6],[[2|0|6]],3100,,,,,[],120000,2,830003,2,60,45,56023,3,2,4,[8300301|8300302|8300303],[3|3|0],-1
8330011,10,6000,[2|0|8],[[2|0|8]],3900,,,,,[],144375,2,830003,2,60,50,56023,3,2,5,[8300301|8300302|8300303],[3|3|0],-1
8330012,11,6400,[1|0|10],[[1|0|10]],4900,,,,,[],182400,2,830003,2,60,55,56023,4,2,0,[8300301|8300302|8300303],[3|3|1],-1
8330013,12,6800,[1|0|4|2|0|5],[[1|0|4]|[2|0|5]],5800,,,,,[],213200,2,830003,2,70,55,56023,4,2,1,[8300301|8300302|8300303],[3|3|1],-1
8330014,13,7200,[1|0|4|2|0|5],[[1|0|4]|[2|0|5]],6700,,,,,[],235200,2,830003,2,70,55,56023,4,2,2,[8300301|8300302|8300303],[3|3|1],-1
8330015,14,7600,[1|0|5|2|0|10],[[1|0|5]|[2|0|10]],8200,,,,,[],258000,2,830003,2,80,60,56023,4,2,3,[8300301|8300302|8300303],[3|3|1],-1
8330016,15,8000,[1|0|5|2|0|10],[[1|0|5]|[2|0|10]],9700,,,,,[],281600,2,830003,2,80,65,56023,4,2,4,[8300301|8300302|8300303],[3|3|1],-1
8330017,16,8400,[1|0|5|2|0|15],[[1|0|5]|[2|0|15]],11700,,,,,[],306000,2,830003,2,90,70,56023,4,2,5,[8300301|8300302|8300303],[3|3|1],-1
8330018,17,8800,[1|0|5|2|0|20],[[1|0|5]|[2|0|20]],14200,,,,,[],331200,2,830003,2,90,75,56024,5,2,0,[8300301|8300302|8300303],[3|3|1],-1
