id,break_max,component_unlock,decomposed_get,guidebook_openday,guidebook_server_list,hide,origin_break,serverLists
830001,17,[10|20|30|40],100,3,[1-501|10001-99999|1001-9999],0,0,[[1|501]|[10001|99999]|[1001|9999]]
830002,17,[10|20|30|40],100,3,[1-501|10001-99999|1001-9999],0,0,[[1|501]|[10001|99999]|[1001|9999]]
830003,17,[10|20|30|40],100,3,[1-501|10001-99999|1001-9999],0,0,[[1|501]|[10001|99999]|[1001|9999]]
840001,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840002,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840003,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840004,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840005,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840006,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840007,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840008,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840009,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840010,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840011,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840012,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840013,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840014,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840015,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
840016,23,[10|20|30|40],600,5,[1-501|10001-99999|1001-9999],0,5,[[1|501]|[10001|99999]|[1001|9999]]
