id,attr_pet,attr_pets,attr_role,attr_roles,fightforce,level_exp
1,,[],[3|60|4|450],[[3|60]|[4|450]],2200,10
2,,[],[3|65|4|500],[[3|65]|[4|500]],2400,20
3,,[],[3|70|4|500],[[3|70]|[4|500]],2600,30
4,,[],[3|75|4|550],[[3|75]|[4|550]],2800,40
5,,[],[3|80|4|600],[[3|80]|[4|600]],2900,50
6,,[],[3|85|4|650],[[3|85]|[4|650]],3100,60
7,,[],[3|95|4|700],[[3|95]|[4|700]],3400,70
8,,[],[3|105|4|750],[[3|105]|[4|750]],3800,80
9,,[],[3|115|4|800],[[3|115]|[4|800]],4100,90
10,,[],[3|125|4|900],[[3|125]|[4|900]],4400,100
11,,[],[3|140|4|1000],[[3|140]|[4|1000]],4900,130
12,,[],[3|155|4|1100],[[3|155]|[4|1100]],5400,160
13,,[],[3|170|4|1200],[[3|170]|[4|1200]],5900,190
14,,[],[3|185|4|1250],[[3|185]|[4|1250]],6400,220
15,,[],[3|205|4|1400],[[3|205]|[4|1400]],7000,260
16,,[],[3|220|4|1550],[[3|220]|[4|1550]],7700,300
17,,[],[3|240|4|1650],[[3|240]|[4|1650]],8300,340
18,,[],[3|260|4|1800],[[3|260]|[4|1800]],9000,380
19,,[],[3|285|4|1950],[[3|285]|[4|1950]],9800,420
20,,[],[3|315|4|2150],[[3|315]|[4|2150]],10700,460
21,,[],[3|345|4|2350],[[3|345]|[4|2350]],11700,500
22,,[],[3|375|4|2550],[[3|375]|[4|2550]],12800,550
23,,[],[3|415|4|2800],[[3|415]|[4|2800]],14000,600
24,,[],[3|450|4|3050],[[3|450]|[4|3050]],15300,650
25,,[],[3|500|4|3350],[[3|500]|[4|3350]],16900,700
26,,[],[3|545|4|3700],[[3|545]|[4|3700]],18500,750
27,,[],[3|610|4|4100],[[3|610]|[4|4100]],20500,800
28,,[],[3|670|4|4550],[[3|670]|[4|4550]],22600,850
29,,[],[3|750|4|5050],[[3|750]|[4|5050]],25200,900
30,,[],[3|830|4|5550],[[3|830]|[4|5550]],27900,950
31,,[],[3|920|4|6200],[[3|920]|[4|6200]],31000,1000
32,,[],[3|1015|4|6850],[[3|1015]|[4|6850]],34200,1100
33,,[],[3|1130|4|7600],[[3|1130]|[4|7600]],37900,1200
34,,[],[3|1245|4|8350],[[3|1245]|[4|8350]],41700,1300
35,,[],[3|1380|4|9250],[[3|1380]|[4|9250]],46300,1400
36,,[],[3|1520|4|10200],[[3|1520]|[4|10200]],50900,1500
37,,[],[3|1680|4|11250],[[3|1680]|[4|11250]],56300,1600
38,,[],[3|1845|4|12350],[[3|1845]|[4|12350]],61700,1800
39,,[],[3|2040|4|13650],[[3|2040]|[4|13650]],68200,2000
40,,[],[3|2230|4|14950],[[3|2230]|[4|14950]],74700,2200
41,,[],[3|2460|4|16450],[[3|2460]|[4|16450]],82200,2400
42,,[],[3|2685|4|17950],[[3|2685]|[4|17950]],89800,2600
43,,[],[3|2910|4|19450],[[3|2910]|[4|19450]],97300,3000
44,,[],[3|3140|4|21000],[[3|3140]|[4|21000]],104900,3400
45,,[],[3|3400|4|22700],[[3|3400]|[4|22700]],113500,3800
46,,[],[3|3660|4|24450],[[3|3660]|[4|24450]],122200,4200
47,,[],[3|3915|4|26150],[[3|3915]|[4|26150]],130800,4600
48,,[],[3|4175|4|27900],[[3|4175]|[4|27900]],139500,5000
49,,[],[3|4470|4|29850],[[3|4470]|[4|29850]],149200,5400
50,,[],[3|4760|4|31800],[[3|4760]|[4|31800]],158900,5800
51,,[],[3|5235|4|34950],[[3|5235]|[4|34950]],174800,6200
52,,[],[3|5475|4|36550],[[3|5475]|[4|36550]],182700,6600
53,,[],[3|5710|4|38150],[[3|5710]|[4|38150]],190700,7000
54,,[],[3|6190|4|41300],[[3|6190]|[4|41300]],206500,7400
55,,[],[3|6665|4|44500],[[3|6665]|[4|44500]],222400,7800
56,,[],[3|7140|4|47700],[[3|7140]|[4|47700]],238300,8200
57,,[],[3|7615|4|50850],[[3|7615]|[4|50850]],254200,8600
58,,[],[3|8090|4|54050],[[3|8090]|[4|54050]],270100,9000
