id,atlas_name,icon,param,repeat_reward,type,unlock,unlock_dec,use_time
100,Atlas/UI_Head_Frame,icon_avatarFrame_0,-1,,1,-1,player_dress_dec_100,-1
101,Atlas/UI_Head_Frame,icon_avatarFrame_1,60001,,1,1,player_dress_dec_10,14
102,Atlas/UI_Head_Frame,icon_avatarFrame_2,60002,,1,1,player_dress_dec_10,14
103,Atlas/UI_Head_Frame,icon_avatarFrame_3,60003,,1,1,player_dress_dec_10,14
110,Atlas/UI_Head_Frame,icon_avatarFrame_4,60004,999|2|1000,1,1,player_dress_dec_110,-1
111,Atlas/UI_Head_Frame,icon_avatarFrame_5,60005,999|2|1000,1,1,player_dress_dec_11,-1
112,Atlas/UI_Head_Frame,icon_avatarFrame_6,60006,999|2|1000,1,1,player_dress_dec_12,-1
113,Atlas/UI_Head_Frame,icon_avatarFrame_1001,60007,,1,1,player_dress_dec_11,30
114,Atlas/UI_Head_Frame,icon_avatarFrame_7,60008,999|2|1000,1,1,player_dress_dec_13,-1
115,Atlas/UI_Head_Frame,icon_avatarFrame_8,60009,999|2|1000,1,1,player_dress_dec_14,-1
116,Atlas/UI_Head_Frame,icon_avatarFrame_9,60010,999|2|1000,1,1,player_dress_dec_11,-1
117,Atlas/UI_Head_Frame,icon_avatarFrame_10,60011,999|2|1000,1,1,player_dress_dec_11,-1
118,Atlas/UI_Head_Frame,icon_avatarFrame_11,60012,999|2|1000,1,1,player_dress_dec_15,-1
119,Atlas/UI_Head_Frame,icon_avatarFrame_12,60013,999|2|1000,1,1,player_dress_dec_16,-1
120,Atlas/UI_Head_Frame,icon_avatarFrame_13,60014,999|2|1000,1,1,player_dress_dec_15,-1
121,Atlas/UI_Head_Frame,icon_avatarFrame_14,60015,999|2|1000,1,1,player_dress_dec_11,-1
122,Atlas/UI_Head_Frame,icon_avatarFrame_15,60016,999|2|1000,1,1,player_dress_dec_11,-1
123,Atlas/UI_Head_Frame,icon_avatarFrame_16,60017,999|2|1000,1,1,player_dress_dec_11,-1
124,Atlas/UI_Head_Frame,icon_avatarFrame_17,60018,999|2|100,1,1,player_dress_dec_17,-1
125,Atlas/UI_Head_Frame,icon_avatarFrame_18,60019,999|2|1000,1,1,player_dress_dec_11,-1
126,Atlas/UI_Head_Frame,icon_avatarFrame_19,60020,999|2|1000,1,1,player_dress_dec_11,-1
127,Atlas/UI_Head_Frame,icon_avatarFrame_20,60021,999|2|1000,1,1,player_dress_dec_11,-1
128,Atlas/UI_Head_Frame,icon_avatarFrame_21,60022,999|2|1000,1,1,player_dress_dec_11,-1
129,Atlas/UI_Head_Frame,icon_avatarFrame_22,60023,999|2|1000,1,1,player_dress_dec_11,-1
130,Atlas/UI_Head_Frame,icon_avatarFrame_23,60024,999|2|1000,1,1,player_dress_dec_11,-1
131,Atlas/UI_Head_Frame,icon_avatarFrame_24,60025,999|2|1000,1,1,player_dress_dec_18,-1
132,Atlas/UI_Head_Frame,icon_avatarFrame_25,60026,999|2|1000,1,1,player_dress_dec_11,-1
133,Atlas/UI_Head_Frame,icon_avatarFrame_100,60027,999|2|1000,1,1,player_dress_dec_11,-1
134,Atlas/UI_Head_Frame,icon_avatarFrame_26,60028,999|2|1000,1,1,player_dress_dec_134,-1
135,Atlas/UI_Head_Frame,icon_avatarFrame_27,60029,999|2|1000,1,1,player_dress_dec_134,-1
136,Atlas/UI_Head_Frame,icon_avatarFrame_28,60030,999|2|1000,1,1,player_dress_dec_11,-1
137,Atlas/UI_Head_Frame,icon_avatarFrame_29,60031,999|2|1000,1,1,player_dress_dec_19,-1
138,Atlas/UI_Head_Frame,icon_avatarFrame_30,60032,999|2|1000,1,1,map_box_102,-1
139,Atlas/UI_Head_Frame,icon_avatarFrame_34,60033,999|2|1000,1,1,player_dress_dec_11,-1
140,Atlas/UI_Head_Frame,icon_avatarFrame_35,60034,999|2|1000,1,1,player_dress_dec_140,24
141,Atlas/UI_Head_Frame,icon_avatarFrame_33,60035,999|2|1000,1,1,goods_des_60035,-1
142,Atlas/UI_Head_Frame,icon_avatarFrame_32,60036,999|2|1000,1,1,player_dress_dec_18,-1
143,,HeadFrame/headframe_anim_1,60039,999|2|1000,1,1,player_dress_dec_60037,-1
144,Atlas/UI_Head_Frame,icon_avatarFrame_36,60038,999|2|1000,1,1,player_dress_dec_11,-1
145,Atlas/UI_Head_Frame,icon_avatarFrame_38,60044,999|2|1000,1,1,player_dress_dec_11,-1
146,Atlas/UI_Head_Frame,icon_avatarFrame_39,60045,999|2|1000,1,1,player_dress_dec_11,-1
147,Atlas/UI_Head_Frame,icon_avatarFrame_40,60046,999|2|1000,1,1,player_dress_dec_11,-1
148,Atlas/UI_Head_Frame,icon_avatarFrame_41,60047,999|2|1000,1,1,player_dress_dec_11,-1
149,Atlas/UI_Head_Frame,icon_avatarFrame_42,60048,999|2|1000,1,1,player_dress_dec_11,-1
150,Atlas/UI_Head_Frame,icon_avatarFrame_43,60049,999|2|1000,1,1,player_dress_dec_11,-1
151,Atlas/UI_Head_Frame,icon_avatarFrame_45,60050,999|2|1000,1,1,player_dress_dec_11,-1
152,Atlas/UI_Head_Frame,icon_avatarFrame_46,60051,999|2|1000,1,1,player_dress_dec_11,-1
153,Atlas/UI_Head_Frame,icon_avatarFrame_44,60052,999|2|1000,1,1,player_dress_dec_11,-1
154,Atlas/UI_Head_Frame,icon_avatarFrame_47,60053,999|2|1000,1,1,player_dress_dec_11,-1
155,Atlas/UI_Head_Frame,icon_avatarFrame_49,60054,999|2|1000,1,1,player_dress_dec_60054,-1
156,Atlas/UI_Head_Frame,icon_avatarFrame_48,60059,999|2|1000,1,1,player_dress_dec_60059,-1
157,Atlas/UI_Head_Frame,icon_avatarFrame_51,60060,999|2|1000,1,1,player_dress_dec_11,-1
158,Atlas/UI_Head_Frame,icon_avatarFrame_52,60061,999|2|1000,1,1,player_dress_dec_11,-1
159,Atlas/UI_Head_Frame,icon_avatarFrame_54,60062,999|2|1000,1,1,player_dress_dec_60062,-1
160,Atlas/UI_Head_Frame,icon_avatarFrame_56,60063,999|2|1000,1,1,player_dress_dec_506,-1
161,Atlas/UI_Head_Frame,icon_avatarFrame_55,60064,999|2|1000,1,1,player_dress_dec_60064,-1
162,Atlas/UI_Head_Frame,icon_avatarFrame_53,60065,999|2|1000,1,1,player_dress_dec_60065,-1
163,,HeadFrame/vx_frame_firephoenix,60066,999|2|1000,1,1,player_dress_dec_60066,-1
164,Atlas/UI_Head_Frame,icon_avatarFrame_57,60067,999|2|1000,1,1,player_dress_dec_11,-1
166,Atlas/UI_Head_Frame,icon_avatarFrame_60,60069,999|2|1000,1,1,player_dress_dec_11,-1
167,,HeadFrame/frame_oceanseason,60070,999|2|1000,1,1,player_dress_dec_167,-1
168,Atlas/UI_Head_Frame,icon_avatarFrame_61,60071,999|2|1000,1,1,player_dress_dec_168,-1
169,Atlas/UI_Head_Frame,icon_avatarFrame_59,60076,999|2|1000,1,1,tianji_goods_frame_unlock_desc1,-1
170,Atlas/UI_Head_Frame,icon_avatarFrame_63,60077,999|2|1000,1,1,player_dress_dec_60064,-1
171,Atlas/UI_Head_Frame,icon_avatarFrame_58,60078,999|2|1000,1,1,player_dress_dec_60064,-1
172,Atlas/UI_Head_Frame,icon_avatarFrame_65,60083,999|2|1000,1,1,player_dress_dec_172,14
173,Atlas/UI_Head_Frame,icon_avatarFrame_64,60088,999|2|1000,1,1,player_dress_dec_173,-1
174,Atlas/UI_Head_Frame,icon_avatarFrame_66,60089,999|2|1000,1,1,player_dress_dec_174,-1
175,Atlas/UI_Head_Frame,icon_avatarFrame_69,60090,999|2|1000,1,1,player_dress_dec_11,-1
176,Atlas/UI_Head_Frame,icon_avatarFrame_67,60091,999|2|1000,1,1,player_dress_dec_11,-1
177,,HeadFrame/vx_frame_goldingot,60092,999|2|1000,1,1,player_dress_dec_60066,-1
200,Atlas/UI_Chat_Bubble,icon_chat_bubble_0,-1,,2,-1,player_dress_dec_200,-1
201,Atlas/UI_Chat_Bubble,icon_chat_bubble_1,61001,,2,1,player_dress_dec_10,14
202,Atlas/UI_Chat_Bubble,icon_chat_bubble_2,61002,,2,1,player_dress_dec_10,14
203,Atlas/UI_Chat_Bubble,icon_chat_bubble_3,61003,,2,1,player_dress_dec_10,14
210,Atlas/UI_Chat_Bubble,icon_chat_bubble_4,61004,999|2|1000,2,1,player_dress_dec_110,-1
211,Atlas/UI_Chat_Bubble,icon_chat_bubble_5,61005,999|2|1000,2,1,player_dress_dec_11,-1
212,Atlas/UI_Chat_Bubble,icon_chat_bubble_6,61006,999|2|1000,2,1,player_dress_dec_12,-1
213,Atlas/UI_Chat_Bubble,icon_chat_bubble_7,61007,999|2|1000,2,1,player_dress_dec_13,-1
214,Atlas/UI_Chat_Bubble,icon_chat_bubble_8,61008,999|2|1000,2,1,player_dress_dec_14,-1
215,Atlas/UI_Chat_Bubble,icon_chat_bubble_9,61011,999|2|1000,2,1,player_dress_dec_11,-1
216,Atlas/UI_Chat_Bubble,icon_chat_bubble_10,61012,999|2|1000,2,1,player_dress_dec_15,-1
217,Atlas/UI_Chat_Bubble,icon_chat_bubble_11,61013,999|2|1000,2,1,player_dress_dec_11,-1
218,Atlas/UI_Chat_Bubble,icon_chat_bubble_12,61014,999|2|1000,2,1,player_dress_dec_11,-1
219,Atlas/UI_Chat_Bubble,icon_chat_bubble_13,61015,999|2|1000,2,1,player_dress_dec_11,-1
220,Atlas/UI_Chat_Bubble,icon_chat_bubble_14,61016,999|2|1000,2,1,player_dress_dec_11,-1
221,Atlas/UI_Chat_Bubble,icon_chat_bubble_16,61017,999|2|1000,2,1,player_dress_dec_11,-1
222,Atlas/UI_Chat_Bubble,icon_chat_bubble_17,61018,999|2|1000,2,1,player_dress_dec_11,-1
223,Atlas/UI_Chat_Bubble,icon_chat_bubble_18,61019,999|2|1000,2,1,player_dress_dec_11,-1
224,Atlas/UI_Chat_Bubble,icon_chat_bubble_19,61020,999|2|1000,2,1,player_dress_dec_11,-1
225,Atlas/UI_Chat_Bubble,icon_chat_bubble_20,61021,999|2|1000,2,1,player_dress_dec_11,-1
226,Atlas/UI_Chat_Bubble,icon_chat_bubble_21,61022,999|2|1000,2,1,player_dress_dec_11,-1
227,Atlas/UI_Chat_Bubble,icon_chat_bubble_22,61023,999|2|1000,2,1,player_dress_dec_11,-1
228,Atlas/UI_Chat_Bubble,icon_chat_bubble_23,61024,999|2|1000,2,1,player_dress_dec_19,-1
229,Atlas/UI_Chat_Bubble,icon_chat_bubble_24,61025,999|2|1000,2,1,player_dress_dec_11,-1
