id,base_power,lev,level_up_num,para,paras,rare,sp_para1,sp_para1s,sp_para2,sp_para2s,sp_para3,type
7010001,8280,1,3,[4|650],[[4|650]],3,,[],,[],,1
7010002,16560,2,3,[4|975],[[4|975]],3,,[],,[],,1
7010003,24840,3,3,[4|2193],[[4|2193]],3,,[],,[],,1
7010004,33120,4,3,[4|5602],[[4|5602]],4,,[],,[],,1
7010005,41400,5,3,[4|15091|104|500],[[4|15091]|[104|500]],4,,[],,[],,1
7010006,49680,6,3,[4|40616|104|1000],[[4|40616]|[104|1000]],4,,[],,[],,1
7010007,57960,7,3,[4|88792|104|1500],[[4|88792]|[104|1500]],5,,[],,[],,1
7010008,74628,8,3,[4|191019|104|2000],[[4|191019]|[104|2000]],5,,[],,[],,1
7010009,91296,9,3,[4|312456|104|2500],[[4|312456]|[104|2500]],5,,[],,[],,1
7010010,108000,10,3,[4|422804|104|3000],[[4|422804]|[104|3000]],6,,[],,[],,1
7010011,192000,11,3,[4|561993|104|3500],[[4|561993]|[104|3500]],6,,[],,[],,1
7010012,288000,12,-1,[4|722271|104|4000],[[4|722271]|[104|4000]],6,,[],,[],,1
7020001,8280,1,3,[10004|2],[[10004|2]],3,,[],,[],,2
7020002,16560,2,3,[10004|3],[[10004|3]],3,,[],,[],,2
7020003,24840,3,3,[10004|5],[[10004|5]],3,,[],,[],,2
7020004,33120,4,3,[10004|8],[[10004|8]],4,,[],,[],,2
7020005,41400,5,3,[10004|11|1019|30],[[10004|11]|[1019|30]],4,,[],,[],,2
7020006,49680,6,3,[10004|15|1019|35],[[10004|15]|[1019|35]],4,,[],,[],,2
7020007,57960,7,3,[10004|20|1019|42],[[10004|20]|[1019|42]],5,,[],,[],,2
7020008,74628,8,3,[10004|30|1019|50|10104|500],[[10004|30]|[1019|50]|[10104|500]],5,,[],,[],,2
7020009,91296,9,3,[10004|45|1019|60|10104|1000],[[10004|45]|[1019|60]|[10104|1000]],5,,[],,[],,2
7020010,108000,10,3,[10004|60|1019|75|10104|1500],[[10004|60]|[1019|75]|[10104|1500]],6,,[],,[],,2
7020011,192000,11,3,[10004|75|1019|85|10104|2000],[[10004|75]|[1019|85]|[10104|2000]],6,,[],,[],,2
7020012,288000,12,-1,[10004|92|1019|100|10104|3000],[[10004|92]|[1019|100]|[10104|3000]],6,,[],,[],,2
7030001,8280,1,3,,[],3,[4|850|20006|850],[[4|850]|[20006|850]],,[],,3
