id,iconAtlas,building_unlock,condition_type,des,detailIds,icon,icon_atlas,itemPos,lvIdDict,max_lv,name,open_id,openIdCondition,openIds,position,professional_id,quality,talent_id
60010300,Atlas/UI_Talent,,-1,palyer_talent_1000105,[60010301|60010302|60010303|60010304|60010305],player_talent_001,,"(1, 3)",{1:60010301|2:60010302|3:60010303|4:60010304|5:60010305},5,attribute_name_1000105,,[],[],[1|3],10,1,[60010301|60010302|60010303|60010304|60010305]
60020100,Atlas/UI_Talent,,1,attribute_name_1017,[60020101|60020102|60020103|60020104|60020105],player_talent_002,,"(2, 1)",{1:60020101|2:60020102|3:60020103|4:60020104|5:60020105},5,tech_name_2,[60010300|1],[60010300],[[60010300|1]],[2|1],10,1,[60020101|60020102|60020103|60020104|60020105]
60020500,Atlas/UI_Talent,,1,technology_adv_desc_1022,[60020501|60020502|60020503|60020504|60020505],player_talent_003,,"(2, 5)",{1:60020501|2:60020502|3:60020503|4:60020504|5:60020505},5,attribute_name_1022,[60010300|1],[60010300],[[60010300|1]],[2|5],10,1,[60020501|60020502|60020503|60020504|60020505]
60030300,Atlas/UI_Talent,,1,palyer_talent_1100003,[60030301|60030302|60030303|60030304|60030305],player_talent_004,,"(3, 3)",{1:60030301|2:60030302|3:60030303|4:60030304|5:60030305},5,attribute_name_1100003,[60020100|5|60020500|5],[60020100|60020500],[[60020100|5]|[60020500|5]],[3|3],10,1,[60030301|60030302|60030303|60030304|60030305]
60040100,Atlas/UI_Talent,,1,technology_adv_desc_13104,[60040101|60040102|60040103|60040104|60040105|60040106|60040107|60040108|60040109|60040110],player_talent_012,,"(4, 1)",{1:60040101|2:60040102|3:60040103|4:60040104|5:60040105|6:60040106|7:60040107|8:60040108|9:60040109|10:60040110},10,attribute_name_13104,[60030300|5],[60030300],[[60030300|5]],[4|1],10,1,[60040101|60040102|60040103|60040104|60040105|60040106|60040107|60040108|60040109|60040110]
60040300,Atlas/UI_Talent,,1,technology_adv_desc_14104,[60040301|60040302|60040303|60040304|60040305|60040306|60040307|60040308|60040309|60040310],player_talent_013,,"(4, 3)",{1:60040301|2:60040302|3:60040303|4:60040304|5:60040305|6:60040306|7:60040307|8:60040308|9:60040309|10:60040310},10,attribute_name_14104,[60030300|5],[60030300],[[60030300|5]],[4|3],10,1,[60040301|60040302|60040303|60040304|60040305|60040306|60040307|60040308|60040309|60040310]
60040500,Atlas/UI_Talent,,1,technology_adv_desc_15104,[60040501|60040502|60040503|60040504|60040505|60040506|60040507|60040508|60040509|60040510],player_talent_014,,"(4, 5)",{1:60040501|2:60040502|3:60040503|4:60040504|5:60040505|6:60040506|7:60040507|8:60040508|9:60040509|10:60040510},10,attribute_name_15104,[60030300|5],[60030300],[[60030300|5]],[4|5],10,1,[60040501|60040502|60040503|60040504|60040505|60040506|60040507|60040508|60040509|60040510]
60050100,Atlas/UI_Talent,,1,technology_adv_desc_13103,[60050101|60050102|60050103|60050104|60050105|60050106|60050107|60050108|60050109|60050110],player_talent_009,,"(5, 1)",{1:60050101|2:60050102|3:60050103|4:60050104|5:60050105|6:60050106|7:60050107|8:60050108|9:60050109|10:60050110},10,attribute_name_13103,[60040100|10],[60040100],[[60040100|10]],[5|1],10,1,[60050101|60050102|60050103|60050104|60050105|60050106|60050107|60050108|60050109|60050110]
60050300,Atlas/UI_Talent,,1,technology_adv_desc_14103,[60050301|60050302|60050303|60050304|60050305|60050306|60050307|60050308|60050309|60050310],player_talent_010,,"(5, 3)",{1:60050301|2:60050302|3:60050303|4:60050304|5:60050305|6:60050306|7:60050307|8:60050308|9:60050309|10:60050310},10,attribute_name_14103,[60040300|10],[60040300],[[60040300|10]],[5|3],10,1,[60050301|60050302|60050303|60050304|60050305|60050306|60050307|60050308|60050309|60050310]
60050500,Atlas/UI_Talent,,1,technology_adv_desc_15103,[60050501|60050502|60050503|60050504|60050505|60050506|60050507|60050508|60050509|60050510],player_talent_011,,"(5, 5)",{1:60050501|2:60050502|3:60050503|4:60050504|5:60050505|6:60050506|7:60050507|8:60050508|9:60050509|10:60050510},10,attribute_name_15103,[60040500|10],[60040500],[[60040500|10]],[5|5],10,1,[60050501|60050502|60050503|60050504|60050505|60050506|60050507|60050508|60050509|60050510]
60060300,Atlas/UI_Talent,,1,technology_adv_desc_1201,[60060301],player_talent_006,,"(6, 3)",{1:60060301},1,attribute_name_1201,[60050100|10|60050300|10|60050500|10],[60050100|60050300|60050500],[[60050100|10]|[60050300|10]|[60050500|10]],[6|3],10,1,[60060301]
60070100,Atlas/UI_Talent,,1,technology_adv_desc_1212,[60070101|60070102|60070103|60070104|60070105|60070106|60070107|60070108|60070109|60070110],player_talent_026,,"(7, 1)",{1:60070101|2:60070102|3:60070103|4:60070104|5:60070105|6:60070106|7:60070107|8:60070108|9:60070109|10:60070110},10,talent_name_226,[60060300|1],[60060300],[[60060300|1]],[7|1],10,1,[60070101|60070102|60070103|60070104|60070105|60070106|60070107|60070108|60070109|60070110]
60070500,Atlas/UI_Talent,,1,attribute_name_1032,[60070501|60070502|60070503|60070504|60070505|60070506|60070507|60070508|60070509|60070510],player_talent_017,,"(7, 5)",{1:60070501|2:60070502|3:60070503|4:60070504|5:60070505|6:60070506|7:60070507|8:60070508|9:60070509|10:60070510},10,attribute_name_1032,[60060300|1],[60060300],[[60060300|1]],[7|5],10,1,[60070501|60070502|60070503|60070504|60070505|60070506|60070507|60070508|60070509|60070510]
60010900,Atlas/UI_Talent,,1,technology_adv_desc_1200_1,[60010901|60010902|60010903|60010904|60010905],player_talent_005,,"(1, 9)",{1:60010901|2:60010902|3:60010903|4:60010904|5:60010905},5,attribute_name_1200,[60010300|5],[60010300],[[60010300|5]],[1|9],10,2,[60010901|60010902|60010903|60010904|60010905]
60020900,Atlas/UI_Talent,,1,technology_adv_desc_1085,[60020901|60020902|60020903|60020904|60020905],player_talent_015,,"(2, 9)",{1:60020901|2:60020902|3:60020903|4:60020904|5:60020905},5,technology_adv_name_1085,[60010900|5],[60010900],[[60010900|5]],[2|9],10,2,[60020901|60020902|60020903|60020904|60020905]
60030700,Atlas/UI_Talent,,1,attribute_name_1200103,[60030701|60030702|60030703|60030704|60030705],player_talent_016,,"(3, 7)",{1:60030701|2:60030702|3:60030703|4:60030704|5:60030705},5,talent_name_227,[60020900|5],[60020900],[[60020900|5]],[3|7],10,2,[60030701|60030702|60030703|60030704|60030705]
60030900,Atlas/UI_Talent,,1,technology_adv_desc_1037,[60030901|60030902|60030903|60030904|60030905],player_talent_007,,"(3, 9)",{1:60030901|2:60030902|3:60030903|4:60030904|5:60030905},5,technology_adv_name_1037,[60020900|5],[60020900],[[60020900|5]],[3|9],10,2,[60030901|60030902|60030903|60030904|60030905]
60031100,Atlas/UI_Talent,,1,attribute_name_1200104,[60031101|60031102|60031103|60031104|60031105],player_talent_017,,"(3, 11)",{1:60031101|2:60031102|3:60031103|4:60031104|5:60031105},5,talent_name_228,[60020900|5],[60020900],[[60020900|5]],[3|11],10,2,[60031101|60031102|60031103|60031104|60031105]
60040700,Atlas/UI_Talent,,1,attribute_name_1053,[60040701|60040702|60040703|60040704|60040705|60040706|60040707|60040708|60040709|60040710],player_talent_018,,"(4, 7)",{1:60040701|2:60040702|3:60040703|4:60040704|5:60040705|6:60040706|7:60040707|8:60040708|9:60040709|10:60040710},10,attribute_name_1053,[60030700|5],[60030700],[[60030700|5]],[4|7],10,2,[60040701|60040702|60040703|60040704|60040705|60040706|60040707|60040708|60040709|60040710]
60040900,Atlas/UI_Talent,,1,attribute_name_1054,[60040901|60040902|60040903|60040904|60040905|60040906|60040907|60040908|60040909|60040910],player_talent_019,,"(4, 9)",{1:60040901|2:60040902|3:60040903|4:60040904|5:60040905|6:60040906|7:60040907|8:60040908|9:60040909|10:60040910},10,attribute_name_1054,[60030900|5],[60030900],[[60030900|5]],[4|9],10,2,[60040901|60040902|60040903|60040904|60040905|60040906|60040907|60040908|60040909|60040910]
60041100,Atlas/UI_Talent,,1,attribute_name_1055,[60041101|60041102|60041103|60041104|60041105|60041106|60041107|60041108|60041109|60041110],player_talent_020,,"(4, 11)",{1:60041101|2:60041102|3:60041103|4:60041104|5:60041105|6:60041106|7:60041107|8:60041108|9:60041109|10:60041110},10,attribute_name_1055,[60031100|5],[60031100],[[60031100|5]],[4|11],10,2,[60041101|60041102|60041103|60041104|60041105|60041106|60041107|60041108|60041109|60041110]
60050900,Atlas/UI_Talent,,1,technology_adv_desc_1061,[60050901|60050902|60050903|60050904|60050905],player_talent_008,,"(5, 9)",{1:60050901|2:60050902|3:60050903|4:60050904|5:60050905},5,technology_adv_name_1061,[60040700|10|60040900|10|60041100|10],[60040700|60040900|60041100],[[60040700|10]|[60040900|10]|[60041100|10]],[5|9],10,2,[60050901|60050902|60050903|60050904|60050905]
70010300,Atlas/UI_Talent,,-1,technology_adv_desc_1202,[70010301|70010302|70010303|70010304|70010305],player_talent_026,,"(1, 3)",{1:70010301|2:70010302|3:70010303|4:70010304|5:70010305},5,attribute_name_1202,,[],[],[1|3],20,1,[70010301|70010302|70010303|70010304|70010305]
70020100,Atlas/UI_Talent,,1,technology_adv_desc_1004,[70020101|70020102|70020103|70020104|70020105],player_talent_021,,"(2, 1)",{1:70020101|2:70020102|3:70020103|4:70020104|5:70020105},5,talent_name_105,[70010300|1],[70010300],[[70010300|1]],[2|1],20,1,[70020101|70020102|70020103|70020104|70020105]
70020300,Atlas/UI_Talent,,1,technology_adv_desc_1005,[70020301|70020302|70020303|70020304|70020305],player_talent_022,,"(2, 3)",{1:70020301|2:70020302|3:70020303|4:70020304|5:70020305},5,talent_name_106,[70010300|1],[70010300],[[70010300|1]],[2|3],20,1,[70020301|70020302|70020303|70020304|70020305]
