id,attribute,attributes,cost,des,fightforce,lv,lvup_pre_id,lvUpCosts,lvUpPreNodes,map_building_id,quality,talent_building_lv,time,tree_id
60010301,1000105|300,[[1000105|300]],2|12210000|1,,500,1,,[[2|12210000|1]],[],,-1,1,-1,60010300
60010302,1000105|600,[[1000105|600]],2|12210000|1,,1000,2,60010300|1,[[2|12210000|1]],[[60010300|1]],,-1,1,-1,60010300
60010303,1000105|900,[[1000105|900]],2|12210000|1,,1500,3,60010300|2,[[2|12210000|1]],[[60010300|2]],,-1,2,-1,60010300
60010304,1000105|1200,[[1000105|1200]],2|12210000|1,,2000,4,60010300|3,[[2|12210000|1]],[[60010300|3]],,-1,2,-1,60010300
60010305,1000105|1500,[[1000105|1500]],2|12210000|1,,2500,5,60010300|4,[[2|12210000|1]],[[60010300|4]],,-1,3,-1,60010300
60020101,1017|10,[[1017|10]],2|12210000|1,,1000,1,60010300|5,[[2|12210000|1]],[[60010300|5]],,-1,3,-1,60020100
60020102,1017|15,[[1017|15]],2|12210000|1,,2000,2,60020100|1,[[2|12210000|1]],[[60020100|1]],,-1,4,-1,60020100
60020103,1017|20,[[1017|20]],2|12210000|1,,3000,3,60020100|2,[[2|12210000|1]],[[60020100|2]],,-1,4,-1,60020100
60020104,1017|25,[[1017|25]],2|12210000|1,,4000,4,60020100|3,[[2|12210000|1]],[[60020100|3]],,-1,4,-1,60020100
60020105,1017|30,[[1017|30]],2|12210000|1,,5000,5,60020100|4,[[2|12210000|1]],[[60020100|4]],,-1,5,-1,60020100
60020501,1022|600,[[1022|600]],2|12210000|1,,1000,1,60010300|5,[[2|12210000|1]],[[60010300|5]],,-1,3,-1,60020500
60020502,1022|1200,[[1022|1200]],2|12210000|1,,2000,2,60020500|1,[[2|12210000|1]],[[60020500|1]],,-1,4,-1,60020500
60020503,1022|1800,[[1022|1800]],2|12210000|1,,3000,3,60020500|2,[[2|12210000|1]],[[60020500|2]],,-1,4,-1,60020500
60020504,1022|2400,[[1022|2400]],2|12210000|1,,4000,4,60020500|3,[[2|12210000|1]],[[60020500|3]],,-1,4,-1,60020500
60020505,1022|3000,[[1022|3000]],2|12210000|1,,5000,5,60020500|4,[[2|12210000|1]],[[60020500|4]],,-1,5,-1,60020500
60030301,1100003|600,[[1100003|600]],2|12210000|1,,2000,1,"60020100|5,60020500|5",[[2|12210000|1]],[[60020100|5]|[60020500|5]],,-1,6,-1,60030300
60030302,1100003|1200,[[1100003|1200]],2|12210000|1,,4000,2,60030300|1,[[2|12210000|1]],[[60030300|1]],,-1,6,-1,60030300
60030303,1100003|1800,[[1100003|1800]],2|12210000|1,,6000,3,60030300|2,[[2|12210000|1]],[[60030300|2]],,-1,6,-1,60030300
60030304,1100003|2400,[[1100003|2400]],2|12210000|1,,8000,4,60030300|3,[[2|12210000|1]],[[60030300|3]],,-1,6,-1,60030300
60030305,1100003|3000,[[1100003|3000]],2|12210000|1,,10000,5,60030300|4,[[2|12210000|1]],[[60030300|4]],,-1,6,-1,60030300
60040101,13104|600,[[13104|600]],2|12210000|1,,2000,1,60030300|5,[[2|12210000|1]],[[60030300|5]],,-1,7,-1,60040100
60040102,13104|1200,[[13104|1200]],2|12210000|1,,4000,2,60040100|1,[[2|12210000|1]],[[60040100|1]],,-1,7,-1,60040100
60040103,13104|1800,[[13104|1800]],2|12210000|1,,6000,3,60040100|2,[[2|12210000|1]],[[60040100|2]],,-1,8,-1,60040100
60040104,13104|2400,[[13104|2400]],2|12210000|1,,8000,4,60040100|3,[[2|12210000|1]],[[60040100|3]],,-1,8,-1,60040100
60040105,13104|3000,[[13104|3000]],2|12210000|1,,10000,5,60040100|4,[[2|12210000|1]],[[60040100|4]],,-1,9,-1,60040100
60040106,13104|3600,[[13104|3600]],2|12210000|1,,12000,6,60040100|5,[[2|12210000|1]],[[60040100|5]],,-1,9,-1,60040100
60040107,13104|4200,[[13104|4200]],2|12210000|1,,14000,7,60040100|6,[[2|12210000|1]],[[60040100|6]],,-1,10,-1,60040100
60040108,13104|4800,[[13104|4800]],2|12210000|1,,16000,8,60040100|7,[[2|12210000|1]],[[60040100|7]],,-1,10,-1,60040100
60040109,13104|5400,[[13104|5400]],2|12210000|1,,18000,9,60040100|8,[[2|12210000|1]],[[60040100|8]],,-1,10,-1,60040100
60040110,13104|6000,[[13104|6000]],2|12210000|1,,20000,10,60040100|9,[[2|12210000|1]],[[60040100|9]],,-1,10,-1,60040100
60040301,14104|600,[[14104|600]],2|12210000|1,,2000,1,60030300|5,[[2|12210000|1]],[[60030300|5]],,-1,7,-1,60040300
60040302,14104|1200,[[14104|1200]],2|12210000|1,,4000,2,60040300|1,[[2|12210000|1]],[[60040300|1]],,-1,7,-1,60040300
60040303,14104|1800,[[14104|1800]],2|12210000|1,,6000,3,60040300|2,[[2|12210000|1]],[[60040300|2]],,-1,8,-1,60040300
60040304,14104|2400,[[14104|2400]],2|12210000|1,,8000,4,60040300|3,[[2|12210000|1]],[[60040300|3]],,-1,8,-1,60040300
60040305,14104|3000,[[14104|3000]],2|12210000|1,,10000,5,60040300|4,[[2|12210000|1]],[[60040300|4]],,-1,9,-1,60040300
60040306,14104|3600,[[14104|3600]],2|12210000|1,,12000,6,60040300|5,[[2|12210000|1]],[[60040300|5]],,-1,9,-1,60040300
60040307,14104|4200,[[14104|4200]],2|12210000|1,,14000,7,60040300|6,[[2|12210000|1]],[[60040300|6]],,-1,10,-1,60040300
60040308,14104|4800,[[14104|4800]],2|12210000|1,,16000,8,60040300|7,[[2|12210000|1]],[[60040300|7]],,-1,10,-1,60040300
60040309,14104|5400,[[14104|5400]],2|12210000|1,,18000,9,60040300|8,[[2|12210000|1]],[[60040300|8]],,-1,10,-1,60040300
60040310,14104|6000,[[14104|6000]],2|12210000|1,,20000,10,60040300|9,[[2|12210000|1]],[[60040300|9]],,-1,10,-1,60040300
60040501,15104|600,[[15104|600]],2|12210000|1,,2000,1,60030300|5,[[2|12210000|1]],[[60030300|5]],,-1,7,-1,60040500
60040502,15104|1200,[[15104|1200]],2|12210000|1,,4000,2,60040500|1,[[2|12210000|1]],[[60040500|1]],,-1,7,-1,60040500
60040503,15104|1800,[[15104|1800]],2|12210000|1,,6000,3,60040500|2,[[2|12210000|1]],[[60040500|2]],,-1,8,-1,60040500
60040504,15104|2400,[[15104|2400]],2|12210000|1,,8000,4,60040500|3,[[2|12210000|1]],[[60040500|3]],,-1,8,-1,60040500
60040505,15104|3000,[[15104|3000]],2|12210000|1,,10000,5,60040500|4,[[2|12210000|1]],[[60040500|4]],,-1,9,-1,60040500
60040506,15104|3600,[[15104|3600]],2|12210000|1,,12000,6,60040500|5,[[2|12210000|1]],[[60040500|5]],,-1,9,-1,60040500
60040507,15104|4200,[[15104|4200]],2|12210000|1,,14000,7,60040500|6,[[2|12210000|1]],[[60040500|6]],,-1,10,-1,60040500
60040508,15104|4800,[[15104|4800]],2|12210000|1,,16000,8,60040500|7,[[2|12210000|1]],[[60040500|7]],,-1,10,-1,60040500
60040509,15104|5400,[[15104|5400]],2|12210000|1,,18000,9,60040500|8,[[2|12210000|1]],[[60040500|8]],,-1,10,-1,60040500
60040510,15104|6000,[[15104|6000]],2|12210000|1,,20000,10,60040500|9,[[2|12210000|1]],[[60040500|9]],,-1,10,-1,60040500
60050101,13103|300,[[13103|300]],2|12210000|1,,3000,1,60040100|10,[[2|12210000|1]],[[60040100|10]],,-1,10,-1,60050100
60050102,13103|600,[[13103|600]],2|12210000|1,,6000,2,60050100|1,[[2|12210000|1]],[[60050100|1]],,-1,10,-1,60050100
60050103,13103|900,[[13103|900]],2|12210000|1,,9000,3,60050100|2,[[2|12210000|1]],[[60050100|2]],,-1,11,-1,60050100
60050104,13103|1200,[[13103|1200]],2|12210000|1,,12000,4,60050100|3,[[2|12210000|1]],[[60050100|3]],,-1,11,-1,60050100
60050105,13103|1500,[[13103|1500]],2|12210000|1,,15000,5,60050100|4,[[2|12210000|1]],[[60050100|4]],,-1,12,-1,60050100
60050106,13103|1800,[[13103|1800]],2|12210000|1,,18000,6,60050100|5,[[2|12210000|1]],[[60050100|5]],,-1,12,-1,60050100
60050107,13103|2100,[[13103|2100]],2|12210000|1,,21000,7,60050100|6,[[2|12210000|1]],[[60050100|6]],,-1,13,-1,60050100
