id,desc,effect_para,effect_type,icon,Invalid_para,Invalid_type,name,privilge_para,privilge_type,privilgeParas
1,monthly_tips3,-1,-1,pri_103,-1,3,privilege_name_1,,1,[]
2,,-1,-1,pri_108,30,1,,[0],2,[0]
3,,-1,-1,pri_109,30,1,,[0],3,[0]
4,privilege_desc_4,-1,-1,pri_110,20,2,privilege_name_4,[63],4,[63]
5,,30,1,,-1,-1,,[64],5,[64]
6,privilege_desc_2,-1,-1,pri_112,-1,-1,privilege_name_5,[1667],6,[1667]
7,monthly_tips3,-1,-1,pri_103,-1,-1,privilege_name_1,,1,[]
8,privilege_desc_8,-1,-1,pri_103,-1,-1,privilege_name_8,,7,[]
9,monthly_tips9,-1,-1,pri_103,-1,4,privilege_name_9,,8,[]
10,privilege_desc_8,-1,-1,pri_103,-1,4,privilege_name_9,,9,[]
11,privilege_desc_8,-1,-1,pri_103,-1,-1,privilege_name_9,,9,[]
12,privilege_desc_8,-1,-1,pri_103,-1,4,privilege_name_9,,10,[]
13,privilege_desc_8,-1,-1,pri_103,-1,-1,privilege_name_10,,11,[]
14,privilege_desc_8,-1,-1,pri_123,-1,-1,privilege_name_11,,12,[]
15,privilege_desc_8,-1,-1,pri_121,-1,-1,privilege_name_12,,13,[]
16,privilege_desc_8,-1,-1,pri_121,-1,-1,privilege_name_13,,14,[]
17,privilege_desc_8,-1,-1,pri_125,-1,-1,privilege_name_14,,15,[]
18,privilege_desc_8,-1,-1,pri_127,-1,-1,privilege_name_15,,16,[]
19,privilege_desc_8,-1,-1,pri_103,-1,4,privilege_name_19,[5],19,[5]
