id,exchangeIds,group,jump,level,levelLimit,order,time_show,time_type,times
1,[1000001|1000002|1000003|1000004|1000005],[1000001|1000002|1000003|1000004|1000005],-1,[9999|9999],[9999|9999],2,[1800],-1,[1800]
2,[2000001|2000002|2000003|2000004|2000005],[2000001|2000002|2000003|2000004|2000005],-1,[9999|9999],[9999|9999],5,[1800],-1,[1800]
3,[3000001|3000002|3000003|3000004|3000005|3000006],[3000001|3000002|3000003|3000004|3000005|3000006],-1,[9999|9999],[9999|9999],4,[1800],-1,[1800]
4,[4000001|4000002|4000003|4000004],[4000001|4000002|4000003|4000004],-1,[9999|9999],[9999|9999],6,[1800],-1,[1800]
5,[11071401],[11071401],-1,[9999|9999],[9999|9999],1,[1800],-1,[1800]
6,[6000001|6000002|6000003|6000004|6000005],[6000001|6000002|6000003|6000004|6000005],-1,[9999|9999],[9999|9999],7,[1800],-1,[1800]
7,[11101001|11101002|11101003|11101004|11101005],[11101001|11101002|11101003|11101004|11101005],-1,[9999|9999],[9999|9999],3,[1800],-1,[1800]
8,[10027|10028],[10027|10028],11271002,[9999|9999],[9999|9999],8,[1800],1,[1800]
11,[12087777],[12087777],11271001,[9999|9999],[9999|9999],11,[1800],-1,[1800]
12,[10014],[10014],14151,[9999|9999],[9999|9999],12,[1800],-1,[1800]
13,[10015|900001],[10015|900001],14152,[9999|9999],[9999|9999],13,[1800],-1,[1800]
14,[830101|830102|830103],[830101|830102|830103],23831,[9999|9999],[9999|9999],14,[1800],-1,[1800]
15,[9021001],[9021001],1109001,[9999|9999],[9999|9999],15,[1800],-1,[1800]
16,[922001],[922001],1109003,[9999|9999],[9999|9999],16,[1800],-1,[1800]
17,[9021003],[9021003],1109002,[9999|9999],[9999|9999],17,[1800],-1,[1800]
18,[11130001],[11130001],11271003,[9999|9999],[9999|9999],18,[1800],-1,[1800]
19,[11221001],[11221001],11271004,[9999|9999],[9999|9999],19,[1800],-1,[1800]
20,[11239101],[11239101],11271005,[9999|9999],[9999|9999],20,[1800],-1,[1800]
21,[11239102],[11239102],11271006,[9999|9999],[9999|9999],21,[1800],-1,[1800]
22,[11239103],[11239103],11271007,[9999|9999],[9999|9999],22,[1800],-1,[1800]
23,[11239104],[11239104],11271008,[9999|9999],[9999|9999],23,[1800],-1,[1800]
24,[11239105],[11239105],11271009,[9999|9999],[9999|9999],24,[1800],-1,[1800]
25,[11239106],[11239106],11271010,[9999|9999],[9999|9999],25,[1800],-1,[1800]
26,[11239107],[11239107],11271011,[9999|9999],[9999|9999],26,[1800],-1,[1800]
