id,addition,daily_banner,dailyBanners,day,defeat_reward,defeatRewards,double_reward,form_group,giftPushIdArray,gifts,kill_day,mail_defeat,mail_win,name,reward,reward_condition,rewardConditons,rewards,score,score_limit,target_score,targetScores,win_reward,winRewards
1,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],1,[1|10619],[1|10619],11100201,1,[12254001|12254002|12254003|12254004|12254005],[12254001|12254002|12254003|12254004|12254005],-1,1052,1051,race_alliance_name_day1,[10511|10512|10513|10514|10515|10516|10517|10518|10519],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10511|10512|10513|10514|10515|10516|10517|10518|10519],87001|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|81011|81012|81013|81014|81015|81016|81017|81018|81019|81020|81021|81022|81023|81024|81025|81026|81027|81028|81029|81030|81031|81032|81033,6000,[4000|11400|20400|31200|44400|61800|83400|109800|140400],[4000|11400|20400|31200|44400|61800|83400|109800|140400],[2|10618],[2|10618]
2,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],2,[1|10629],[1|10629],11100201,1,[12254101|12254102|12254103|12254104|12254105],[12254101|12254102|12254103|12254104|12254105],-1,1052,1051,race_alliance_name_day2,[10521|10522|10523|10524|10525|10526|10527|10528|10529],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10521|10522|10523|10524|10525|10526|10527|10528|10529],87001|82001|82002|82003,6000,[4000|12000|21600|33600|48000|67200|91200|120000|153600],[4000|12000|21600|33600|48000|67200|91200|120000|153600],[2|10628],[2|10628]
3,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],3,[1|10639],[1|10639],11100201,1,[12254201|12254202|12254203|12254204|12254205],[12254201|12254202|12254203|12254204|12254205],-1,1052,1051,race_alliance_name_day3,[10531|10532|10533|10534|10535|10536|10537|10538|10539],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10531|10532|10533|10534|10535|10536|10537|10538|10539],87001|83001|83002|83101,6000,[7000|17000|30000|46000|65000|90000|121000|158000|201000],[7000|17000|30000|46000|65000|90000|121000|158000|201000],[2|10638],[2|10638]
4,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[1|10649],[1|10649],11100201,1,[12254301|12254302|12254303|12254304],[12254301|12254302|12254303|12254304],-1,1052,1051,race_alliance_name_day4,[10541|10542|10543|10544|10545|10546|10547|10548|10549],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10541|10542|10543|10544|10545|10546|10547|10548|10549],84001|84002|84003|84004|84005|84006|84007|84008|84009|84010|84011|84012|84013,6000,[7000|17000|30000|47000|67000|93000|126000|165000|211000],[7000|17000|30000|47000|67000|93000|126000|165000|211000],[2|10648],[2|10648]
5,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[1|10659],[1|10659],11100201,1,[12254401|12254402|12254403|12254404|12254405],[12254401|12254402|12254403|12254404|12254405],-1,1052,1051,race_alliance_name_day5,[10551|10552|10553|10554|10555|10556|10557|10558|10559],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10551|10552|10553|10554|10555|10556|10557|10558|10559],87001|85001|85002|85003|85004|85005|85006|85007|85008|85009|85010|85201|85301,6000,[7000|18000|32000|49000|70000|98000|132000|173000|219000],[7000|18000|32000|49000|70000|98000|132000|173000|219000],[3|10658],[3|10658]
6,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[1|10669],[1|10669],11100201,1,[12254501|12254502|12254503|12254504],[12254501|12254502|12254503|12254504],1,1052,1051,race_alliance_name_day6,[10561|10562|10563|10564|10565|10566|10567|10568|10569],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10561|10562|10563|10564|10565|10566|10567|10568|10569],87001|86001|86002|86003|86004|86005|86006|86007|86008|86009|86010|86201|86202|86203|86204|86205|86206|86207|86208|86209|86210|86301|96101|96102|96103|96104|96105|96106|96107|96108|96109|96110,6000,[12000|29000|52000|80000|114000|159000|215000|282000|360000],[12000|29000|52000|80000|114000|159000|215000|282000|360000],[4|10668],[4|10668]
11,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],1,[0|10619],[0|10619],11100201,2,[12254001|12254002|12254003|12254004|12254005],[12254001|12254002|12254003|12254004|12254005],-1,1052,1051,race_alliance_name_day1,[10511|10512|10513|10514|10515|10516|10517|10518|10519],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10511|10512|10513|10514|10515|10516|10517|10518|10519],87001|81001|81002|81003|81004|81005|81006|81007|81008|81009|81010|81011|81012|81013|81014|81015|81016|81017|81018|81019|81020|81021|81022|81023|81024|81025|81026|81027|81028|81029|81030|81031|81032|81033,6000,[4000|11400|20400|31200|44400|61800|83400|109800|140400],[4000|11400|20400|31200|44400|61800|83400|109800|140400],[1|10618],[1|10618]
12,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],2,[0|10629],[0|10629],11100201,2,[12254101|12254102|12254103|12254104|12254105],[12254101|12254102|12254103|12254104|12254105],-1,1052,1051,race_alliance_name_day2,[10521|10522|10523|10524|10525|10526|10527|10528|10529],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10521|10522|10523|10524|10525|10526|10527|10528|10529],87001|82001|82002|82003,6000,[4000|12000|21600|33600|48000|67200|91200|120000|153600],[4000|12000|21600|33600|48000|67200|91200|120000|153600],[2|10628],[2|10628]
13,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],3,[0|10639],[0|10639],11100201,2,[12254201|12254202|12254203|12254204|12254205],[12254201|12254202|12254203|12254204|12254205],-1,1052,1051,race_alliance_name_day3,[10531|10532|10533|10534|10535|10536|10537|10538|10539],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10531|10532|10533|10534|10535|10536|10537|10538|10539],87001|83001|83002|83101,6000,[7000|17000|30000|46000|65000|90000|121000|158000|201000],[7000|17000|30000|46000|65000|90000|121000|158000|201000],[2|10638],[2|10638]
14,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|10649],[0|10649],11100201,2,[12254301|12254302|12254303|12254304],[12254301|12254302|12254303|12254304],-1,1052,1051,race_alliance_name_day4,[10541|10542|10543|10544|10545|10546|10547|10548|10549],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[10541|10542|10543|10544|10545|10546|10547|10548|10549],84001|84014|84015|84016|84011|84012|84013,6000,[7000|17000|30000|47000|67000|93000|126000|165000|211000],[7000|17000|30000|47000|67000|93000|126000|165000|211000],[2|10648],[2|10648]
