id,active_num,defeat_mail,defeat_reward,defeat_rewards,defeat_stage,defeat_stages,display_result,match_circle,match_stage,power_num,preview_reward,score,win_mail,win_reward,win_rewards,win_stage,win_stages
1,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[10679|10680|10681|10682|10683|10684|10685|10686|10687],[10679|10680|10681|10682|10683|10684|10685|10686|10687],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,4,8,6,10501,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[10670|10671|10672|10673|10674|10675|10676|10677|10678],[10670|10671|10672|10673|10674|10675|10676|10677|10678],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
2,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[10679|10680|10681|10682|10683|10684|10685|10686|10687],[10679|10680|10681|10682|10683|10684|10685|10686|10687],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,10501,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[10670|10671|10672|10673|10674|10675|10676|10677|10678],[10670|10671|10672|10673|10674|10675|10676|10677|10678],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
201,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
301,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
501,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1230111|1230112|1230113|1230114|1230115|1230116|1230117|1230118|1230119],[1230111|1230112|1230113|1230114|1230115|1230116|1230117|1230118|1230119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1230301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1230101|1230102|1230103|1230104|1230105|1230106|1230107|1230108|1230109],[1230101|1230102|1230103|1230104|1230105|1230106|1230107|1230108|1230109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
601,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1230111|1230112|1230113|1230114|1230115|1230116|1230117|1230118|1230119],[1230111|1230112|1230113|1230114|1230115|1230116|1230117|1230118|1230119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1230301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1230101|1230102|1230103|1230104|1230105|1230106|1230107|1230108|1230109],[1230101|1230102|1230103|1230104|1230105|1230106|1230107|1230108|1230109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
701,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
801,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
1101,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
1201,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
