id,display_value,gift,giftIds,group,mail_id,name,race_type,rank_reward,reward,score,sub,target_score,targetScores,targetStageExtraRewardValues,targetStagePointRewards,targetTasks
1,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1101,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
2,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1101,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
3,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1101,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
4,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1102,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
5,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1102,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
6,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1102,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
7,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1103,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
8,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1103,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
9,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1103,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
10,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1104,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
11,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1104,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
12,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1104,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
13,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1105,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
14,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1105,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
15,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1105,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
16,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1106,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
