id,LanguageTitle,banner,day,entry_icon,form_group,giftPushIdArray,gifts,mail_id,medal_point,name,patch_mail_id,reward_rank,reward_score,rewardRank,score,stageRewardIdArray,stageTargetScoreArray,stageTaskIdArray,target_score
4001,ui_race_top_16,,1,,400,[508196802|508196803|508196804|508196805|508196806],[508196802|508196803|508196804|508196805|508196806],1167,,race_top_name_building,1064,10501,[1211001|1211002|1211003|1211004|1211005|1211006|1211007|1211008|1211009],10501,[98000|91101|92101|92201],[1211001|1211002|1211003|1211004|1211005|1211006|1211007|1211008|1211009],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|92101|92201],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
4002,ui_race_top_16,,2,,400,[508196812|508196813|508196814|508196815|508196816],[508196812|508196813|508196814|508196815|508196816],1168,,race_top_name_troop,1064,10501,[1211011|1211012|1211013|1211014|1211015|1211016|1211017|1211018|1211019],10501,[98000|91101|92103|91501|91502|91503|91504|91505|91506|91507|91508|91509|91510|91511],[1211011|1211012|1211013|1211014|1211015|1211016|1211017|1211018|1211019],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|92103|91501|91502|91503|91504|91505|91506|91507|91508|91509|91510|91511],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
4003,ui_race_top_16,,3,,400,[508196822|508196823|508196824|508196825|508196826],[508196822|508196823|508196824|508196825|508196826],1169,,race_top_name_world,1064,10501,[1211021|1211022|1211023|1211024|1211025|1211026|1211027|1211028|1211029],10501,[98000|91101|91701|91702|91703|91001|91002|91003|91004|91005|91006|91007|91008|91009|91010|91011|91012|91013|91014|91015|91016|91017|91018|91019|91020|91021|91022|91023|91024|91025|91026|91027|91028|91029|91030|91201|91202|91203|91204|91205|91206|91207|91208|91209|91210|91211|91301],[1211021|1211022|1211023|1211024|1211025|1211026|1211027|1211028|1211029],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|91701|91702|91703|91001|91002|91003|91004|91005|91006|91007|91008|91009|91010|91011|91012|91013|91014|91015|91016|91017|91018|91019|91020|91021|91022|91023|91024|91025|91026|91027|91028|91029|91030|91201|91202|91203|91204|91205|91206|91207|91208|91209|91210|91211|91301],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
4004,ui_race_top_16,,4,,400,[508196832|508196833|508196834|508196835|508196836],[508196832|508196833|508196834|508196835|508196836],1170,,race_top_name_tech,1064,10501,[1211031|1211032|1211033|1211034|1211035|1211036|1211037|1211038|1211039],10501,[98000|91101|92102|92202],[1211031|1211032|1211033|1211034|1211035|1211036|1211037|1211038|1211039],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|92102|92202],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
4005,ui_race_top_16,,5,,400,[508196842|508196843|508196844|508196845|508196846],[508196842|508196843|508196844|508196845|508196846],1171,,race_top_name_artifact,1064,10501,[1211041|1211042|1211043|1211044|1211045|1211046|1211047|1211048|1211049],10501,[98000|91101|98400|92413|92414|92415|92501|92502],[1211041|1211042|1211043|1211044|1211045|1211046|1211047|1211048|1211049],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|98400|92413|92414|92415|92501|92502],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
4006,ui_race_top_16,,6,,400,[508196852|508196853|508196854|508196855|508196856],[508196852|508196853|508196854|508196855|508196856],1172,,race_top_name_hero,1064,10501,[1211051|1211052|1211053|1211054|1211055|1211056|1211057|1211058|1211059],10501,[98000|91101|91300|91304|91305|91306|98320],[1211051|1211052|1211053|1211054|1211055|1211056|1211057|1211058|1211059],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|91300|91304|91305|91306|98320],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
4007,ui_race_top_16,,7,,400,[508196862|508196863|508196864|508196865|508196866],[508196862|508196863|508196864|508196865|508196866],1173,,race_top_name_total,1064,10501,[1211061|1211062|1211063|1211064|1211065|1211066|1211067|1211068|1211069],10501,[98000|91101|92210|91300|91304|91305|91306|98320|98400|92413|92414|92415|92501|92502|91501|91502|91503|91504|91505|91506|91507|91508|91509|91510|91511|91701|91702|91703|91001|91002|91003|91004|91005|91006|91007|91008|91009|91010|91011|91012|91013|91014|91015|91016|91017|91018|91019|91020|91021|91022|91023|91024|91025|91026|91027|91028|91029|91030|91201|91202|91203|91204|91205|91206|91207|91208|91209|91210|91211|91301|0],[1211061|1211062|1211063|1211064|1211065|1211066|1211067|1211068|1211069],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|92210|91300|91304|91305|91306|98320|98400|92413|92414|92415|92501|92502|91501|91502|91503|91504|91505|91506|91507|91508|91509|91510|91511|91701|91702|91703|91001|91002|91003|91004|91005|91006|91007|91008|91009|91010|91011|91012|91013|91014|91015|91016|91017|91018|91019|91020|91021|91022|91023|91024|91025|91026|91027|91028|91029|91030|91201|91202|91203|91204|91205|91206|91207|91208|91209|91210|91211|91301|0],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
5001,ui_race_top_16,,1,,500,[508066802|508066803|508066804|508066805|508066806],[508066802|508066803|508066804|508066805|508066806],1057,,race_top_name_day1_s0,1064,10501,[1211001|1211002|1211003|1211004|1211005|1211006|1211007|1211008|1211009],10501,[98000|91101|92101|92201],[1211001|1211002|1211003|1211004|1211005|1211006|1211007|1211008|1211009],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|92101|92201],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
5002,ui_race_top_16,,2,,500,[508066812|508066813|508066814|508066815|508066816],[508066812|508066813|508066814|508066815|508066816],1058,,race_top_name_day2_s0,1064,10501,[1211011|1211012|1211013|1211014|1211015|1211016|1211017|1211018|1211019],10501,[98000|91101|92102|92202],[1211011|1211012|1211013|1211014|1211015|1211016|1211017|1211018|1211019],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|92102|92202],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
5003,ui_race_top_16,,3,,500,[508066822|508066823|508066824|508066825|508066826],[508066822|508066823|508066824|508066825|508066826],1059,,race_top_name_day3_s0,1064,10501,[1211021|1211022|1211023|1211024|1211025|1211026|1211027|1211028|1211029],10501,[98000|91101|91701|91702|91703|91001|91002|91003|91004|91005|91006|91007|91008|91009|91010|91011|91012|91013|91014|91015|91016|91017|91018|91019|91020|91021|91022|91023|91024|91025|91026|91027|91028|91029|91030|91201|91202|91203|91204|91205|91206|91207|91208|91209|91210|91211|91301],[1211021|1211022|1211023|1211024|1211025|1211026|1211027|1211028|1211029],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000],[98000|91101|91701|91702|91703|91001|91002|91003|91004|91005|91006|91007|91008|91009|91010|91011|91012|91013|91014|91015|91016|91017|91018|91019|91020|91021|91022|91023|91024|91025|91026|91027|91028|91029|91030|91201|91202|91203|91204|91205|91206|91207|91208|91209|91210|91211|91301],[100000|200000|300000|600000|800000|1000000|1200000|1500000|2000000]
