id,day,form_group,mail_id,medal_point,patch_mail_id,reward_rank,reward_score,stage_name1,stageRewardIdArray,stageTargetScoreArray,target_score
1001,1,1000,4013,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day2,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1002,2,1000,4014,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day3,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1003,3,1000,4015,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day4,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1004,4,1000,4012,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day1,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1005,5,1000,4016,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day5,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1006,6,1000,4017,[0|0|0],3032,11003,[1223204|1223205|1223206],mail_race_top_alliance_name_day6,[1223204|1223205|1223206],[1000000|4500000|10000000],[1000000|4500000|10000000]
1101,1,1001,4013,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day2,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1102,2,1001,4014,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day3,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1103,3,1001,4015,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day4,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1104,4,1001,4012,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day1,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1105,5,1001,4016,[0|0|1],3032,11001,[1223201|1223202|1223203],mail_race_top_alliance_name_day5,[1223201|1223202|1223203],[1000000|4500000|10000000],[1000000|4500000|10000000]
1106,6,1001,4017,[0|0|0],3032,11003,[1223204|1223205|1223206],mail_race_top_alliance_name_day6,[1223204|1223205|1223206],[1000000|4500000|10000000],[1000000|4500000|10000000]
