id,bossShowUnitId,enterCameraPosition,rewardIds,troopQueueHNumber,troopQueueVNumber,troopShowUnitId,unLockCondition,boss_show,boss_size,camera_point,corps,corps_skill,difficulty,enemyEntityPosition,icon,point,power,pre_id,raid,reward,skill_dec,skill_power,skill_type,skill_unlock,soldier_num,soldier_show,soldier_size,sort,target,unlock
10001,60222,"(87.1, -45.0, 0.0)",[155001],6,1,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,1660800,-1,411,155001,corps_skill_30001,"3|12000,4|20000000",-1,,6|1,60218,30,1,2,
10002,60222,"(87.1, -45.0, 0.0)",[155002],6,1,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,1755720,10001,412,155002,corps_skill_30001,"3|14000,4|20000000",-1,,6|1,60218,30,2,2,
10003,60222,"(87.1, -45.0, 0.0)",[155003],6,1,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,1850640,10002,413,155003,corps_skill_30001,"3|16000,4|20000000",-1,,6|1,60218,30,3,2,
10004,60222,"(87.1, -45.0, 0.0)",[155004],6,2,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,1945560,10003,414,155004,corps_skill_30001,"3|18000,4|20000000",-1,,6|2,60218,30,4,2,
10005,60222,"(87.1, -45.0, 0.0)",[155005],6,2,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,2040480,10004,415,155005,corps_skill_30001,"3|20000,4|20000000",-1,,6|2,60218,30,5,2,
10006,60222,"(87.1, -45.0, 0.0)",[155006],6,2,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,2135400,10005,416,155006,corps_skill_30001,"3|22000,4|20000000",-1,,6|2,60218,30,6,2,
10007,60222,"(87.1, -45.0, 0.0)",[155007],8,2,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,2230320,10006,417,155007,corps_skill_30001,"3|24000,4|20000000",-1,,8|2,60218,30,7,2,
10008,60222,"(87.1, -45.0, 0.0)",[155008],8,2,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,2325240,10007,418,155008,corps_skill_30001,"3|26000,4|20000000",-1,,8|2,60218,30,8,2,
10009,60222,"(87.1, -45.0, 0.0)",[155009],8,3,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,2420160,10008,419,155009,corps_skill_30001,"3|28000,4|20000000",-1,,8|3,60218,30,9,2,
10010,60222,"(87.1, -45.0, 0.0)",[155010],8,3,60218,[],60222,50,87.14|-45,1,30001,1,"(88.0, -43.4, 0.0)",Head_60222,87.97|-43.36,2610000,10009,420,155010,corps_skill_30001,"3|30000,4|20000000",-1,,8|3,60218,30,10,2,
10101,60223,"(87.1, -45.0, 0.0)",[155011],6,1,60218,[],60223,45,87.14|-45,1,30003,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,3870000,10010,421,155011,corps_skill_30003,"3|60000,4|20000000",-1,,6|1,60218,30,1,2,
10102,60223,"(87.1, -45.0, 0.0)",[155012],6,1,60218,[],60223,45,87.14|-45,1,30001,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,3927000,10101,422,155012,corps_skill_30001,"3|62000,4|20000000",-1,,6|1,60218,30,2,2,
10103,60223,"(87.1, -45.0, 0.0)",[155013],6,1,60218,[],60223,45,87.14|-45,1,30003,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,3984000,10102,423,155013,corps_skill_30003,"3|64000,4|20000000",-1,,6|1,60218,30,3,2,
10104,60223,"(87.1, -45.0, 0.0)",[155014],6,2,60218,[],60223,45,87.14|-45,1,30001,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4041000,10103,424,155014,corps_skill_30001,"3|66000,4|20000000",-1,,6|2,60218,30,4,2,
10105,60223,"(87.1, -45.0, 0.0)",[155015],6,2,60218,[],60223,45,87.14|-45,1,30003,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4098000,10104,425,155015,corps_skill_30003,"3|68000,4|20000000",-1,,6|2,60218,30,5,2,
10106,60223,"(87.1, -45.0, 0.0)",[155016],6,2,60218,[],60223,45,87.14|-45,1,30001,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4155000,10105,426,155016,corps_skill_30001,"3|70000,4|20000000",-1,,6|2,60218,30,6,2,
10107,60223,"(87.1, -45.0, 0.0)",[155017],8,2,60218,[],60223,45,87.14|-45,1,30003,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4212000,10106,427,155017,corps_skill_30003,"3|72000,4|20000000",-1,,8|2,60218,30,7,2,
10108,60223,"(87.1, -45.0, 0.0)",[155018],8,2,60218,[],60223,45,87.14|-45,1,30001,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4269000,10107,428,155018,corps_skill_30001,"3|74000,4|20000000",-1,,8|2,60218,30,8,2,
10109,60223,"(87.1, -45.0, 0.0)",[155019],8,3,60218,[],60223,45,87.14|-45,1,30003,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4326000,10108,429,155019,corps_skill_30003,"3|76000,4|20000000",-1,,8|3,60218,30,9,2,
10110,60223,"(87.1, -45.0, 0.0)",[155020],8,3,60218,[],60223,45,87.14|-45,1,30001,2,"(88.0, -43.4, 0.0)",Head_60223,87.97|-43.36,4440000,10109,430,155020,corps_skill_30001,"3|78000,4|20000000",-1,,8|3,60218,30,10,2,
10201,60224,"(87.1, -45.0, 0.0)",[155021],6,2,60220,[],60224,40,87.14|-45,1,30010,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,5370000,10110,431,155021,corps_skill_30010,"3|120000,4|20000000",-1,,6|2,60220,30,1,2,
10202,60224,"(87.1, -45.0, 0.0)",[155022],6,2,60220,[],60224,40,87.14|-45,1,30010,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,5544000,10201,432,155022,corps_skill_30010,"3|124000,4|20000000",-1,,6|2,60220,30,2,2,
10203,60224,"(87.1, -45.0, 0.0)",[155023],8,2,60220,[],60224,40,87.14|-45,1,30001,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,5718000,10202,433,155023,corps_skill_30001,"3|128000,4|20000000",-1,,8|2,60220,30,3,2,
10204,60224,"(87.1, -45.0, 0.0)",[155024],8,2,60220,[],60224,40,87.14|-45,1,30010,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,5892000,10203,434,155024,corps_skill_30010,"3|132000,4|20000000",-1,,8|2,60220,30,4,2,
10205,60224,"(87.1, -45.0, 0.0)",[155025],8,2,60220,[],60224,40,87.14|-45,1,30010,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,6066000,10204,435,155025,corps_skill_30010,"3|136000,4|20000000",-1,,8|2,60220,30,5,2,
10206,60224,"(87.1, -45.0, 0.0)",[155026],8,3,60220,[],60224,40,87.14|-45,1,30001,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,6240000,10205,436,155026,corps_skill_30001,"3|140000,4|20000000",-1,,8|3,60220,30,6,2,
10207,60224,"(87.1, -45.0, 0.0)",[155027],8,3,60220,[],60224,40,87.14|-45,1,30010,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,6414000,10206,437,155027,corps_skill_30010,"3|144000,4|20000000",-1,,8|3,60220,30,7,2,
10208,60224,"(87.1, -45.0, 0.0)",[155028],8,3,60220,[],60224,40,87.14|-45,1,30010,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,6588000,10207,438,155028,corps_skill_30010,"3|148000,4|20000000",-1,,8|3,60220,30,8,2,
10209,60224,"(87.1, -45.0, 0.0)",[155029],10,3,60220,[],60224,40,87.14|-45,1,30001,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,6762000,10208,439,155029,corps_skill_30001,"3|152000,4|20000000",-1,,10|3,60220,30,9,2,
10210,60224,"(87.1, -45.0, 0.0)",[155030],10,3,60220,[],60224,40,87.14|-45,1,30007,3,"(88.0, -43.4, 0.0)",Head_60224,87.97|-43.36,7110000,10209,440,155030,corps_skill_30007,"3|156000,4|20000000",-1,,10|3,60220,30,10,2,
