id,rewardIds,skillDec,unlockParam,boss_id,boss_show,difficulty,enemyEntityPosition,group_id,is_boss,point,power,pre_id,raid,reward,skill_dec,skill_id,skill_power,sort,target,unlock
10001,[155801],130001,,320000,Textures/Adventure/bg_SecretTreasure_hero02,1,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,672000,-1,2101,155801,130001,23001051,"3|7500,4|20000000",1,2,
10002,[155802],130001,,320001,Textures/Adventure/bg_SecretTreasure_hero02,1,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,782400,10001,2102,155802,130001,23001051,"3|8100,4|20000000",2,2,
10003,[155803],140004,,320002,Textures/Adventure/bg_SecretTreasure_hero04,1,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,892800,10002,2103,155803,140004,24004061,"3|8800,4|20000000",3,2,
10004,[155804],150007,,320003,Textures/Adventure/bg_SecretTreasure_hero03,1,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1003200,10003,2104,155804,150007,25007003,"3|9400,4|20000000",4,2,
10005,[155805],0,,320004,Textures/Adventure/bg_SecretTreasure_boss1,1,"(129.7, -83.4, 0.0)",1,1,129.68|-83.44,1224000,10004,2105,155805,,,"3|10000,4|20000000",5,2,
10006,[155806],130001,,320010,Textures/Adventure/bg_SecretTreasure_hero01,2,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1324800,10005,2106,155806,130001,23001051,"3|15000,4|20000000",1,2,
10007,[155807],130001,,320011,Textures/Adventure/bg_SecretTreasure_hero01,2,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1392000,10006,2107,155807,130001,23001051,"3|16300,4|20000000",2,2,
10008,[155808],130001,,320012,Textures/Adventure/bg_SecretTreasure_hero15,2,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1459200,10007,2108,155808,130001,23001051,"3|17500,4|20000000",3,2,
10009,[155809],140004,,320013,Textures/Adventure/bg_SecretTreasure_hero08,2,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1526400,10008,2109,155809,140004,24004061,"3|18800,4|20000000",4,2,
10010,[155810],0,,320014,Textures/Adventure/bg_SecretTreasure_boss1,2,"(129.7, -83.4, 0.0)",1,1,129.68|-83.44,1660800,10009,2110,155810,,,"3|20000,4|20000000",5,2,
10011,[155811],130001,,320020,Textures/Adventure/bg_SecretTreasure_hero12,3,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1929600,10010,2111,155811,130001,23001051,"3|25000,4|20000000",1,2,
10012,[155812],130001,,320021,Textures/Adventure/bg_SecretTreasure_hero12,3,"(129.7, -83.4, 0.0)",1,0,129.68|-83.44,1963200,10011,2112,155812,130001,23001051,"3|26300,4|20000000",2,2,
