id,attribute_rate_random,attrRate,equipment,equipment_star,maxAttrFloat,minAttrFloat,race_list,race_probability
221000,[10000|10000|100],[[10000|10000|100]],221,-1,[10000],[10000],,-1
222000,[10000|10000|100],[[10000|10000|100]],222,-1,[10000],[10000],,-1
223000,[10000|10000|100],[[10000|10000|100]],223,-1,[10000],[10000],,-1
224000,[10000|10000|100],[[10000|10000|100]],224,-1,[10000],[10000],,-1
321000,[10000|10000|100],[[10000|10000|100]],321,-1,[10000],[10000],,-1
322000,[10000|10000|100],[[10000|10000|100]],322,-1,[10000],[10000],,-1
323000,[10000|10000|100],[[10000|10000|100]],323,-1,[10000],[10000],,-1
324000,[10000|10000|100],[[10000|10000|100]],324,-1,[10000],[10000],,-1
411000,[10000|10000|100],[[10000|10000|100]],411,-1,[10000],[10000],,-1
412000,[10000|10000|100],[[10000|10000|100]],412,-1,[10000],[10000],,-1
413000,[10000|10000|100],[[10000|10000|100]],413,-1,[10000],[10000],,-1
414000,[10000|10000|100],[[10000|10000|100]],414,-1,[10000],[10000],,-1
431000,[10000|10000|100],[[10000|10000|100]],431,-1,[10000],[10000],,-1
432000,[10000|10000|100],[[10000|10000|100]],432,-1,[10000],[10000],,-1
433000,[10000|10000|100],[[10000|10000|100]],433,-1,[10000],[10000],,-1
434000,[10000|10000|100],[[10000|10000|100]],434,-1,[10000],[10000],,-1
511000,[10000|10000|100],[[10000|10000|100]],511,-1,[10000],[10000],,-1
512000,[10000|10000|100],[[10000|10000|100]],512,-1,[10000],[10000],,-1
513000,[10000|10000|100],[[10000|10000|100]],513,-1,[10000],[10000],,-1
514000,[10000|10000|100],[[10000|10000|100]],514,-1,[10000],[10000],,-1
531000,[10000|10000|100],[[10000|10000|100]],531,-1,[10000],[10000],,-1
532000,[10000|10000|100],[[10000|10000|100]],532,-1,[10000],[10000],,-1
533000,[10000|10000|100],[[10000|10000|100]],533,-1,[10000],[10000],,-1
534000,[10000|10000|100],[[10000|10000|100]],534,-1,[10000],[10000],,-1
521000,[10000|10000|100],[[10000|10000|100]],521,-1,[10000],[10000],,-1
522000,[10000|10000|100],[[10000|10000|100]],522,-1,[10000],[10000],,-1
