id,gacha_times,hero,hero_goods,hero_need,hero_star_need,heroNeeds,heroStarNeeds,need_building_level,need_gacha_level,open_server_day_need,server_list,serverLists
10001,-1,10001,10001,,,[],[],,-1,-1,[999],[[999]]
10002,-1,10002,10002,,,[],[],,-1,-1,[999],[[999]]
10003,-1,10003,10003,,,[],[],,-1,-1,[999],[[999]]
10004,-1,10004,10004,,,[],[],,-1,-1,[999],[[999]]
10005,-1,10005,10005,,,[],[],,-1,-1,[999],[[999]]
10006,-1,10006,10006,,,[],[],,-1,-1,[999],[[999]]
10007,-1,10007,10007,,,[],[],,-1,-1,[999],[[999]]
10008,-1,10008,10008,[10008],,[10008],[],[115|24],10,-1,[999],[[999]]
10009,-1,10009,10009,,,[],[],,-1,-1,[999],[[999]]
10010,-1,10010,10010,,,[],[],,-1,-1,[999],[[999]]
10011,-1,10011,10011,,,[],[],,-1,-1,[999],[[999]]
10012,-1,10012,10012,[10012],,[10012],[],,-1,4,[999],[[999]]
10013,-1,10013,10013,,,[],[],,-1,-1,[999],[[999]]
10014,-1,10014,10014,,,[],[],,-1,-1,[999],[[999]]
10015,-1,10015,10015,,,[],[],,-1,-1,[999],[[999]]
10016,-1,10016,10016,,,[],[],,-1,-1,[999],[[999]]
10017,-1,10017,10017,[10017],,[10017],[],[115|3],1,-1,[999],[[999]]
10018,-1,10018,10018,[10018],,[10018],[],[115|9],5,-1,[999],[[999]]
10019,-1,10019,10019,[10019],,[10019],[],[115|6],-1,-1,[999],[[999]]
10020,-1,10020,10020,[10020],,[10020],[],,6,-1,[999],[[999]]
10021,-1,10021,10021,,,[],[],,-1,-1,[999],[[999]]
10022,-1,10022,10022,,,[],[],,-1,-1,[999],[[999]]
10023,-1,10023,10023,[10023],,[10023],[],[115|28],9,-1,[999],[[999]]
10024,-1,10024,10024,[10024],,[10024],[],[115|26],8,-1,[999],[[999]]
10025,-1,10025,10025,[10025],,[10025],[],[115|18],2,-1,[999],[[999]]
10026,-1,10026,10026,[10026],,[10026],[],[115|15],1,-1,[999],[[999]]
10027,-1,10027,10027,[10027],,[10027],[],[115|32],11,-1,[999],[[999]]
10028,-1,10028,10028,[10028],,[10028],[],[115|34],3,-1,[999],[[999]]
10029,99999999,10029,10029,,,[],[],,-1,-1,[999],[[999]]
10030,-1,10030,10030,,,[],[],,-1,-1,[999],[[999]]
10031,-1,10031,10031,[10031],,[10031],[],[115|38],14,-1,[999],[[999]]
10032,99999999,10032,10032,,[10032|8],[],[10032|8],,-1,-1,[999],[[999]]
10033,99999999,10033,10033,,,[],[],,-1,-1,[999],[[999]]
10034,-1,10034,10034,[10034],,[10034],[],[115|12],12,-1,[999],[[999]]
10035,-1,10035,10035,[10035],,[10035],[],[115|30],4,-1,[999],[[999]]
10036,-1,10036,10036,[10036],,[10036],[],[115|36],13,-1,[999],[[999]]
10037,-1,10037,10037,[10037],,[10037],[],,-1,-1,[999],[[999]]
10038,-1,10038,10038,[10038],,[10038],[],[115|40],15,-1,[999],[[999]]
10039,99999999,10039,10039,,,[],[],,-1,-1,[999],[[999]]
10040,-1,10040,10040,[10040],,[10040],[],,-1,-1,[999],[[999]]
10041,99999999,10041,10041,,,[],[],,-1,-1,[999],[[999]]
10042,99999999,10042,10042,,,[],[],,-1,-1,[999],[[999]]
10043,99999999,10043,10043,,,[],[],,-1,-1,[999],[[999]]
10044,99999999,10044,10044,,,[],[],,-1,-1,[999],[[999]]
10045,99999999,10045,10045,,,[],[],,-1,-1,[999],[[999]]
15039,99999999,15039,15039,,,[],[],,-1,-1,[999],[[999]]
15032,-1,15032,15032,,[15032|8],[],[15032|8],,-1,-1,[999],[[999]]
20001,-1,10001,10001,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20002,-1,10002,10002,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20003,-1,10003,10003,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20004,-1,10004,10004,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20005,-1,10005,10005,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20006,-1,10006,10006,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20007,-1,10007,10007,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20008,-1,10008,10008,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20009,-1,10009,10009,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20010,-1,10010,10010,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20011,-1,10011,10011,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20012,-1,10012,10012,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
20013,-1,10013,10013,,,[],[],,-1,-1,[1-1|1001-1004|10001-10107],[[1|1]|[1001|1004]|[10001|10107]]
