id,fragment_num,hero,hero_break,hero_level,hero_star
10001,10,10001,1,1,0
10002,10,10002,1,1,0
10003,10,10003,1,1,0
10004,10,10004,1,1,0
10005,10,10005,1,1,0
10006,10,10006,1,1,0
10007,10,10007,1,1,0
10008,10,10008,1,1,0
10009,10,10009,1,1,0
10010,10,10010,1,1,0
10011,10,10011,1,1,0
10012,10,10012,1,1,0
10013,10,10013,1,1,0
10014,10,10014,1,1,0
10015,10,10015,1,1,0
10016,10,10016,1,1,0
10017,10,10017,1,1,0
10018,10,10018,1,1,0
10019,10,10019,1,1,0
10020,10,10020,1,1,0
10021,10,10021,1,1,0
10022,10,10022,1,1,0
10023,10,10023,1,1,0
10024,10,10024,1,1,0
10025,10,10025,2,30,0
10026,10,10026,1,1,0
10027,10,10027,1,1,0
10028,10,10028,1,1,0
10029,10,10029,1,1,0
10030,10,10030,1,1,0
10031,10,10031,1,1,0
10032,10,10032,1,1,0
10033,10,10033,1,1,0
10034,10,10034,1,1,0
10035,10,10035,1,1,0
10036,10,10036,1,1,0
10037,10,10037,1,1,0
10038,10,10038,1,1,0
10039,10,10039,1,1,0
10040,10,10040,1,1,0
10041,10,10041,1,1,0
10042,10,10042,1,1,0
10043,10,10043,1,1,0
10044,10,10044,1,1,0
10045,10,10045,1,1,0
10046,10,10046,1,1,0
15032,10,15032,1,1,0
15033,10,15033,1,1,0
15039,10,15039,1,1,0
