id,num,reward_group,type,value
101,[1],[10111],1,102101|102102|102103|102104|102105|99102101|99102102|99102103|99102104|99102105|88102101|88102102|88102103|88102104|88102105
102,[5|1|1|5],[10211|10219|10218|10217],1,102201|102202|102203|102204|102205|99102201|99102202|99102203|99102204|99102205|88102201|88102202|88102203|88102204|88102205
103,[5|1|1|5],[10311|10319|10318|10317],1,103101|103102|103103|103104|103105|99103101|99103102|99103103|99103104|99103105|88103101|88103102|88103103|88103104|88103105
104,[3|5|1|1|5],[10412|10411|10419|10418|10417],1,103201|103202|103203|103204|103205|99103201|99103202|99103203|99103204|99103205|88103201|88103202|88103203|88103204|88103205
105,[3|5|1|1|5],[10512|10511|10519|10518|10517],1,103301|103302|103303|103304|103305|99103301|99103302|99103303|99103304|99103305|88103301|88103302|88103303|88103304|88103305
106,[3|5|1|1|5],[10612|10611|10619|10618|10617],1,104101|104102|104103|104104|104105|104106
107,[3|5|1|1|5],[10712|10711|10719|10718|10717],1,104201|104202|104203|104204|104205|104206
108,[3|5|1|1|5],[10812|10811|10819|10818|10817],1,104301|104302|104303|104304|104305|104306
109,[1|3|2|2|5],[10915|10912|10919|10918|10917],1,105101|105102|105103|105104|105105|105106
110,[1|3|2|2|5],[11015|11012|11019|11018|11017],1,105201|105202|105203|105204|105205|105206
111,[1|5|5|3|2|5],[11115|11113|11112|11119|11118|11117],1,105301|105302|105303|105304|105305|105306
112,[1|5|5|3|3|2|10],[11215|11213|11212|11220|11219|11218|11217],1,106101|106102|106103|106104|106105|106106|106107
113,[1|5|5|3|3|2|10],[11315|11313|11312|11320|11319|11318|11317],1,106201|106202|106203|106204|106205|106206|106207
114,[1|5|5|3|3|2|10],[11415|11413|11412|11420|11419|11418|11417],1,106301|106302|106303|106304|106305|106306|106307
115,[1|5|5|3|4|2|15],[11515|11513|11512|11520|11519|11518|11517],1,107101|107102|107103|107104|107105|107106|107107|107108
116,[1|5|5|3|4|2|15],[11615|11613|11612|11620|11619|11618|11617],1,107201|107202|107203|107204|107205|107206|107207|107208
117,[1|5|5|3|4|2|15],[11715|11713|11712|11720|11719|11718|11717],1,107301|107302|107303|107304|107305|107306|107307|107308
118,[5|1|5|5|5|4|2|15],[11816|11815|11813|11812|11820|11819|11818|11817],1,108101|108102|108103|108104|108105|108106|108107|108108|108109
119,[5|1|5|5|5|4|2|15],[11916|11915|11913|11912|11920|11919|11918|11917],1,108201|108202|108203|108204|108205|108206|108207|108208|108209
120,[5|1|5|5|5|4|2|15],[12016|12015|12013|12012|12020|12019|12018|12017],1,108301|108302|108303|108304|108305|108306|108307|108308|108309
121,[5|1|5|5|5|5|2|15],[12116|12115|12113|12112|12120|12119|12118|12117],1,109101|109102|109103|109104|109105|109106|109107|109108|109109|109110
122,[5|1|5|5|5|5|2|15],[12216|12215|12213|12212|12220|12219|12218|12217],1,109201|109202|109203|109204|109205|109206|109207|109208|109209|109210
123,[5|1|1|5|5|5|5|2|15],[12316|12315|12314|12313|12312|12320|12319|12318|12317],1,109301|109302|109303|109304|109305|109306|109307|109308|109309|109310
124,[5|1|5|5|5|5|2|15],[12416|12415|12413|12412|12420|12419|12418|12417],1,110101|110102|110103|110104|110105|110106|110107|110108|110109|110110
125,[5|1|5|5|5|5|2|15],[12516|12515|12513|12512|12520|12519|12518|12517],1,110201|110202|110203|110204|110205|110206|110207|110208|110209|110210
126,[5|1|1|5|5|5|5|2|15],[12616|12615|12614|12613|12612|12620|12619|12618|12617],1,110301|110302|110303|110304|110305|110306|110307|110308|110309|110310
127,[5|5|5|5|5|2|15],[12716|12713|12712|12720|12719|12718|12717],1,111101|111102|111103|111104|111105
128,[5|1|5|5|5|5|2|15],[12816|12814|12813|12812|12820|12819|12818|12817],1,111201|111202|111203|111204|111205
129,[5|5|5|5|5|2|15],[12916|12913|12912|12920|12919|12918|12917],1,112101|112102|112103|112104|112105
130,[5|5|5|5|5|2|15],[13016|13013|13012|13020|13019|13018|13017],1,112201|112202|112203|112204|112205
131,[5|1|5|5|5|5|2|15],[13116|13114|13113|13112|13120|13119|13118|13117],1,112301|112302|112303|112304|112305
132,[5|3|10|5|5|2|15],[13212|13211|13220|13219|13218|13217],1,112401
133,[5|5|3|10|5|5|2|15],[13313|13312|13311|13320|13319|13318|13317],1,112501
134,[5|5|2|10|5|5|2|15],[13413|13412|13411|13420|13419|13418|13417],1,112601
135,[5|5|2|5|5|5|2|15],[13516|13513|13512|13511|13520|13519|13518|13517],1,112701
136,[5|1|5|1|5|5|5|2|15],[13616|13614|13613|13612|13611|13620|13619|13618|13617],1,112801
137,[5|3|10|5|5|2|15],[13712|13711|13720|13719|13718|13717],1,112901
138,[5|5|3|10|5|5|2|15],[13813|13812|13811|13820|13819|13818|13817],1,113001
139,[5|5|5|2|10|5|5|2],[13916|13913|13912|13911|13920|13919|13918|13917],1,113101
140,[5|5|2|5|5|5|2|15],[14016|14013|14012|14011|14020|14019|14018|14017],1,113201
141,[5|1|5|1|5|5|5|2|15],[14116|14114|14113|14112|14111|14120|14119|14118|14117],1,113301
142,[5|3|20|5|5|2|15],[14212|14211|14220|14219|14218|14217],1,113401
143,[5|5|3|20|5|5|2|15],[14313|14312|14311|14320|14319|14318|14317],1,113501
144,[5|5|5|2|20|5|5|2],[14416|14413|14412|14411|14420|14419|14418|14417],1,113601
145,[5|5|2|10|5|5|2|15],[14516|14513|14512|14511|14520|14519|14518|14517],1,113701
146,[5|1|5|1|10|5|5|2|15],[14616|14614|14613|14612|14611|14620|14619|14618|14617],1,113801
147,[5|2|20|5|5|2|15],[14713|14712|14711|14720|14719|14718|14717],1,113901
148,[5|5|2|10|5|5|2|15],[14816|14813|14812|14811|14820|14819|14818|14817],1,114001
149,[5|1|5|1|10|5|5|2|15],[14916|14914|14913|14912|14911|14920|14919|14918|14917],1,114101
150,[5|2|20|5|5|2|15],[15013|15012|15011|15020|15019|15018|15017],1,114201
151,[5|5|2|10|5|5|2|15],[15116|15113|15112|15111|15120|15119|15118|15117],1,114301
152,[5|1|5|1|10|5|5|2|15],[15216|15214|15213|15212|15211|15220|15219|15218|15217],1,114401
153,[3|10|5|5|2|15],[15312|15311|15320|15319|15318|15317],1,115001
154,[5|3|10|5|5|2|15],[15413|15412|15411|15420|15419|15418|15417],1,115002
155,[5|3|5|2|10|5|5|2|15],[15516|15514|15513|15512|15511|15520|15519|15518|15517],1,115003
156,[2|5|5|5|2|15],[15612|15611|15620|15619|15618|15617],1,115101
157,[5|5|1|5|5|5|2|15],[15716|15713|15712|15711|15720|15719|15718|15717],1,115102
158,[5|3|5|3|10|5|5|2|15],[15816|15814|15813|15812|15811|15820|15819|15818|15817],1,115103
159,[3|10|5|5|2|15],[15912|15911|15920|15919|15918|15917],1,115201
160,[5|5|2|10|5|5|2|15],[16016|16013|16012|16011|16020|16019|16018|16017],1,115202
161,[5|3|5|2|5|5|5|2|15],[16116|16114|16113|16112|16111|16120|16119|16118|16117],1,115203
162,[5|1|5|5|5|2|15],[16213|16212|16211|16220|16219|16218|16217],1,115301
163,[5|5|3|20|5|5|2|15],[16316|16313|16312|16311|16320|16319|16318|16317],1,115302
164,[5|3|5|3|20|5|5|2|15],[16416|16414|16413|16412|16411|16420|16419|16418|16417],1,115303
165,[5|2|20|5|5|2|15],[16513|16512|16511|16520|16519|16518|16517],1,115401
166,[5|5|2|10|5|5|2|15],[16616|16613|16612|16611|16620|16619|16618|16617],1,115402
167,[5|3|5|2|10|5|5|2|15],[16716|16714|16713|16712|16711|16720|16719|16718|16717],1,115403
168,[5|2|5|5|2|15],[16813|16812|16820|16819|16818|16817],1,112310
169,[5|3|5|2|5|5|2|15],[16916|16914|16913|16912|16920|16919|16918|16917],1,112311
170,[5|3|5|2|5|5|2|15],[17016|17014|17013|17012|17020|17019|17018|17017],1,112312
171,[5|2|5|5|2|15],[17113|17112|17120|17119|17118|17117],1,112313
172,[5|3|5|2|5|5|2|15],[17216|17214|17213|17212|17220|17219|17218|17217],1,112314
173,[5|3|5|2|5|5|2|15],[17316|17314|17313|17312|17320|17319|17318|17317],1,112315
174,[3|10|5|5|2|15],[17412|17411|17420|17419|17418|17417],1,116001
175,[3|10|5|5|2|15],[17512|17511|17520|17519|17518|17517],1,116002
176,[5|3|5|2|10|5|5|2|15],[17616|17614|17613|17612|17611|17620|17619|17618|17617],1,116003
177,[3|10|5|5|2|15],[17712|17711|17720|17719|17718|17717],1,116101
178,[3|10|5|5|2|15],[17812|17811|17820|17819|17818|17817],1,116102
179,[5|3|5|2|10|5|5|2|15],[17916|17914|17913|17912|17911|17920|17919|17918|17917],1,116103
180,[5|2|5|5|2|15],[18313|18312|18320|18319|18318|18317],1,112316
181,[5|5|2|5|5|2|15],[18416|18413|18412|18420|18419|18418|18417],1,112317
182,[5|5|2|5|5|2|15],[18516|18513|18512|18520|18519|18518|18517],1,112318
183,[3|10|5|5|2|15],[18012|18011|18020|18019|18018|18017],1,116201
184,[3|10|5|5|2|15],[18112|18111|18120|18119|18118|18117],1,116202
185,[5|3|5|2|10|5|5|2|15],[18216|18214|18213|18212|18211|18220|18219|18218|18217],1,116203
186,[5|2|5|5|2|15],[18613|18612|18620|18619|18618|18617],1,112319
187,[5|5|2|5|5|2|15],[18716|18713|18712|18720|18719|18718|18717],1,112320
188,[5|5|2|5|5|2|15],[18816|18813|18812|18820|18819|18818|18817],1,112321
189,[3|3|5|5|2|15],[109401|109402|109403|109404|109405|109406],1,116204
190,[3|3|5|5|2|15],[109407|109408|109409|109410|109411|109412],1,116205
191,[5|5|5|5|2|15],[109413|109414|109415|109416|109417|109418],1,116206
192,[3|3|5|5|2|15],[109821|109822|109823|109824|109825|109826],1,116207
193,[3|3|5|5|2|15],[109827|109828|109829|109830|109831|109832],1,116208
194,[5|5|5|5|2|15],[109833|109834|109835|109836|109837|109838],1,116209
195,[3|3|5|5|2|15],[109841|109842|109843|109844|109845|109846],1,116210
196,[3|3|5|5|2|15],[109847|109848|109849|109850|109851|109852],1,116211
197,[5|5|5|5|2|15],[109853|109854|109855|109856|109857|109858],1,116212
