id,building_ratio,compensation_id,compensation_num,compensation_type,hero_limit,is_removal,level_limit,num,num_1,num_2,num_3,num_4,num_5,reward_1,reward_2,reward_3,reward_4,reward_5,type,type_1,type_2,type_3,type_4,type_5,weight_1,weight_2,weight_3,weight_4,weight_5
24,-1,,,,-1,0,-1,1,[2000],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
25,-1,,,,-1,0,-1,1,[2400],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
26,-1,,,,-1,0,-1,1,[2800],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
27,-1,,,,-1,0,-1,1,[3200],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
28,-1,,,,-1,0,-1,1,[3600],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
29,-1,,,,-1,0,-1,1,[4000],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
30,-1,,,,-1,0,-1,1,[4000],,,,,[6],,,,,1,999,-1,-1,-1,-1,[10000],,,,
101,-1,,,,-1,-1,-1,1,[60],[1],,,,[7],[130003],,,,2,999,14,-1,-1,-1,,,,,
108,-1,,,,-1,-1,-1,1,[50],,,,,[3],,,,,1,999,-1,-1,-1,-1,[10000],,,,
109,-1,,,,-1,-1,-1,1,[50],,,,,[2],,,,,1,999,-1,-1,-1,-1,[10000],,,,
110,-1,,,,-1,-1,-1,1,[50],,,,,[3],,,,,1,999,-1,-1,-1,-1,[10000],,,,
111,-1,,,,-1,-1,-1,1,[500],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
112,-1,,,,-1,-1,-1,1,[500],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
113,-1,,,,-1,-1,-1,1,[50],,,,,[3],,,,,1,999,-1,-1,-1,-1,[10000],,,,
114,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
115,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
116,-1,,,,-1,-1,-1,1,[10],,,,,[404100004],,,,,1,2,-1,-1,-1,-1,[10000],,,,
117,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
118,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
119,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
120,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
121,-1,,,,-1,-1,-1,1,[10],,,,,[220004],,,,,1,2,-1,-1,-1,-1,[10000],,,,
122,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
123,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
124,-1,,,,-1,-1,-1,1,[10],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
125,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
126,-1,,,,-1,-1,-1,1,[10],,,,,[220004],,,,,1,2,-1,-1,-1,-1,[10000],,,,
127,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
128,-1,,,,-1,-1,-1,1,[10],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
129,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
130,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
131,-1,,,,-1,-1,-1,1,[10],,,,,[220004],,,,,1,2,-1,-1,-1,-1,[10000],,,,
132,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
133,-1,,,,-1,-1,-1,1,[10],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
134,-1,,,,-1,-1,-1,1,[1],,,,,[201],,,,,2,2,-1,-1,-1,-1,,,,,
137,-1,,,,-1,-1,-1,1,[1],,,,,[118],,,,,2,2,-1,-1,-1,-1,,,,,
138,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
139,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
140,-1,,,,-1,-1,-1,1,[10],,,,,[220004],,,,,1,2,-1,-1,-1,-1,[10000],,,,
141,-1,,,,-1,-1,-1,1,[5],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
142,-1,,,,-1,-1,-1,1,[10],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
143,-1,,,,-1,-1,-1,1,[5],,,,,[200001],,,,,2,2,-1,-1,-1,-1,,,,,
162,-1,,,,-1,-1,-1,1,[30],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
163,-1,,,,-1,-1,-1,1,[50],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
164,-1,,,,-1,-1,-1,1,[100],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
165,-1,,,,-1,-1,-1,1,[30],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
