id,rank_id,reward_id,stage_first_number,stage_last_number
101,1,73001,1,1
102,1,73002,2,2
103,1,73003,3,3
104,1,73004,4,4
105,1,73005,5,5
106,1,73006,6,6
107,1,73007,7,7
108,1,73008,8,8
109,1,73009,9,9
110,1,73010,10,10
111,1,73011,11,20
112,1,73012,21,40
113,1,73013,41,100
114,1,73014,101,500
115,1,73015,501,2000
201,2,73201,1,1
202,2,73202,2,2
203,2,73203,3,3
204,2,73204,4,4
205,2,73205,5,5
206,2,73206,6,6
207,2,73207,7,7
208,2,73208,8,8
209,2,73209,9,9
210,2,73210,10,10
211,2,73211,11,20
212,2,73212,21,40
213,2,73213,41,100
214,2,73214,101,500
215,2,73215,501,2000
301,3,73401,1,1
302,3,73402,2,2
303,3,73403,3,3
304,3,73404,4,4
305,3,73405,5,5
306,3,73406,6,6
307,3,73407,7,7
308,3,73408,8,8
309,3,73409,9,9
310,3,73410,10,10
311,3,73411,11,20
312,3,73412,21,40
313,3,73413,41,100
314,3,73414,101,500
315,3,73415,501,2000
401,4,9669414,1,1
402,4,9669415,2,2
403,4,9669416,3,3
404,4,9669417,4,4
405,4,9669418,5,5
406,4,9669419,6,6
407,4,9669420,7,7
408,4,9669421,8,8
409,4,9669422,9,9
410,4,9669423,10,10
411,4,9669424,11,20
412,4,9669425,21,40
413,4,9669426,41,100
414,4,9669427,101,500
415,4,9669428,501,2000
501,5,74001,1,1
502,5,74002,2,2
503,5,74003,3,3
504,5,74004,4,4
505,5,74005,5,5
506,5,74006,6,6
507,5,74007,7,7
508,5,74008,8,8
509,5,74009,9,9
510,5,74010,10,10
511,5,74011,11,20
512,5,74012,21,40
513,5,74013,41,100
514,5,74014,101,500
515,5,74015,501,2000
601,6,78001,1,1
602,6,78002,2,2
603,6,78003,3,3
604,6,78004,4,4
605,6,78005,5,5
606,6,78006,6,6
607,6,78007,7,7
608,6,78008,8,8
609,6,78009,9,9
610,6,78010,10,10
611,6,78011,11,20
612,6,78012,21,40
613,6,78013,41,100
614,6,78014,101,500
615,6,78015,501,2000
1001,1001,9669414,1,1
1002,1001,9669415,2,2
1003,1001,9669416,3,3
1004,1001,9669417,4,4
1005,1001,9669418,5,5
1006,1001,9669419,6,6
1007,1001,9669420,7,7
1008,1001,9669421,8,8
1009,1001,9669422,9,9
1010,1001,9669423,10,10
1011,1001,9669424,11,20
1012,1001,9669425,21,40
1013,1001,9669426,41,100
1014,1001,9669427,101,500
1015,1001,9669428,501,2000
1016,1002,73401,1,1
1017,1002,73402,2,2
1018,1002,73403,3,3
1019,1002,73404,4,4
1020,1002,73405,5,5
1021,1002,73406,6,6
1022,1002,73407,7,7
1023,1002,73408,8,8
1024,1002,73409,9,9
1025,1002,73410,10,10
1026,1002,73411,11,20
1027,1002,73412,21,40
1028,1002,73413,41,100
1029,1002,73414,101,500
1030,1002,73415,501,2000
1031,1003,73401,1,1
1032,1003,73402,2,2
1033,1003,73403,3,3
1034,1003,73404,4,4
1035,1003,73405,5,5
1036,1003,73406,6,6
1037,1003,73407,7,7
1038,1003,73408,8,8
1039,1003,73409,9,9
1040,1003,73410,10,10
1041,1003,73411,11,20
1042,1003,73412,21,40
1043,1003,73413,41,100
1044,1003,73414,101,500
1045,1003,73415,501,2000
701,7,9055001,1,1
702,7,9055002,2,2
703,7,9055003,3,3
704,7,9055004,4,4
705,7,9055005,5,5
706,7,9055006,6,6
707,7,9055007,7,7
708,7,9055008,8,8
709,7,9055009,9,9
710,7,9055010,10,10
711,7,9055011,11,20
712,7,9055012,21,40
713,7,9055013,41,100
714,7,9055014,101,500
715,7,9055015,501,2000
801,8,9133001,1,1
802,8,9133002,2,2
803,8,9133003,3,3
804,8,9133004,4,4
805,8,9133005,5,5
806,8,9133006,6,6
807,8,9133007,7,7
808,8,9133008,8,8
809,8,9133009,9,9
810,8,9133010,10,10
811,8,9133011,11,20
812,8,9133012,21,40
813,8,9133013,41,100
814,8,9133014,101,500
815,8,9133015,501,2000
901,9,9186001,1,1
902,9,9186002,2,2
903,9,9186003,3,3
904,9,9186004,4,4
905,9,9186005,5,5
906,9,9186006,6,6
907,9,9186007,7,7
908,9,9186008,8,8
909,9,9186009,9,9
910,9,9186010,10,10
911,9,9186011,11,20
912,9,9186012,21,40
913,9,9186013,41,100
914,9,9186014,101,500
915,9,9186015,501,2000
1101,230,73501,1,1
1102,230,73502,2,2
1103,230,73503,3,3
1104,230,73504,4,4
1105,230,73505,5,5
1106,230,73506,6,6
1107,230,73507,7,7
1108,230,73508,8,8
1109,230,73509,9,9
1110,230,73510,10,10
1111,230,73511,11,20
1112,230,73512,21,40
1113,230,73513,41,100
1114,230,73514,101,500
1115,230,73515,501,2000
1301,10,9195001,1,1
1302,10,9195002,2,2
1303,10,9195003,3,3
1304,10,9195004,4,4
1305,10,9195005,5,5
1306,10,9195006,6,6
1307,10,9195007,7,7
1308,10,9195008,8,8
1309,10,9195009,9,9
1310,10,9195010,10,10
1311,10,9195011,11,20
1312,10,9195012,21,40
1313,10,9195013,41,100
1314,10,9195014,101,500
1315,10,9195015,501,2000
1401,14,9227001,1,1
1402,14,9227002,2,2
1403,14,9227003,3,3
1404,14,9227004,4,4
1405,14,9227005,5,5
1406,14,9227006,6,6
1407,14,9227007,7,7
1408,14,9227008,8,8
1409,14,9227009,9,9
1410,14,9227010,10,10
1411,14,9227011,11,20
1412,14,9227012,21,40
1413,14,9227013,41,100
1414,14,9227014,101,500
1415,14,9227015,501,2000
1501,15,9252101,1,1
1502,15,9252102,2,2
1503,15,9252103,3,3
1504,15,9252104,4,4
1505,15,9252105,5,5
1506,15,9252106,6,6
1507,15,9252107,7,7
1508,15,9252108,8,8
1509,15,9252109,9,9
1510,15,9252110,10,10
1511,15,9252111,11,20
1512,15,9252112,21,40
1513,15,9252113,41,100
1514,15,9252114,101,500
1515,15,9252115,501,2000
1601,16,31101,1,1
1602,16,31102,2,2
1603,16,31103,3,3
1604,16,31104,4,10
1605,16,31105,11,100
1606,16,31106,101,500
1607,16,31107,501,2000
1701,17,31101,1,1
1702,17,31102,2,2
1703,17,31103,3,3
1704,17,31104,4,10
1705,17,31105,11,100
1706,17,31106,101,500
1707,17,31107,501,2000
1708,18,10171001,1,1
1709,18,10171002,2,2
1710,18,10171003,3,3
1711,18,10171004,4,4
1712,18,10171005,5,5
1713,18,10171006,6,6
1714,18,10171007,7,7
1715,18,10171008,8,8
1716,18,10171009,9,9
1717,18,10171010,10,10
1718,18,10171011,11,20
1719,18,10171012,21,40
1720,18,10171013,41,100
1721,18,10171014,101,500
1722,18,10171015,501,2000
1939,128,14301,1,1
1940,128,14302,2,2
1941,128,14303,3,3
1942,128,14304,4,5
1943,128,14305,6,10
1944,128,14306,11,20
1945,128,14307,21,50
1946,128,14308,51,100
1947,128,14309,101,2000
2020,138,12058001,1,1
2021,138,12058002,2,2
2022,138,12058003,3,3
2023,138,12058004,4,5
2024,138,12058005,6,10
2025,138,12058006,11,20
2026,138,12058007,21,50
2027,138,12058008,51,100
2028,138,12058009,101,2000
2605,20001,401186001,1,1
2606,20001,401186002,2,2
2607,20001,401186003,3,3
2608,20001,401186004,4,5
2609,20001,401186005,6,10
2610,20001,401186006,11,20
2611,20001,401186007,21,50
2612,20001,401186008,51,100
2613,20001,401186009,101,2000
2614,20002,20001,1,1
2615,20002,20002,2,2
2616,20002,20003,3,3
2617,20002,20004,4,5
2618,20002,20005,6,10
2619,20002,20006,11,100
2623,20003,20011,1,1
2624,20003,20012,2,2
2625,20003,20013,3,3
2626,20003,20014,4,5
2627,20003,20015,6,10
2628,20003,20016,11,100
200040001,20004,1441101,1,1
200040002,20004,1441102,2,2
200040003,20004,1441103,3,3
200040004,20004,1441104,4,5
200040006,20004,1441105,6,10
200040011,20004,1441106,11,20
200040021,20004,1441107,21,50
200040051,20004,1441108,51,100
2632,140,18431,1,1
2633,140,18432,2,2
2634,140,18433,3,3
2635,140,18434,4,10
2636,140,18435,11,20
2637,140,18436,21,50
2638,140,18437,51,200
2639,141,18401,1,1
2640,141,18402,2,2
2641,141,18403,3,3
2642,141,18404,4,10
2643,141,18405,11,20
2644,141,18406,21,100
2645,141,18407,101,1000
2646,142,18411,1,1
2647,142,18412,2,2
2648,142,18413,3,3
2649,142,18414,4,10
2650,142,18415,11,20
2651,142,18416,21,100
2652,142,18417,101,1000
2653,143,18421,1,1
2654,143,18422,2,2
2655,143,18423,3,3
2656,143,18424,4,10
2657,143,18425,11,20
2658,143,18426,21,100
2659,143,18427,101,1000
2660,144,18481,1,1
2661,144,18482,2,2
2662,144,18483,3,3
2663,144,18484,4,10
2664,144,18485,11,20
2665,144,18486,21,50
2666,144,18487,51,200
2667,145,18451,1,1
2668,145,18452,2,2
2669,145,18453,3,3
2670,145,18454,4,10
2671,145,18455,11,20
2672,145,18456,21,100
2673,145,18457,101,1000
2674,146,18461,1,1
2675,146,18462,2,2
2676,146,18463,3,3
2677,146,18464,4,10
2678,146,18465,11,20
2679,146,18466,21,100
2680,146,18467,101,1000
2681,147,18471,1,1
2682,147,18472,2,2
2683,147,18473,3,3
2684,147,18474,4,10
2685,147,18475,11,20
2686,147,18476,21,100
2687,147,18477,101,1000
2688,150,18531,1,1
2689,150,18532,2,2
2690,150,18533,3,3
2691,150,18534,4,10
2692,150,18535,11,20
2693,150,18536,21,50
2694,150,18537,51,200
2695,151,18501,1,1
2696,151,18502,2,2
2697,151,18503,3,3
2698,151,18504,4,10
2699,151,18505,11,20
2700,151,18506,21,100
