id,building_lv_left,building_lv_right,ratio_id,stage_first_number
30101,0,1,301,10000
30102,2,2,301,10300
30103,3,3,301,10600
30104,4,4,301,10900
30105,5,5,301,11200
30106,6,6,301,11500
30107,7,7,301,11900
30108,8,8,301,12300
30109,9,9,301,12700
30110,10,10,301,13100
30111,11,11,301,13500
30112,12,12,301,14100
30113,13,13,301,14700
30114,14,14,301,15300
30115,15,15,301,15900
30116,16,16,301,16500
30117,17,17,301,17100
30118,18,18,301,17700
30119,19,19,301,18300
30120,20,20,301,18900
30121,21,21,301,19500
30122,22,22,301,20300
30123,23,23,301,21100
30124,24,24,301,21900
30125,25,25,301,22700
30126,26,26,301,23700
30127,27,27,301,24700
30128,28,28,301,25700
30129,29,29,301,26700
30130,30,30,301,27700
30131,31,31,301,29700
30132,32,32,301,31700
30133,33,33,301,33700
30134,34,34,301,35700
30135,35,35,301,37700
30136,36,36,301,39700
30137,37,37,301,41700
30138,38,38,301,43700
30139,39,39,301,45700
30140,40,99999,301,47700
40101,0,1,401,10000
40102,2,2,401,12000
40103,3,3,401,14000
40104,4,4,401,16000
40105,5,5,401,18000
40106,6,6,401,20000
40107,7,7,401,22000
40108,8,8,401,24000
40109,9,9,401,26000
40110,10,10,401,28000
40111,11,11,401,32000
40112,12,12,401,36000
40113,13,13,401,42000
40114,14,14,401,46000
40115,15,15,401,52000
40116,16,16,401,58000
40117,17,17,401,64000
40118,18,18,401,70000
40119,19,19,401,76000
40120,20,20,401,80000
40121,21,21,401,86000
40122,22,22,401,94000
40123,23,23,401,100000
40124,24,24,401,108000
40125,25,25,401,120000
40126,26,26,401,128000
40127,27,27,401,135000
40128,28,28,401,140000
40129,29,29,401,145000
40130,30,30,401,150000
40131,31,31,401,159000
40132,32,32,401,166000
40133,33,33,401,168000
40134,34,34,401,170000
40135,35,35,401,180000
40136,36,36,401,182000
40137,37,37,401,186000
40138,38,38,401,190000
40139,39,39,401,196000
40140,40,99999,401,200000
50101,0,1,501,10000
50102,2,2,501,12000
50103,3,3,501,14000
50104,4,4,501,16000
50105,5,5,501,18000
50106,6,6,501,20000
50107,7,7,501,22000
50108,8,8,501,24000
50109,9,9,501,26000
50110,10,10,501,28000
50111,11,11,501,32000
50112,12,12,501,36000
50113,13,13,501,42000
50114,14,14,501,46000
50115,15,15,501,52000
50116,16,16,501,58000
50117,17,17,501,64000
50118,18,18,501,70000
50119,19,19,501,76000
50120,20,20,501,80000
50121,21,21,501,86000
50122,22,22,501,94000
50123,23,23,501,100000
50124,24,24,501,108000
50125,25,25,501,120000
50126,26,26,501,128000
50127,27,27,501,135000
50128,28,28,501,140000
50129,29,29,501,145000
50130,30,30,501,150000
50131,31,31,501,159000
50132,32,32,501,166000
50133,33,33,501,168000
50134,34,34,501,170000
50135,35,35,501,180000
50136,36,36,501,182000
50137,37,37,501,186000
50138,38,38,501,190000
50139,39,39,501,196000
50140,40,99999,501,200000
60101,0,1,601,10000
60102,2,2,601,11000
60103,3,3,601,12000
60104,4,4,601,13000
60105,5,5,601,14000
60106,6,6,601,15000
60107,7,7,601,16000
60108,8,8,601,17000
60109,9,9,601,18000
60110,10,10,601,19000
60111,11,11,601,20000
60112,12,12,601,22000
60113,13,13,601,24000
60114,14,14,601,26000
60115,15,15,601,28000
60116,16,16,601,30000
60117,17,17,601,32000
60118,18,18,601,34000
60119,19,19,601,37000
60120,20,20,601,40000
60121,21,21,601,43000
60122,22,22,601,46000
60123,23,23,601,49000
60124,24,24,601,52000
60125,25,25,601,55000
60126,26,26,601,58000
60127,27,27,601,61000
60128,28,28,601,64000
60129,29,29,601,67000
60130,30,30,601,70000
60131,31,31,601,73000
60132,32,32,601,76000
60133,33,33,601,79000
60134,34,34,601,82000
60135,35,35,601,85000
60136,36,36,601,88000
60137,37,37,601,91000
60138,38,38,601,94000
60139,39,39,601,97000
60140,40,65,601,100000
60141,66,66,601,110000
60142,67,67,601,120000
60143,68,68,601,130000
60144,69,69,601,140000
60145,70,99999,601,150000
70101,0,1,701,6667
70102,2,2,701,7000
70103,3,3,701,7333
70104,4,4,701,7667
70105,5,5,701,8000
70106,6,6,701,8467
70107,7,7,701,8933
70108,8,8,701,9400
70109,9,9,701,9867
70110,10,10,701,10333
70111,11,11,701,11000
70112,12,12,701,11667
70113,13,13,701,12333
70114,14,14,701,13000
70115,15,15,701,13667
70116,16,16,701,14600
70117,17,17,701,15533
70118,18,18,701,16467
70119,19,19,701,17400
70120,20,20,701,18333
70121,21,21,701,19533
70122,22,22,701,20733
70123,23,23,701,21933
70124,24,24,701,23133
70125,25,25,701,24333
70126,26,26,701,25867
70127,27,27,701,27400
70128,28,28,701,28933
70129,29,29,701,30467
70130,30,30,701,32000
70131,31,31,701,34000
70132,32,32,701,36000
70133,33,33,701,38000
70134,34,34,701,40000
70135,35,35,701,42000
70136,36,36,701,44667
70137,37,37,701,47333
70138,38,38,701,50000
70139,39,39,701,52667
70140,40,99999,701,55333
80101,0,1,801,10000
80102,2,2,801,12000
80103,3,3,801,14000
80104,4,4,801,16000
80105,5,5,801,18000
80106,6,6,801,20000
80107,7,7,801,22000
80108,8,8,801,24000
80109,9,9,801,26000
80110,10,10,801,28000
80111,11,11,801,32000
80112,12,12,801,36000
80113,13,13,801,42000
80114,14,14,801,46000
80115,15,15,801,52000
80116,16,16,801,58000
80117,17,17,801,64000
80118,18,18,801,70000
80119,19,19,801,76000
80120,20,20,801,80000
80121,21,21,801,86000
80122,22,22,801,94000
80123,23,23,801,100000
80124,24,24,801,108000
80125,25,25,801,120000
80126,26,26,801,128000
80127,27,27,801,135000
80128,28,28,801,140000
80129,29,29,801,145000
80130,30,30,801,150000
80131,31,31,801,159000
80132,32,32,801,166000
80133,33,33,801,168000
80134,34,34,801,170000
80135,35,35,801,180000
80136,36,36,801,182000
80137,37,37,801,186000
80138,38,38,801,190000
80139,39,39,801,196000
80140,40,65,801,200000
80141,66,66,801,210000
80142,67,67,801,220000
80143,68,68,801,230000
80144,69,69,801,240000
80145,70,99999,801,250000
90101,0,1,901,10000
90102,2,2,901,12000
90103,3,3,901,14000
90104,4,4,901,16000
90105,5,5,901,18000
90106,6,6,901,20000
90107,7,7,901,22000
90108,8,8,901,24000
90109,9,9,901,26000
90110,10,10,901,28000
90111,11,11,901,32000
90112,12,12,901,36000
90113,13,13,901,42000
90114,14,14,901,46000
90115,15,15,901,52000
90116,16,16,901,58000
90117,17,17,901,64000
90118,18,18,901,70000
90119,19,19,901,76000
90120,20,20,901,80000
90121,21,21,901,86000
90122,22,22,901,94000
90123,23,23,901,100000
90124,24,24,901,108000
90125,25,25,901,120000
90126,26,26,901,128000
90127,27,27,901,135000
90128,28,28,901,140000
90129,29,29,901,145000
90130,30,30,901,150000
90131,31,31,901,159000
90132,32,32,901,166000
90133,33,33,901,168000
90134,34,34,901,170000
90135,35,35,901,180000
90136,36,36,901,182000
90137,37,37,901,186000
90138,38,38,901,190000
90139,39,39,901,196000
90140,40,65,901,200000
90141,66,66,901,210000
90142,67,67,901,220000
90143,68,68,901,230000
90144,69,69,901,240000
90145,70,99999,901,250000
100101,0,1,1001,10000
100102,2,2,1001,12000
100103,3,3,1001,14000
100104,4,4,1001,16000
100105,5,5,1001,18000
100106,6,6,1001,20000
100107,7,7,1001,22000
100108,8,8,1001,24000
100109,9,9,1001,26000
100110,10,10,1001,28000
100111,11,11,1001,32000
100112,12,12,1001,36000
100113,13,13,1001,42000
100114,14,14,1001,46000
100115,15,15,1001,52000
100116,16,16,1001,58000
100117,17,17,1001,64000
100118,18,18,1001,70000
100119,19,19,1001,76000
100120,20,20,1001,80000
100121,21,21,1001,86000
100122,22,22,1001,94000
100123,23,23,1001,100000
100124,24,24,1001,108000
100125,25,25,1001,120000
100126,26,26,1001,128000
100127,27,27,1001,135000
100128,28,28,1001,140000
100129,29,29,1001,145000
100130,30,30,1001,150000
100131,31,31,1001,159000
100132,32,32,1001,166000
100133,33,33,1001,168000
100134,34,34,1001,170000
100135,35,35,1001,180000
100136,36,36,1001,182000
100137,37,37,1001,186000
100138,38,38,1001,190000
100139,39,39,1001,196000
100140,40,65,1001,200000
100141,66,66,1001,210000
100142,67,67,1001,220000
100143,68,68,1001,230000
100144,69,69,1001,240000
100145,70,99999,1001,250000
110101,0,1,1101,10000
110102,2,2,1101,12000
110103,3,3,1101,14000
110104,4,4,1101,16000
110105,5,5,1101,18000
110106,6,6,1101,20000
110107,7,7,1101,22000
110108,8,8,1101,24000
110109,9,9,1101,26000
110110,10,10,1101,28000
110111,11,11,1101,32000
110112,12,12,1101,36000
110113,13,13,1101,42000
110114,14,14,1101,46000
110115,15,15,1101,52000
110116,16,16,1101,58000
110117,17,17,1101,64000
110118,18,18,1101,70000
110119,19,19,1101,76000
110120,20,20,1101,80000
110121,21,21,1101,86000
110122,22,22,1101,94000
110123,23,23,1101,100000
110124,24,24,1101,108000
110125,25,25,1101,120000
110126,26,26,1101,128000
110127,27,27,1101,135000
110128,28,28,1101,140000
110129,29,29,1101,145000
110130,30,30,1101,150000
110131,31,31,1101,159000
110132,32,32,1101,166000
110133,33,33,1101,168000
110134,34,34,1101,170000
110135,35,35,1101,180000
110136,36,36,1101,182000
110137,37,37,1101,186000
110138,38,38,1101,190000
110139,39,39,1101,196000
210099,40,99999,1101,200000
