id,building,building_level,buildLevels,group,reward_id
4010105,110,[0|5],[0|5],40101,40101
4010205,110,[0|5],[0|5],40102,40102
4010305,110,[0|5],[0|5],40103,40103
4010405,110,[0|5],[0|5],40104,40104
4010505,110,[0|5],[0|5],40105,40105
4010605,110,[0|5],[0|5],40106,40106
4010705,110,[0|5],[0|5],40107,40107
4010110,110,[6|10],[6|10],40101,40111
4010210,110,[6|10],[6|10],40102,40112
4010310,110,[6|10],[6|10],40103,40113
4010410,110,[6|10],[6|10],40104,40114
4010510,110,[6|10],[6|10],40105,40115
4010610,110,[6|10],[6|10],40106,40116
4010710,110,[6|10],[6|10],40107,40117
4010115,110,[11|15],[11|15],40101,40121
4010215,110,[11|15],[11|15],40102,40122
4010315,110,[11|15],[11|15],40103,40123
4010415,110,[11|15],[11|15],40104,40124
4010515,110,[11|15],[11|15],40105,40125
4010615,110,[11|15],[11|15],40106,40126
4010715,110,[11|15],[11|15],40107,40127
4010120,110,[16|20],[16|20],40101,40131
4010220,110,[16|20],[16|20],40102,40132
4010320,110,[16|20],[16|20],40103,40133
4010420,110,[16|20],[16|20],40104,40134
4010520,110,[16|20],[16|20],40105,40135
4010620,110,[16|20],[16|20],40106,40136
4010720,110,[16|20],[16|20],40107,40137
4010125,110,[21|25],[21|25],40101,40141
4010225,110,[21|25],[21|25],40102,40142
4010325,110,[21|25],[21|25],40103,40143
4010425,110,[21|25],[21|25],40104,40144
4010525,110,[21|25],[21|25],40105,40145
4010625,110,[21|25],[21|25],40106,40146
4010725,110,[21|25],[21|25],40107,40147
4010130,110,[26|30],[26|30],40101,40151
4010230,110,[26|30],[26|30],40102,40152
4010330,110,[26|30],[26|30],40103,40153
4010430,110,[26|30],[26|30],40104,40154
4010530,110,[26|30],[26|30],40105,40155
4010630,110,[26|30],[26|30],40106,40156
4010730,110,[26|30],[26|30],40107,40157
4010135,110,[31|35],[31|35],40101,40161
4010235,110,[31|35],[31|35],40102,40162
4010335,110,[31|35],[31|35],40103,40163
4010435,110,[31|35],[31|35],40104,40164
4010535,110,[31|35],[31|35],40105,40165
4010635,110,[31|35],[31|35],40106,40166
4010735,110,[31|35],[31|35],40107,40167
4010140,110,[36|40],[36|40],40101,40171
4010240,110,[36|40],[36|40],40102,40172
4010340,110,[36|40],[36|40],40103,40173
4010440,110,[36|40],[36|40],40104,40174
4010540,110,[36|40],[36|40],40105,40175
4010640,110,[36|40],[36|40],40106,40176
4010740,110,[36|40],[36|40],40107,40177
4010145,110,[41|45],[41|45],40101,40181
4010245,110,[41|45],[41|45],40102,40182
4010345,110,[41|45],[41|45],40103,40183
4010445,110,[41|45],[41|45],40104,40184
4010545,110,[41|45],[41|45],40105,40185
4010645,110,[41|45],[41|45],40106,40186
4010745,110,[41|45],[41|45],40107,40187
4010199,110,[46|99],[46|99],40101,40191
4010299,110,[46|99],[46|99],40102,40192
4010399,110,[46|99],[46|99],40103,40193
4010499,110,[46|99],[46|99],40104,40194
4010599,110,[46|99],[46|99],40105,40195
4010699,110,[46|99],[46|99],40106,40196
4010799,110,[46|99],[46|99],40107,40197
4020199,106,[0|99],[0|99],40201,40201
4020299,106,[0|99],[0|99],40202,40202
4020399,106,[0|99],[0|99],40203,40203
4020499,106,[0|99],[0|99],40204,40204
4020599,106,[0|99],[0|99],40205,40205
4020699,106,[0|99],[0|99],40206,40206
4020799,106,[0|99],[0|99],40207,40207
4030199,107,[0|99],[0|99],40301,40301
4030299,107,[0|99],[0|99],40302,40302
4030399,107,[0|99],[0|99],40303,40303
4030499,107,[0|99],[0|99],40304,40304
4030599,107,[0|99],[0|99],40305,40305
4030699,107,[0|99],[0|99],40306,40306
4030799,107,[0|99],[0|99],40307,40307
4040199,117,[0|99],[0|99],40401,40401
4040299,117,[0|99],[0|99],40402,40402
4040399,117,[0|99],[0|99],40403,40403
4040499,117,[0|99],[0|99],40404,40404
4040599,117,[0|99],[0|99],40405,40405
4040699,117,[0|99],[0|99],40406,40406
4040799,117,[0|99],[0|99],40407,40407
