id,mapGroup,big_reward,big_rewards,exp,map_group
1,<ERROR:TargetInvocationException>,[100201|5000],[[100201|5000]],1,1
2,<ERROR:TargetInvocationException>,[407300107|2500],[[407300107|2500]],1,2
3,<ERROR:TargetInvocationException>,[408210601|50],[[408210601|50]],1,3
4,<ERROR:TargetInvocationException>,[409241601|50|409241602|100|409241603|200|409241604|500|409241605|1000|409241606|1500|409241607|2500],[[409241601|50]|[409241602|100]|[409241603|200]|[409241604|500]|[409241605|1000]|[409241606|1500]|[409241607|2500]],1,4
5,<ERROR:TargetInvocationException>,[411085007|3500],[[411085007|3500]],1,5
6,<ERROR:TargetInvocationException>,[412191701|50|412191702|100|412191703|200|412191704|500|412191705|1000|412191706|2000],[[412191701|50]|[412191702|100]|[412191703|200]|[412191704|500]|[412191705|1000]|[412191706|2000]],1,6
7,<ERROR:TargetInvocationException>,[503171701|50|503171702|100|503171703|200|503171704|500|503171705|1000|503171706|2000],[[503171701|50]|[503171702|100]|[503171703|200]|[503171704|500]|[503171705|1000]|[503171706|2000]],1,7
8,<ERROR:TargetInvocationException>,[504176501|3500],[[504176501|3500]],1,5
9,<ERROR:TargetInvocationException>,[506171703|200|506171704|500|506171705|1000|506171706|2000|506171707|4000],[[506171703|200]|[506171704|500]|[506171705|1000]|[506171706|2000]|[506171707|4000]],1,8
10,<ERROR:TargetInvocationException>,[509170701|30|509170702|50|509170703|80|509170704|100|509170705|150|509170706|200|509170707|350|509170708|500|509170709|750|509170710|1000|509170711|2000|509170712|4000],[[509170701|30]|[509170702|50]|[509170703|80]|[509170704|100]|[509170705|150]|[509170706|200]|[509170707|350]|[509170708|500]|[509170709|750]|[509170710|1000]|[509170711|2000]|[509170712|4000]],1,9
11,<ERROR:TargetInvocationException>,[510303026|50|510303027|100|510303028|200|510303029|500|510303030|1000|510303031|2000|510303032|4000],[[510303026|50]|[510303027|100]|[510303028|200]|[510303029|500]|[510303030|1000]|[510303031|2000]|[510303032|4000]],1,10
12,<ERROR:TargetInvocationException>,[511076001|30|511076002|50|511076003|100|511076004|200|511076005|350|511076006|500|511076007|1000|511076008|1500|511076009|2500|511076010|3500|511076011|5000],[[511076001|30]|[511076002|50]|[511076003|100]|[511076004|200]|[511076005|350]|[511076006|500]|[511076007|1000]|[511076008|1500]|[511076009|2500]|[511076010|3500]|[511076011|5000]],1,11
13,<ERROR:TargetInvocationException>,,[],1,12
14,<ERROR:TargetInvocationException>,,[],1,12
15,<ERROR:TargetInvocationException>,[601140001|30|601140002|50|601140003|80|601140004|100|601140005|150|601140006|200|601140007|350|601140008|500|601140009|750|601140010|1000|601140011|2000|601161001|3000|601140012|4000],[[601140001|30]|[601140002|50]|[601140003|80]|[601140004|100]|[601140005|150]|[601140006|200]|[601140007|350]|[601140008|500]|[601140009|750]|[601140010|1000]|[601140011|2000]|[601161001|3000]|[601140012|4000]],1,13
16,<ERROR:TargetInvocationException>,,[],1,15
17,<ERROR:TargetInvocationException>,[602108508|30|602108509|50|602108510|100|602108511|200|602108512|350|602108513|500|602108514|1000|602108515|1500|602108516|2500|602108517|3500|602108518|5000|602108519|8000],[[602108508|30]|[602108509|50]|[602108510|100]|[602108511|200]|[602108512|350]|[602108513|500]|[602108514|1000]|[602108515|1500]|[602108516|2500]|[602108517|3500]|[602108518|5000]|[602108519|8000]],1,14
19,<ERROR:TargetInvocationException>,[606164601|30|606164602|50|606164603|80|606164604|100|606164605|150|606164606|200|606164607|350|606164608|500|606164609|750|606164610|1000|606164611|2000|606164612|3000|606164613|4000],[[606164601|30]|[606164602|50]|[606164603|80]|[606164604|100]|[606164605|150]|[606164606|200]|[606164607|350]|[606164608|500]|[606164609|750]|[606164610|1000]|[606164611|2000]|[606164612|3000]|[606164613|4000]],1,19
