id,type,desc,event_value,para
1,Back,rich_man_event_backup,1,2
2,Forward,rich_man_event_forward,2,3
3,Reward,rich_man_event_get_reward,3,407195122
4,Reward,rich_man_event_get_reward,3,407195123
5,Reward,rich_man_event_get_reward,3,407195124
6,Reward,rich_man_event_get_reward,3,407195125
7,Reward,rich_man_event_get_reward,3,407195126
8,Reward,rich_man_event_get_reward,3,407195127
9,Reward,rich_man_event_get_reward,3,407195128
10,Reward,rich_man_event_get_reward,3,407195129
1001,Back,rich_man_event_backup,1,1
1002,Back,rich_man_event_backup,1,2
1003,Back,rich_man_event_backup,1,3
1004,Back,rich_man_event_backup,1,4
1005,Back,rich_man_event_backup,1,5
1006,Back,rich_man_event_backup,1,6
2001,Forward,rich_man_event_forward,2,1
2002,Forward,rich_man_event_forward,2,2
2003,Forward,rich_man_event_forward,2,3
2004,Forward,rich_man_event_forward,2,4
2005,Forward,rich_man_event_forward,2,5
2006,Forward,rich_man_event_forward,2,6
3001,Reward,rich_man_event_get_reward,3,407301050
4001,ExtraExp,rich_man_event_tips01,4,2
4002,ExtraExp,rich_man_event_tips01,4,3
4003,Reward,rich_man_event_get_reward,3,408221150
4004,Reward,rich_man_event_get_reward,3,409241150
4005,Reward,rich_man_event_get_reward,3,412191801
4006,Reward,rich_man_event_get_reward,3,503171801
4007,Reward,rich_man_event_get_reward,3,506171801
4008,Reward,rich_man_event_get_reward,3,509170201
4009,Reward,rich_man_event_get_reward,3,510305302
4010,Reward,rich_man_event_get_reward,3,511076104
4011,Reward,rich_man_event_get_reward,3,601141501
4012,Reward,rich_man_event_get_reward,3,602108501
4015,Reward,rich_man_event_get_reward,3,606164501
