id,banner,desc,order,season,title,type
1,,season_introduce_desc1,1,1,season_introduce_title1,1
2,,season_introduce_desc2,2,1,season_introduce_title2,2
3,,season_introduce_desc3,3,1,season_introduce_title3,2
4,,season_introduce_desc4,4,1,season_introduce_title4,2
5,,season_introduce_desc21,1,1,season_introduce_title21,2
6,,season_introduce_desc5,5,1,season_introduce_title5,1
7,,season_introduce_desc6,6,1,season_introduce_title6,1
8,,season_introduce_desc7,7,1,season_introduce_title7,1
9,,season_introduce_desc8,8,1,season_introduce_title8,1
10,,season_introduce_desc9,9,1,season_introduce_title9,1
11,,season_aura_desc1,10,1,season_introduce_title22,1
12,,season_introduce_desc10,11,1,season_introduce_title10,3
13,,season_introduce_desc11,12,1,season_introduce_title11,3
15,,season_introduce_desc13,14,1,season_introduce_title13,3
17,,season_introduce_desc14,15,1,season_introduce_title14,4
18,,season_introduce_desc15,16,1,season_introduce_title15,4
19,,season_introduce_desc17,17,1,season_introduce_title17,4
20,,season_introduce_desc18,10,1,season_introduce_title18,3
21,,season_introduce_desc19,14,1,season_introduce_title19,4
22,,season_introduce_desc20,13,1,season_introduce_title20,3
23,,season_introduce_desc100,1,2,season_introduce_title18,3
24,,season_introduce_desc101,2,2,season_introduce_title10,3
25,,season_introduce_desc102,3,2,season_introduce_title11,3
26,,season_introduce_desc103,4,2,season_introduce_title103,3
27,,season_introduce_desc104,5,2,temperature_info_1,4
28,,season_introduce_desc105,6,2,activity_name_2429,4
29,,season_introduce_desc106,7,2,season_introduce_title15,4
30,,season_introduce_desc107,8,2,season_introduce_title104,4
31,,frozen_introduce_desc1,1,2,frozen_introduce_title1,1
32,,frozen_introduce_desc2,2,2,frozen_introduce_title2,2
33,,frozen_introduce_desc3,3,2,frozen_introduce_title3,1
34,,frozen_introduce_desc4,4,0,frozen_introduce_title4,2
35,,frozen_introduce_desc5,5,2,frozen_introduce_title5,2
36,,frozen_introduce_desc6,6,2,frozen_introduce_title6,2
37,,frozen_introduce_desc7,7,2,frozen_introduce_title7,1
38,,frozen_introduce_desc8,8,2,frozen_introduce_title8,1
39,,frozen_introduce_desc9,10,2,frozen_introduce_title9,2
40,,frozen_introduce_desc10,11,2,frozen_introduce_title10,2
41,,frozen_introduce_desc11,12,2,frozen_introduce_title11,2
42,,frozen_introduce_desc12,13,2,frozen_introduce_title12,2
43,,frozen_introduce_desc13,14,2,frozen_introduce_title13,1
44,,frozen_introduce_desc14,9,2,frozen_introduce_title14,2
45,,season_introduce_desc200,1,3,season_introduce_title18,3
46,,season_introduce_desc202,2,3,season_introduce_title11,3
47,,season_introduce_desc203,3,3,season_introduce_title203,3
48,,season_introduce_desc204,4,3,light_info_1,4
49,,season_introduce_desc206,5,3,season_introduce_title15,4
50,,season_introduce_desc207,6,3,season_introduce_title204,4
51,,dark_introduce_desc1,1,3,dark_introduce_title1,1
52,,dark_introduce_desc2,2,3,dark_introduce_title2,2
53,,dark_introduce_desc3,3,3,dark_introduce_title3,1
54,,dark_introduce_desc16,4,3,activity_name_2985,1
55,,dark_introduce_desc4,5,0,dark_introduce_title4,1
56,,dark_introduce_desc5,6,3,dark_introduce_title5,2
57,,dark_introduce_desc14,7,0,dark_introduce_title14,2
58,,dark_introduce_desc6,8,3,dark_introduce_title6,2
59,,dark_introduce_desc7,9,3,dark_introduce_title7,1
60,,dark_introduce_desc8,10,3,dark_introduce_title8,1
61,,dark_introduce_desc14,11,3,dark_introduce_title14,2
62,,dark_introduce_desc9,12,3,dark_introduce_title9,2
63,,dark_introduce_desc10,13,3,dark_introduce_title10,2
64,,dark_introduce_desc11,14,3,dark_introduce_title11,2
65,,dark_introduce_desc12,15,3,dark_introduce_title12,2
66,,dark_introduce_desc13,16,3,dark_introduce_title13,1
67,,season_introduce_desc1,1,4,season_introduce_title1,1
68,,season_introduce_desc2,2,4,season_introduce_title2,2
