id,isFirst,isLast,achievement_point,reward,season
1,false,false,10,36301,1
2,false,false,20,36302,1
3,false,false,30,36303,1
4,false,false,40,36304,1
5,false,false,50,36305,1
6,false,false,60,36306,1
7,false,false,80,36307,1
8,false,false,100,36308,1
9,false,false,120,36309,1
10,false,false,140,36310,1
11,false,false,160,36311,1
12,false,false,180,36312,1
13,false,false,200,36313,1
14,false,false,220,36314,1
15,false,false,240,36315,1
16,false,false,260,36316,1
17,false,false,280,36317,1
18,false,false,300,36318,1
19,false,false,320,36319,1
20,false,false,340,36320,1
21,false,false,360,36321,1
22,false,false,380,36322,1
23,false,false,410,36323,1
24,false,false,440,36324,1
25,false,false,470,36325,1
26,false,false,500,36326,1
27,false,false,530,36327,1
28,false,false,560,36328,1
29,false,false,590,36329,1
30,false,false,620,36330,1
31,false,false,650,36331,1
32,false,false,680,36332,1
33,false,false,710,36333,1
34,false,false,740,36334,1
35,false,false,770,36335,1
36,false,false,800,36336,1
37,false,false,10,37301,2
38,false,false,20,37302,2
39,false,false,30,37303,2
40,false,false,40,37304,2
41,false,false,50,37305,2
42,false,false,60,37306,2
43,false,false,80,37307,2
44,false,false,100,37308,2
45,false,false,120,37309,2
46,false,false,140,37310,2
47,false,false,160,37311,2
48,false,false,180,37312,2
49,false,false,200,37313,2
50,false,false,220,37314,2
51,false,false,240,37315,2
52,false,false,260,37316,2
53,false,false,280,37317,2
54,false,false,300,37318,2
55,false,false,320,37319,2
56,false,false,340,37320,2
57,false,false,360,37321,2
58,false,false,380,37322,2
59,false,false,410,37323,2
60,false,false,440,37324,2
61,false,false,470,37325,2
62,false,false,500,37326,2
63,false,false,530,37327,2
64,false,false,560,37328,2
65,false,false,590,37329,2
66,false,false,620,37330,2
67,false,false,650,37331,2
68,false,false,680,37332,2
69,false,false,710,37333,2
70,false,false,740,37334,2
71,false,false,770,37335,2
72,false,false,800,37336,2
110,false,false,5,38786,3
73,false,false,10,38423,3
109,false,false,15,38695,3
74,false,false,20,38424,3
75,false,false,30,38425,3
76,false,false,40,38426,3
77,false,false,50,38427,3
78,false,false,60,38428,3
79,false,false,80,38429,3
80,false,false,100,38430,3
81,false,false,120,38431,3
82,false,false,140,38432,3
83,false,false,160,38433,3
84,false,false,180,38434,3
85,false,false,200,38435,3
86,false,false,220,38436,3
87,false,false,240,38437,3
88,false,false,260,38438,3
89,false,false,280,38439,3
90,false,false,300,38440,3
91,false,false,320,38441,3
92,false,false,340,38442,3
93,false,false,360,38443,3
94,false,false,380,38444,3
95,false,false,410,38445,3
96,false,false,440,38446,3
97,false,false,470,38447,3
98,false,false,500,38448,3
99,false,false,530,38449,3
100,false,false,560,38450,3
101,false,false,590,38451,3
102,false,false,620,38452,3
103,false,false,650,38453,3
104,false,false,680,38454,3
105,false,false,710,38455,3
106,false,false,740,38456,3
107,false,false,770,38457,3
108,false,false,800,38458,3
