id,alliance_stage_first_number,alliance_stage_last_number,r3_reward,r4_reward,r5_reward,season
1,1,1,36515,36510,36505,1
2,2,2,36516,36511,36506,1
3,3,3,36517,36512,36507,1
4,4,10,36518,36513,36508,1
5,11,20,36519,36514,36509,1
6,1,1,36545,36538,36531,2
7,2,2,36546,36539,36532,2
8,3,3,36547,36540,36533,2
9,4,10,36548,36541,36534,2
10,11,20,36549,36542,36535,2
11,21,50,36550,36543,36536,2
12,51,100,36551,36544,36537,2
13,1,1,36515,36510,36505,1
14,2,2,36516,36511,36506,1
15,3,3,36517,36512,36507,1
16,4,10,36518,36513,36508,1
17,11,20,36519,36514,36509,1
18,1,1,37948,37941,37934,2
19,2,2,37949,37942,37935,2
20,3,3,37950,37943,37936,2
21,4,10,37951,37944,37937,2
22,11,20,37952,37945,37938,2
23,21,50,37953,37946,37939,2
24,51,100,37954,37947,37940,2
25,1,1,37948,37941,37934,3
26,2,2,37949,37942,37935,3
27,3,3,37950,37943,37936,3
28,4,10,37951,37944,37937,3
29,11,20,37952,37945,37938,3
30,21,50,37953,37946,37939,3
31,51,100,37954,37947,37940,3
32,1,1,37948,37941,37934,5
33,2,2,37949,37942,37935,5
34,3,3,37950,37943,37936,5
35,4,10,37951,37944,37937,5
36,11,20,37952,37945,37938,5
37,21,50,37953,37946,37939,5
38,51,100,37954,37947,37940,5
