id,taskConditionVo,type,achievement_point,icon,inherit_type,jumpParams,offsetPos,pre_task,reward,scene,season,show_progress,task_condition,task_condition_num,task_discription,task_group,task_guide,task_guide_mun,task_type,taskConditionType,week
1001,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,73,1,[151],1,84,0
1002,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,74,13,[109],1,RallyMonster,0
1003,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,75,8,[101],1,60,0
1004,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,76,12,[59],1,RelicTreasure,0
1005,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,77,1,[116],1,42,0
1006,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,78,3,[15111|25111|25121],1,46,0
1007,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,79,1,[125],1,62,0
1008,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,80,1,[136],1,32,0
1009,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,81,12,[116],1,50,0
1011,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,83,12,[116],1,204,0
1012,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,84,12,[63],1,53,0
1101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,1,1,[151],1,84,1
1102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,2,13,[109],1,RallyMonster,1
1103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,3,8,[101],1,60,1
1104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,4,12,[59],1,RelicTreasure,1
1105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,5,1,[116],1,42,1
1106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,6,3,[15111|25111|25121],1,46,1
1107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,7,1,[125],1,62,1
1108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,8,1,[136],1,32,1
1109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,9,12,[116],1,50,1
1111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,11,12,[116],1,204,1
1112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,12,12,[63],1,53,1
2101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,13,1,[151],1,84,2
2102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,14,13,[109],1,RallyMonster,2
2103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,15,8,[101],1,60,2
2104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,16,12,[59],1,RelicTreasure,2
2105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,17,1,[116],1,42,2
2106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,18,3,[15111|25111|25121],1,46,2
2107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,19,1,[125],1,62,2
2108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,20,1,[136],1,32,2
2109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,21,12,[116],1,50,2
2111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,23,12,[116],1,204,2
2112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,24,12,[63],1,53,2
3101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,25,1,[151],1,84,3
3102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,26,13,[109],1,RallyMonster,3
3103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,27,8,[101],1,60,3
3104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,28,12,[59],1,RelicTreasure,3
3105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,29,1,[116],1,42,3
3106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,30,3,[15111|25111|25121],1,46,3
3107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,31,1,[125],1,62,3
3108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,32,1,[136],1,32,3
3109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,33,12,[116],1,50,3
3111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,35,12,[116],1,204,3
3112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,36,12,[63],1,53,3
4101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,37,1,[151],1,84,4
4102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,38,13,[109],1,RallyMonster,4
4103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,39,8,[101],1,60,4
4104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,40,12,[59],1,RelicTreasure,4
4105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,41,1,[116],1,42,4
4106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,42,3,[15111|25111|25121],1,46,4
4107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,43,1,[125],1,62,4
4108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,44,1,[136],1,32,4
4109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,45,12,[116],1,50,4
4111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,47,12,[116],1,204,4
4112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,48,12,[63],1,53,4
5101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,49,1,[151],1,84,5
5102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,50,13,[109],1,RallyMonster,5
5103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,51,8,[101],1,60,5
5104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,52,12,[59],1,RelicTreasure,5
