id,auto_accomplished,button_type,comment1,comment2,comment3,complete_lasts,contion_id,count_type,describe,describe2,guide_id,name,num,preview,priority_condition,progress_bar,revice_level,reward_id,server_open_days,task_display,task_icon,text_claim,time_limit,type
801001,1,-1,城堡5级,,,-1,5,1,serverTask_desc_001,,,serverTask_001,-1,,-1,-1,-1,905701,0,,img_fwjd_1002,,0,1002
801002,-1,-1,2000个7级,,,-1,7,1,serverTask_desc_002,,,serverTask_002,2000,"unlock_activity_name001,unlock_activity_desc001,Atlas/UI_Function,Activity_79|unlock_activity_name002,unlock_activity_desc002,Atlas/UI_Function,Activity_196",-1,-1,-1,905702,0,,img_fwjd_1001,,24,1001
801003,-1,-1,1w次雷达,,,-1,10000,1,serverTask_desc_003,,,serverTask_003,-1,"unlock_activity_name003,unlock_activity_desc003,Atlas/UI_Function,Activity_25|unlock_activity_name004,unlock_activity_desc004,Atlas/UI_Function,Activity_101",-1,-1,-1,905703,2,,img_fwjd_1003,,48,1003
801004,-1,-1,200次集结,,,-1,"11,13,16,17",2,serverTask_desc_004,,,serverTask_004,200,"unlock_activity_name005,unlock_activity_desc005,Atlas/UI_Hero_Head,Head_10024|unlock_activity_name006,unlock_activity_desc006,Atlas/UI_Hero_Head,Head_10040",-1,-1,-1,905704,4,,img_fwjd_1004,,48,1004
801005,-1,-1,1级遗迹,,,-1,1,2,serverTask_desc_005,,,serverTask_005,1,"unlock_activity_name007,unlock_activity_desc007,Atlas/UI_Function,Activity_195|unlock_activity_name008,unlock_activity_desc008,Atlas/UI_Function,Activity_133",-1,-1,-1,905705,6,,img_fwjd_1005,,24,1005
801006,-1,-1,1000个15级城堡,,,-1,15,1,serverTask_desc_002,,,serverTask_002,1000,,-1,-1,-1,905706,7,,img_fwjd_1002,,24,1001
801007,-1,-1,累计4w野怪,,,-1,,2,serverTask_desc_006,,,serverTask_006,40000,"unlock_activity_name009,unlock_activity_desc009,Atlas/UI_Function,Activity_114|unlock_activity_name010,unlock_activity_desc010,Atlas/UI_Function,Activity_133",-1,-1,-1,905707,8,,img_fwjd_1006,,24,1006
801008,-1,-1,2级遗迹,,,-1,2,2,serverTask_desc_005,,,serverTask_005,1,"unlock_activity_name007,unlock_activity_desc007,Atlas/UI_Function,Activity_195",-1,-1,-1,905708,9,,img_fwjd_1005,,24,1005
801009,-1,-1,200次集结,,,-1,"11,13,16,17",2,serverTask_desc_004,,,serverTask_004,200,"unlock_activity_name012,unlock_activity_desc012,Atlas/UI_Hero_Head,Head_10027|unlock_activity_name013,unlock_activity_desc013,Atlas/UI_Hero_Head,Head_10036|unlock_activity_name014,unlock_activity_desc014,Atlas/UI_Function,Activity_107",-1,-1,-1,905709,10,,img_fwjd_1001,,48,1004
801010,-1,-1,3级遗迹,,,-1,3,2,serverTask_desc_005,,,serverTask_005,1,,-1,-1,-1,905710,12,,img_fwjd_1005,,24,1005
801011,-1,-1,200次集结,,,-1,"11,13,16,17",2,serverTask_desc_004,,,serverTask_004,200,,-1,-1,-1,905711,13,,img_fwjd_1003,,48,1004
801012,-1,-1,4级遗迹,,,-1,4,2,serverTask_desc_005,,,serverTask_005,1,"unlock_activity_name019,unlock_activity_desc019,Atlas/UI_Function,Activity_64",-1,-1,-1,905712,15,,img_fwjd_1005,,24,1005
801013,-1,-1,200次集结,,,-1,"11,13,16,17",2,serverTask_desc_004,,,serverTask_004,200,"unlock_activity_name015,unlock_activity_desc015,Atlas/UI_Hero_Head,Head_10031|unlock_activity_name016,unlock_activity_desc016,Atlas/UI_Hero_Head,Head_10035",-1,-1,-1,905713,16,,img_fwjd_1002,,48,1004
801014,-1,-1,5级遗迹,,,-1,5,2,serverTask_desc_005,,,serverTask_005,1,,-1,-1,-1,905714,18,,img_fwjd_1005,,24,1005
801015,-1,-1,200次集结,,,-1,"11,13,16,17",2,serverTask_desc_004,,,serverTask_004,200,,-1,-1,-1,905715,19,,img_fwjd_1003,,48,1004
801016,-1,-1,王城战,,,-1,1,2,serverTask_desc_007,,,serverTask_007,-1,,-1,-1,-1,905716,21,,img_fwjd_1005,,24,1007
801017,-1,-1,100个25级,,,-1,25,2,serverTask_desc_002,,,serverTask_002,100,"unlock_activity_name017,unlock_activity_desc017,Atlas/UI_Hero_Head,Head_10033",-1,-1,-1,905717,22,,img_fwjd_1001,,24,1001
801018,-1,-1,2w次雷达,,,-1,20000,2,serverTask_desc_003,,,serverTask_003,-1,,-1,-1,-1,905718,23,,img_fwjd_1003,,72,1003
801019,-1,-1,500次集结,,,-1,"11,13,16,17",2,serverTask_desc_001,,,serverTask_004,500,"unlock_activity_name018,unlock_activity_desc018,Atlas/UI_Hero_Head,Head_10037",-1,-1,-1,905719,26,,img_fwjd_1003,,72,1004
801020,1,-1,城堡30级,,,-1,30,1,serverTask_desc_001,,,serverTask_001,-1,"unlock_activity_name020,unlock_activity_desc020,Atlas/UI_Function,Activity_134",-1,-1,-1,905720,29,,img_fwjd_1002,,48,1002
