id,activity_day,activity_group,fx,reward,reward_desc,reward_display,task_group
1,1,1,3,8401,seven_reward_new_tips7,hd_qitianle_pic_1,7210
2,2,1,2,8402,seven_reward_new_tips8,hd_qitianle_pic_2,7220
3,3,1,3,8403,seven_reward_new_tips9,hd_qitianle_pic_3,7230
4,4,1,2,8405,seven_reward_new_tips10,hd_qitianle_pic_4,7240
5,5,1,3,8805,seven_reward_new_tips11_2,hd_qitianle_pic_5_2,7250
6,1,2,3,8401,seven_reward_new_tips7,hd_qitianle_pic_1,7210
7,2,2,2,8402,seven_reward_new_tips8,hd_qitianle_pic_2,7220
8,3,2,3,8403,seven_reward_new_tips9,hd_qitianle_pic_3,7230
9,4,2,2,8405,seven_reward_new_tips10,hd_qitianle_pic_4,7240
10,5,2,3,8805,seven_reward_new_tips11_2,hd_qitianle_pic_5_2,7250
