id,atk,attr_1,attr_2,attr_3,attrs,building_id,correlate_building,defendOfCity_Atk,hp,load,morale,power,race,shine_lv
1490001,8,[3|8],[4|190],[10057|0],{3:8|4:190|10057:0},125045,125,0,190,12,100,20,1,1
1490002,15,[3|15],[4|212],[10057|0],{3:15|4:212|10057:0},125050,125,0,212,32,200,40,1,2
1490003,23,[3|23],[4|324],[10057|0],{3:23|4:324|10057:0},125055,125,0,324,52,300,60,1,3
1490010,27,[3|27],[4|404],[10057|0],{3:27|4:404|10057:0},125060,125,0,404,62,350,70,1,4
1490011,30,[3|30],[4|464],[10057|0],{3:30|4:464|10057:0},125065,125,0,464,72,400,80,1,5
1490016,34,[3|34],[4|504],[10057|0],{3:34|4:504|10057:0},125070,125,0,504,82,450,100,1,6
1490004,8,[3|8],[4|190],[10057|0],{3:8|4:190|10057:0},126045,126,0,190,12,100,20,2,1
1490005,15,[3|15],[4|212],[10057|0],{3:15|4:212|10057:0},126050,126,0,212,32,200,40,2,2
1490006,23,[3|23],[4|324],[10057|0],{3:23|4:324|10057:0},126055,126,0,324,52,300,60,2,3
1490012,27,[3|27],[4|404],[10057|0],{3:27|4:404|10057:0},126060,126,0,404,62,350,70,2,4
1490013,30,[3|30],[4|464],[10057|0],{3:30|4:464|10057:0},126065,126,0,464,72,400,80,2,5
1490017,34,[3|34],[4|504],[10057|0],{3:34|4:504|10057:0},126070,126,0,504,82,450,100,2,6
1490007,8,[3|8],[4|190],[10057|0],{3:8|4:190|10057:0},127045,127,0,190,12,100,20,3,1
1490008,15,[3|15],[4|212],[10057|0],{3:15|4:212|10057:0},127050,127,0,212,32,200,40,3,2
1490009,23,[3|23],[4|324],[10057|0],{3:23|4:324|10057:0},127055,127,0,324,52,300,60,3,3
1490014,27,[3|27],[4|404],[10057|0],{3:27|4:404|10057:0},127060,127,0,404,62,350,70,3,4
1490015,30,[3|30],[4|464],[10057|0],{3:30|4:464|10057:0},127065,127,0,464,72,400,80,3,5
1490018,34,[3|34],[4|504],[10057|0],{3:34|4:504|10057:0},127070,127,0,504,82,450,100,3,6
