id,build_limit,fresh,fresh_para,group,hot,item,level_max,level_min,mutex_group,price,price_ori,sell,sell_lifetime,sell_show,tech_limit,unlock_building,unlock_desc,unlock_tech,unlock_vip,weight
10110001,[],0,-1,101,-1,2|10001|1,999,1,-1,999|2|10,,1,-1,-1,[],,,,-1,1166
10210001,[],0,-1,102,-1,2|10001|1,999,1,-1,999|2|10,,1,-1,-1,[],,,,-1,1166
10310001,[],0,-1,103,-1,2|10001|1,999,1,-1,999|2|10,,1,-1,-1,[],,,,-1,1166
10410001,[],0,-1,104,-1,2|10001|1,999,1,-1,999|2|10,,1,-1,-1,[],,,,-1,1166
10510001,[],0,-1,105,-1,2|10001|1,999,1,-1,999|2|10,,1,-1,-1,[],,,,-1,1166
10610001,[],0,-1,106,-1,2|10001|1,999,1,-1,999|2|10,,1,-1,-1,[],,,,-1,1166
201110101,[],1,-1,201,-1,4|224000|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
202110101,[],1,-1,202,-1,4|321000|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
203110101,[],1,-1,203,-1,4|524100|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
204110101,[],1,-1,204,-1,4|221200|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
205110101,[],1,-1,205,-1,4|524030|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
206110101,[],1,-1,206,-1,4|221130|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
207110101,[],1,-1,207,-1,4|523120|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
208110101,[],1,-1,208,-1,4|524120|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
209110101,[],1,-1,209,-1,4|221220|1,999,1,-1,999|11|50,,1,-1,-1,[],,,,-1,5000
301000001,[],1,-1,301,-1,2|201|1,999,1,-1,999|2|240,999|2|300,2,-1,-1,[],,,,-1,1
302000001,[],1,-1,302,-1,2|100002|1,999,1,-1,999|2|100,999|2|200,1,-1,-1,[],,,,-1,1
303000001,[],1,-1,303,-1,2|210002|5,999,1,-1,999|2|250,,1,-1,-1,[],,,,-1,1
304000001,[],1,-1,304,-1,2|210003|1,999,1,-1,999|2|150,999|2|200,1,-1,-1,[],,,,-1,1
305000001,[],1,-1,305,-1,2|241|25,999,1,-1,999|2|60,999|2|75,1,-1,-1,[],,,,-1,1
306000001,[],1,-1,306,-1,2|242|25,999,1,-1,999|2|60,999|2|75,1,-1,-1,[],,,,-1,1
307000001,[],1,-1,307,-1,2|201001|1,999,1,-1,999|2|75,999|2|150,1,-1,-1,[],,,,-1,1
308000001,[],1,-1,308,-1,2|201002|1,999,1,-1,999|2|280,999|2|400,1,-1,-1,[],,,,-1,1
309000001,[],1,-1,309,-1,2|243|25,999,1,-1,999|2|60,999|2|75,1,-1,-1,[],,,,-1,1
310000001,[],1,-1,310,-1,999|4|400,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
311000001,[],1,-1,311,-1,999|5|400,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
312000001,[],1,-1,312,-1,999|6|20,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
313000001,[],1,-1,313,-1,2|203|10,999,1,-1,999|2|100,,20,-1,-1,[],,,,-1,1
314000001,[],1,-1,314,-1,2|301|10,999,1,-1,999|11|250,,999,-1,-1,[],,,,-1,1
315000001,[],1,-1,315,-1,2|301|1,999,1,-1,999|2|25,999|2|50,20,-1,-1,[],,,,-1,1
316000001,[],1,-1,316,-1,2|206|100,999,1,-1,999|2|50,999|2|800,6,-1,-1,[],,,,-1,1
317000001,[],1,-1,317,-1,2|161004|1,999,1,-1,999|2|20,,10,-1,-1,[],,,,-1,1
318000001,[],1,-1,318,-1,2|161005|1,999,1,-1,999|2|200,,10,-1,-1,[],,,,-1,1
319000001,[],1,-1,319,-1,2|241|1,999,1,-1,999|2|3,,999999999,-1,-1,[],,,,-1,1
320000001,[],1,-1,320,-1,2|242|1,999,1,-1,999|2|3,,999999999,-1,-1,[],,,,-1,1
321000001,[],1,-1,321,-1,2|243|1,999,1,-1,999|2|3,,999999999,-1,-1,[],,,,-1,1
322000001,[],1,-1,322,-1,2|202001|1,999,1,-1,999|2|60,999|2|200,1,-1,-1,[],,,,-1,1
323000001,[],1,-1,323,-1,999|3|100,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
324000001,[],1,-1,324,-1,2|200|1,999,1,-1,999|2|50,,10,-1,-1,[],,,,-1,1
325000001,[],1,-1,325,-1,2|200402|1,999,1,-1,999|2|10,999|2|15,30,-1,-1,[],,,,-1,1
326000001,[],1,-1,326,-1,2|12210100|1,999,1,-1,999|2|5000,999|2|10000,1,-1,-1,[],,,,-1,1
327000001,[],1,-1,327,-1,999|4|400,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
328000001,[],1,-1,328,-1,999|5|400,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
329000001,[],1,-1,329,-1,999|6|200,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
330000001,[],1,-1,330,-1,999|3|100,999,1,-1,999|2|1,,999999999,-1,-1,[],,,,-1,1
332000001,[],1,-1,332,-1,2|284|50,999,1,-1,999|2|16,999|2|20,3,-1,-1,[],,,,-1,1
333000001,[],1,-1,333,-1,2|220005|1,999,1,-1,999|2|300,999|2|450,1,-1,-1,[],,,,8,1
334000001,[],1,-1,334,-1,2|203035|1,999,1,-1,999|2|380,999|2|760,3,-1,-1,[],,,,7,1
335000001,[],1,-1,335,-1,2|251|1,999,1,-1,999|2|2000,999|2|5000,1,-1,-1,[],,,,10,1
336000001,[],1,-1,336,-1,2|208|1,999,1,-1,999|2|100,,9999,-1,-1,[],,,,-1,1
401000001,[],2,-1,401,-1,999|11|100,999,1,-1,999|10|100,,1,-1,-1,[],,,,-1,1
402000001,[],2,-1,402,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[],,,,-1,1
403000001,[],2,-1,403,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[202|1],,,[202|1],-1,1
404000001,[],2,-1,404,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[204|1],,,[204|1],-1,1
405000001,[],2,-1,405,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[206|1],,,[206|1],-1,1
406000001,[],2,-1,406,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[208|1],,,[208|1],-1,1
407000001,[],2,-1,407,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[210|1],,,[210|1],-1,1
408000001,[],2,-1,408,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[212|1],,,[212|1],-1,1
409000001,[],2,-1,409,-1,999|2|200,999,1,-1,999|10|200,,1,-1,-1,[214|1],,,[214|1],-1,1
410000001,[],2,-1,410,-1,2|201001|1,999,1,-1,999|10|150,,1,-1,-1,[],,,,-1,1
411000001,[],2,-1,411,-1,2|401|1,999,1,-1,999|10|2000,,1,-1,-1,[],,,,-1,1
412000001,[],1,-1,412,-1,2|402|1,999,1,-1,999|10|300,,2,-1,-1,[],,,,-1,1
413000001,[],1,-1,413,-1,2|202001|1,999,1,-1,999|10|400,,1,-1,-1,[],,,,-1,1
414000001,[],1,-1,414,-1,2|202002|1,999,1,-1,999|10|800,,1,-1,-1,[],,,,-1,1
441000001,[],1,-1,441,-1,2|154|600,999,1,-1,999|10|300,,1,-1,-1,[],,,,-1,1
442000001,[],1,-1,442,-1,2|237|3000,999,1,-1,999|10|100,,1,-1,-1,[],,,,-1,1
443000001,[],1,-1,443,-1,2|284|150,999,1,-1,999|10|50,,1,-1,-1,[],,,,-1,1
444000001,[],1,-1,444,-1,2|159|1,999,1,-1,999|10|100,,5,-1,-1,[],,,,-1,1
415000001,[],2,-1,415,-1,2|206106|1,999,1,-1,999|10|50,999|10|100,10,-1,-1,[],,,,-1,1
416000001,[],2,-1,416,-1,2|206206|1,999,1,-1,999|10|50,999|10|100,10,-1,-1,[],,,,-1,1
417000001,[],2,-1,417,-1,2|100002|1,999,1,-1,999|10|400,,2,-1,-1,[],,,,-1,1
418000001,[],2,-1,418,-1,2|202003|1,999,1,-1,999|10|2500,,1,-1,-1,[],,,,-1,1
419000001,[],2,-1,419,-1,2|203025|1,999,1,-1,999|10|50,999|10|200,20,-1,-1,[],,,,-1,1
420000001,[],2,-1,420,-1,2|203028|1,999,1,-1,999|10|50,999|10|200,20,-1,-1,[],,,,-1,1
421000001,[],2,-1,421,-1,2|203034|1,999,1,-1,999|10|50,999|10|200,20,-1,-1,[],,,,-1,1
422000001,[],2,-1,422,-1,2|10004|10,999,999,-1,999|10|50,,10,-1,-1,[],,,,-1,1
423000001,[],2,-1,423,-1,2|207001|1,999,1,-1,999|10|50,,20,-1,-1,[],,,,-1,1
424000001,[],2,-1,424,-1,2|200005|1,999,1,-1,999|10|200,,10,-1,-1,[],,,,-1,1
425000001,[],2,-1,425,-1,2|200105|1,999,1,-1,999|10|200,,10,-1,-1,[],,,,-1,1
426000001,[],2,-1,426,-1,2|200205|1,999,1,-1,999|10|200,,10,-1,-1,[],,,,-1,1
427000001,[],2,-1,427,-1,2|200305|1,999,1,-1,999|10|200,,10,-1,-1,[],,,,-1,1
428000001,[],2,-1,428,-1,2|200205|1,999,1,-1,999|10|100,999|10|200,5,-1,-1,[],,,,-1,1
429000001,[],2,-1,429,-1,2|403|1,999,1,-1,999|10|600,,2,-1,-1,[],,,,-1,1
430000001,[],2,-1,430,-1,2|236|1,999,1,-1,999|10|300,,30,-1,-1,[202|1],,,[202|1],-1,1
431000001,[],2,-1,431,-1,2|405230001|1,999,1,-1,999|10|100,,20,-1,-1,[204|1],,,[204|1],-1,1
432000001,[],2,-1,432,-1,2|405230003|1,999,1,-1,999|10|800,,5,-1,-1,[206|1],,,[206|1],-1,1
433000001,[],2,-1,433,-1,2|238|1,999,1,-1,999|10|600,,10,-1,-1,[208|1],,,[208|1],-1,1
434000001,[],2,-1,434,-1,2|404100005|1,999,1,-1,999|10|80,,20,-1,-1,[214|1],,,[214|1],-1,1
435000001,[],2,-1,435,-1,2|404100004|1,999,1,-1,999|10|20,,70,-1,-1,[212|1],,,[212|1],-1,1
436000001,[],2,-1,436,-1,2|404100003|1,999,1,-1,999|10|10,,100,-1,-1,[210|1],,,[210|1],-1,1
437000001,[],2,-1,437,-1,2|282|1,999,1,-1,999|10|500,,30,-1,-1,[206|1],,,[206|1],-1,1
438000001,[],2,-1,438,-1,2|282|1,999,1,-1,999|10|240,,4,-1,-1,[206|1],,,[206|1],-1,1
439000001,[],2,-1,439,-1,2|283|1,999,1,-1,999|10|4000,999|10|8000,2,-1,-1,[],,,,-1,1
440000001,[],2,-1,440,-1,2|30002|1,999,1,-1,999|10|400,999|10|700,3,-1,-1,[],,,,-1,1
