id,fresh,fresh_para,lv_min,open_days,order,random_num,random_type,redeem_tag,server_list,show,type
101,1,-1,1,,1,1,1,-1,,1,1
102,1,-1,1,,2,1,1,-1,,1,1
103,1,-1,1,,3,1,1,-1,,1,1
104,1,-1,1,,4,1,1,-1,,1,1
105,1,-1,1,,5,1,1,-1,,1,1
106,1,-1,1,,6,1,1,-1,,1,1
201,1,-1,1,,1,1,1,-1,,1,2
202,1,-1,1,,2,1,1,-1,,1,2
203,1,-1,1,,3,1,1,-1,,1,2
204,1,-1,1,,4,1,1,-1,,1,2
205,1,-1,1,,5,1,1,-1,,1,2
206,1,-1,1,,6,1,1,-1,,1,2
207,1,-1,1,,7,1,1,-1,,1,2
208,1,-1,1,,8,1,1,-1,,1,2
209,1,-1,1,,9,1,1,-1,,1,2
301,1,-1,1,,4,1,1,-1,,1,3
302,1,-1,1,,9,1,1,-1,,1,3
303,1,-1,1,,99,1,1,-1,,0,3
304,1,-1,1,,99,1,1,-1,,0,3
305,1,-1,1,1999|1999,99,1,1,-1,,0,3
306,1,-1,1,1999|1999,99,1,1,-1,,0,3
307,1,-1,1,,99,1,1,-1,,0,3
308,1,-1,1,,12,1,1,-1,,1,3
309,1,-1,1,1999|1999,99,1,1,-1,,0,3
310,1,-1,1,,99,1,1,-1,,0,3
311,1,-1,1,,99,1,1,-1,,0,3
312,1,-1,1,,99,1,1,-1,,0,3
313,1,-1,1,,99,1,1,-1,,0,3
314,1,-1,1,,99,1,1,-1,,0,3
315,1,-1,1,,10,1,1,-1,"10001-10107,1001-1004,1",1,3
316,1,-1,1,,14,1,1,-1,,1,3
317,1,-1,1,,11,1,1,-1,,1,3
318,1,-1,1,,5,1,1,-1,,1,3
319,1,-1,1,1999|1999,99,1,1,-1,,0,3
320,1,-1,1,1999|1999,99,1,1,-1,,0,3
321,1,-1,1,1999|1999,99,1,1,-1,,0,3
322,1,-1,1,,13,1,1,-1,,1,3
323,1,-1,1,,99,1,1,-1,,0,3
324,1,-1,1,,6,1,1,-1,"10001-10107,1001-1004,1",1,3
325,1,-1,1,,16,1,1,-1,,1,3
326,1,-1,1,,7,1,1,-1,,1,3
327,1,-1,1,,99,1,1,-1,,0,3
328,1,-1,1,,99,1,1,-1,,0,3
329,1,-1,1,,99,1,1,-1,,0,3
330,1,-1,1,,99,1,1,-1,,0,3
332,1,-1,1,78|9999,15,1,1,-1,,1,3
333,1,-1,1,,3,1,1,-1,,1,3
334,1,-1,1,,2,1,1,-1,,1,3
335,1,-1,1,,1,1,1,-1,,1,3
336,1,-1,1,,8,1,1,-1,,1,3
401,2,-1,1,,5,1,1,-1,,0,4
402,2,-1,1,,1,1,1,-1,,1,4
403,2,-1,1,,101,1,1,-1,,0,4
404,2,-1,1,,102,1,1,-1,,0,4
405,2,-1,1,,103,1,1,-1,,0,4
406,2,-1,1,,104,1,1,-1,,0,4
407,2,-1,1,,105,1,1,-1,,0,4
408,2,-1,1,,106,1,1,-1,,0,4
409,2,-1,1,,107,1,1,-1,,0,4
410,2,-1,1,,5,1,1,-1,,0,4
411,2,-1,1,,4,1,1,-1,,1,4
412,1,-1,1,,1,1,1,-1,,1,4
413,1,-1,1,,2,1,1,-1,,1,4
414,1,-1,1,,3,1,1,-1,,1,4
441,1,-1,1,36|9999,4,1,1,-1,,1,4
442,1,-1,1,,5,1,1,-1,,1,4
443,1,-1,1,78|9999,6,1,1,-1,,1,4
415,2,-1,1,1999|1999,-1,1,1,-1,,0,4
416,2,-1,1,1999|1999,-1,1,1,-1,,0,4
417,2,-1,1,,12,1,1,-1,,1,4
418,2,-1,1,,13,1,1,-1,,1,4
419,2,-1,1,,14,1,1,-1,,1,4
420,2,-1,1,,15,1,1,-1,,1,4
421,2,-1,1,,16,1,1,-1,,1,4
422,2,-1,1,,17,1,1,-1,,1,4
423,2,-1,1,,18,1,1,-1,,1,4
424,2,-1,1,,19,1,1,-1,,1,4
425,2,-1,1,,20,1,1,-1,,1,4
426,2,-1,1,,21,1,1,-1,,1,4
427,2,-1,1,,22,1,1,-1,,1,4
428,2,-1,1,,23,1,1,-1,,1,4
429,2,-1,1,,24,1,1,-1,,0,4
430,2,-1,1,6|9999,92,1,1,-1,"10001-99999,1005-9999,1-501",1,4
431,2,-1,1,,93,1,1,-1,"10108-99999,1005-9999,2-501",1,4
432,2,-1,1,,94,1,1,-1,"10108-99999,1005-9999,2-501",1,4
433,2,-1,1,,95,1,1,-1,,1,4
434,2,-1,1,,98,1,1,-1,"10108-99999,1005-9999,2-501",1,4
435,2,-1,1,,97,1,1,-1,"10108-99999,1005-9999,2-501",1,4
436,2,-1,1,,96,1,1,-1,"10108-99999,1005-9999,2-501",1,4
437,2,-1,1,,6,1,1,-1,"10001-99999,1001-9999,1-501",1,4
438,2,-1,1,,5,1,1,-1,"10001-99999,1001-9999,1-501",1,4
439,2,-1,1,69|99999,3,1,1,-1,,1,4
440,2,-1,1,59|99999,2,1,1,-1,,1,4
444,1,-1,1,100|9999,4,1,1,-1,,1,4
501,2,-1,1,,109,1,1,-1,,1,5
502,2,-1,1,,108,1,1,-1,,1,5
503,2,-1,1,,107,1,1,-1,,1,5
504,2,-1,1,,122,1,1,-1,,0,5
505,2,-1,1,,121,1,1,-1,,0,5
506,2,-1,1,,120,1,1,-1,,0,5
507,2,-1,1,,104,1,1,-1,,1,5
508,2,-1,1,135|99999,106,1,1,-1,,1,5
509,2,-1,1,,119,1,1,-1,,0,5
510,2,-1,1,,118,1,1,-1,,0,5
511,2,-1,1,,117,1,1,-1,,0,5
512,2,-1,1,,105,1,1,-1,,1,5
513,2,-1,1,,116,1,1,-1,99999,0,5
514,2,-1,1,21|1999,115,1,1,-1,"10001-10107,1001-1004,1",1,5
515,2,-1,1,,113,1,1,-1,,1,5
516,2,-1,1,,114,1,1,-1,,1,5
518,2,-1,1,,100,1,1,-1,,1,5
519,2,-1,1,,101,1,1,-1,,1,5
520,2,-1,1,,1,1,1,-1,,1,5
521,2,-1,1,,111,1,1,-1,,1,5
522,2,-1,1,,112,1,1,-1,,1,5
523,2,-1,1,,110,1,1,-1,,1,5
524,2,-1,1,,16,1,1,-1,"10001-10107,1001-1004,1",1,5
