id,alliance,fresh,function,group_order,groupOrder,name,order,refresh,refresh_cost_num,refresh_cost_type,resource_type,resourceType,server_list,shop_tag
1,-1,1,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_1,8,1,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,[999|2],[[999|2]],1-1,1
2,-1,1,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_2,9,1,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20,11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11,[999|11],[[999|11]],1-1,1
3,-1,1,207,[1|2|3|0],[1|2|3|0],ui_shop_name_3,4,-1,,,[999|2],[[999|2]],,1
4,1,2,104,[1|2|3|0],[1|2|3|0],ui_shop_name_4,5,-1,,,[999|10],[[999|10]],,3
5,-1,2,114,[1|2|3|0],[1|2|3|0],ui_shop_name_5,7,-1,,,[999|14],[[999|14]],,2
6,-1,2,41,[1|2|3|0],[1|2|3|0],ui_shop_name_6,2,-1,,,[999|2],[[999|2]],,1
7,-1,2,207,[3|2|1|0],[3|2|1|0],ui_shop_name_7,1,-1,,,[2|1003],[[2|1003]],990-999,1
12,-1,2,207,[3|2|1|0],[3|2|1|0],ui_shop_name_7,1,-1,,,[2|1003],[[2|1003]],990-999,1
14,-1,2,207,[3|2|1|0],[3|2|1|0],ui_shop_name_7,1,-1,,,[2|1003],[[2|1003]],,1
8,-1,1,207,[1|2|3|0],[1|2|3|0],alliance_tech_name_401,6,-1,,,[999|2],[[999|2]],,4
10,-1,2,207,[1|2|3|0],[1|2|3|0],alliance_tech_name_401,6,-1,,,[999|2],[[999|2]],,4
101,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_11,9,-1,,,,[],1-1,4
102,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_12,10,-1,,,,[],1-1,4
103,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_13,11,-1,,,,[],1-1,4
104,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_11,9,-1,,,,[],1-1,4
105,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_12,10,-1,,,,[],1-1,4
106,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_13,11,-1,,,,[],1-1,4
1001,-1,1,223,[1|2|3|0],[1|2|3|0],ui_shop_name_1001,3,-1,,,[2|1004],[[2|1004]],,2
11,-1,2,225,[1|2|3|0],[1|2|3|0],ui_shop_name_10,12,-1,,,[2|505],[[2|505]],,3
13,-1,2,52,[3|2|1|0],[3|2|1|0],top_resource_name_18,14,-1,,,[999|18],[[999|18]],,2
107,-1,0,49,[3|2|1|0],[3|2|1|0],top_resource_name_17,13,-1,,,[999|17],[[999|17]],,2
108,-1,0,-1,[1|2|3|0],[1|2|3|0],ui_shop_name_108,10,-1,,,[2|241],[[2|241]],1-1,4
109,-1,0,207,[1|2|3|0],[1|2|3|0],ui_shop_name_108,10,-1,,,[2|301],[[2|301]],"1-501,10001-10107",4
110,-1,0,207,[1|2|3|0],[1|2|3|0],activity_name_348,1,-1,,,[2|1011],[[2|1011]],,5
111,-1,0,207,[1|2|3|0],[1|2|3|0],activity_name_359,2,-1,,,[2|1022],[[2|1022]],,5
112,-1,0,207,[1|2|3|0],[1|2|3|0],goods_name_1023,3,-1,,,[2|1023],[[2|1023]],,5
113,-1,0,207,[1|2|3|0],[1|2|3|0],ui_shop_name_113,15,-1,,,[2|1030|2|1029],[[2|1030]|[2|1029]],"10001-19999,1001-1004,1-501",2
114,-1,0,207,[1|2|3|0],[1|2|3|0],ui_shop_name_114,16,-1,,,[2|1029],[[2|1029]],999999,2
115,-1,0,207,[1|2|3|0],[1|2|3|0],activity_name_367,2,-1,,,[2|1027],[[2|1027]],,5
10001,-1,0,207,[1|2|3|0],[1|2|3|0],ui_shop_kvk_01,1,-1,,,[2|1034],[[2|1034]],,5
116,-1,0,207,[1|2|3|0],[1|2|3|0],ui_shop_name_116,2,-1,,,[2|1035],[[2|1035]],,5
117,-1,0,207,[0|1|2|3],[0|1|2|3],goods_name_12210200,9,-1,,,[2|12210200],[[2|12210200]],,4
118,-1,2,207,[1|2|3|0],[1|2|3|0],goods_name_1045,10,-1,,,[2|1045],[[2|1045]],"1-501,10329-10544",4
119,-1,0,207,[1|2|3|0],[1|2|3|0],season_5_shop_name,2,-1,,,[2|1040],[[2|1040]],,5
