id,alterFX,alterFX_Location,angle,scale,scaleVector
1,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
2,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[100|100],"(1.0, 1.0, 1.0)"
3,Effect/Battle/CommonEffect/Fx_YuJing_spread_basic,2,0,[100|100],"(1.0, 1.0, 1.0)"
4,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[100|100],"(1.0, 1.0, 1.0)"
5,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[100|100],"(1.0, 1.0, 1.0)"
101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,0,0,[4000|200],"(40.0, 2.0, 1.0)"
102,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,0,0,[2000|200],"(20.0, 2.0, 1.0)"
103,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[1000|1000],"(10.0, 10.0, 1.0)"
104,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,3,0,[2000|100],"(20.0, 1.0, 1.0)"
105,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,3,0,[1080|100],"(10.8, 1.0, 1.0)"
106,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[800|800],"(8.0, 8.0, 1.0)"
30001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
30004,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
30007,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[450|450],"(4.5, 4.5, 1.0)"
30011,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[150|150],"(1.5, 1.5, 1.0)"
30013,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1800|200],"(18.0, 2.0, 1.0)"
30014,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1800|200],"(18.0, 2.0, 1.0)"
300141,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,30,[1800|200],"(18.0, 2.0, 1.0)"
300142,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,-30,[1800|200],"(18.0, 2.0, 1.0)"
60009001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[70|70],"(0.7, 0.7, 1.0)"
60009101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60017001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[70|70],"(0.7, 0.7, 1.0)"
60017101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[300|300],"(3.0, 3.0, 1.0)"
60018001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60018101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60018102,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[400|400],"(4.0, 4.0, 1.0)"
60018201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[450|450],"(4.5, 4.5, 1.0)"
60025101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60025102,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60026101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[700|200],"(7.0, 2.0, 1.0)"
60038101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60039001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60039101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,30,[700|200],"(7.0, 2.0, 1.0)"
60039102,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,-30,[700|200],"(7.0, 2.0, 1.0)"
60039201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[200|200],"(2.0, 2.0, 1.0)"
60040101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[1100|1100],"(11.0, 11.0, 1.0)"
60040102,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[550|550],"(5.5, 5.5, 1.0)"
60040201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[1000|1000],"(10.0, 10.0, 1.0)"
60046101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[500|200],"(5.0, 2.0, 1.0)"
60046201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[600|200],"(6.0, 2.0, 1.0)"
60050001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60050101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[600|250],"(6.0, 2.5, 1.0)"
60050201,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[500|500],"(5.0, 5.0, 1.0)"
60050301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60051101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[700|700],"(7.0, 7.0, 1.0)"
60051201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1200|100],"(12.0, 1.0, 1.0)"
60059001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[70|70],"(0.7, 0.7, 1.0)"
60059101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60094001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60094201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60095001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60095201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60095301,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[400|200],"(4.0, 2.0, 1.0)"
60096001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60096101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[250|250],"(2.5, 2.5, 1.0)"
60096201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60097001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60097101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[250|250],"(2.5, 2.5, 1.0)"
60097201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[600|250],"(6.0, 2.5, 1.0)"
60097202,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[600|250],"(6.0, 2.5, 1.0)"
60098101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[200|200],"(2.0, 2.0, 1.0)"
60098201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60099001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60099101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[300|300],"(3.0, 3.0, 1.0)"
60099201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60114001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[150|150],"(1.5, 1.5, 1.0)"
60114101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60114201,Effect/Battle/CommonEffect/Fx_YuJing_spread_basic,2,0,[100|100],"(1.0, 1.0, 1.0)"
60115201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[800|300],"(8.0, 3.0, 1.0)"
60116001,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_90_basic,1,0,[300|300],"(3.0, 3.0, 1.0)"
60116101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60116201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[600|200],"(6.0, 2.0, 1.0)"
60137102,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[700|300],"(7.0, 3.0, 1.0)"
60137202,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[250|200],"(2.5, 2.0, 1.0)"
