id,bind,FX,FX_Scale,FX_time,is_stop_delete,parent,skin_FX,type
1,102,Effect/Sence/FX_shachengbao_fight,0,-1,0,3,,2
2,102,Effect/Sence/FX_baofengxue22,0,-1,0,3,,2
101,1,Effect/Battle/CommonEffect/Fx_WuLiMingZhong_Hit_01,0,500,0,1,,1
102,1,Effect/Battle/common_hit_01,0,500,0,1,,1
103,1,Effect/Battle/Boss/WyvernType10_Hit,0,500,0,1,,1
104,1,Effect/Battle/CommonEffect/Fx_ZhongDu_Hit_01,0,500,0,1,,1
105,1,Effect/Battle/CommonEffect/Fx_Fire_Hit_01,0,500,0,1,,1
106,1,Effect/Battle/CommonEffect/Fx_Ice_Hit_01,0,500,0,1,,1
107,1,Effect/Battle/CommonEffect/Fx_Ice_Hit_01_small,0,500,0,1,,1
108,1,Effect/Battle/Boss/HARFS_Skill0_Hit,0,500,0,1,,1
109,1,Seasons/S4/Effect/xiaoguai/Fx_beikeSLM_attack_hit,0,1000,0,1,,1
201,-1,Effect/Battle/CommonEffect/Fx_ZhiLiaoMingZhong_01_small,0,1000,0,1,,1
202,-1,Effect/Battle/CommonEffect/Fx_ZhiLiaoMingZhong_01,0,1000,0,1,,1
301,-1,Effect/Battle/nvwu_skill02_buff_kongju,150,-1,0,-1,,1
10001,-1,Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,0,500,1,0,,1
10301,-1,Effect/Battle/Healing_SF_Skill_2,0,1000,0,1,,1
10302,-1,Effect/Battle/Healing_SF_Skill_2_Jin,0,1000,0,1,,1
11001,1,Effect/Battle/Fx_Guard_Skill_Hit_01,0,500,0,1,,1
11101,1,Effect/Battle/Thief_Attack01_Hit,0,500,0,1,,1
12301,1,Effect/Battle/WilderHunter_skill2_hit,0,500,0,1,,1
12302,1,Effect/Battle/E_hyls_bz_attack_hit,0,500,0,1,,1
12303,-1,Effect/Battle/WilderHunter_ZW_hit,50,1500,0,1,,1
12501,-1,Effect/Battle/AstrologyScholar_Skill2,0,1500,0,1,[Effect/Battle/AstrologyScholar_Skill2|Effect/Battle/AstrologyScholar_Skill2|Effect/Battle/AstrologyScholar_Skill2|Effect/Battle/AstrologyScholar_Skill2|Effect/Battle/AstrologyScholar_Skill2_skin4],1
12502,-1,Effect/Battle/AstrologyScholar_Special_Hit_02,0,1000,0,1,,1
12701,-1,Effect/Battle/Nun_Skill0_n,0,2000,0,1,,1
12801,-1,Effect/Battle/Magus_Skill0,0,500,0,1,,1
13101,-1,Effect/Battle/Fx_Judge_fx_hit,50,1500,0,1,,1
13201,-1,Effect/Battle/LaoBanNiang_Skill0_Hit,0,500,0,1,,1
13301,-1,Effect/Battle/ShengTu_Attack_Hit,0,500,0,1,,1
13302,1,Effect/Battle/ShengTu_Skill0_hit,0,500,0,1,,1
13701,1,Effect/Battle/E_YJ_attack_hit,0,500,0,1,,1
13702,1,Effect/Battle/E_YJ_skill1_hit,0,500,0,1,,1
13801,1,Effect/Battle/E_TLL_attack_hit,0,500,0,1,,1
13802,1,Effect/Battle/E_TLL_skill0_hit1,0,500,0,1,,1
14001,1,Effect/Battle/E_FXZ_attack_hit,0,500,0,1,,1
14002,1,Effect/Battle/E_FXZ_skill1_hit,0,500,0,1,,1
14003,1,Effect/Battle/E_FXZ_skill2_attack2,0,500,0,1,,1
14101,1,Effect/Battle/FengBaoSN_Hit_001,0,500,0,1,,1
14201,1,Effect/Battle/HaoShi_Skill2_Hit,0,500,0,1,,1
14401,1,Effect/Battle/HuanChaoShi_Hit,50,500,0,1,,1
14601,0,Effect/Battle/zhujiao_SkIll1,50,500,0,1,,1
14602,0,Effect/Battle/zhujiao_Attack,50,500,0,1,,1
14603,0,Effect/Battle/zhujiao_ZW_hit,50,1000,0,1,,1
14701,0,Effect/Battle/sunwukong_ZW_hit,50,500,0,1,,1
14901,0,Effect/Battle/Fx_nezha_hit,50,800,0,1,,1
15001,1,Effect/Battle/Fx_famingjia_attack_hit,30,800,0,1,,1
15002,1,Effect/Battle/Fx_famingjia_skill0_pao_hit,30,800,0,1,[Effect/Battle/Fx_famingjia_skill0_pao_hit|Effect/Battle/Fx_famingjia_skill0_pao_hit_skin1|Effect/Battle/Fx_famingjia_skill0_pao_hit_skin2],1
15101,0,Effect/Battle/huajiang_attack_hit,30,800,0,1,,1
15102,0,Effect/Battle/huajiang_ZW_hit02,30,800,0,1,,1
15201,0,Effect/Battle/Fx_anyingmushi_skill2_hit,30,800,0,1,,1
15202,0,Effect/Battle/Fx_anyingmushi_debuff,30,1000,0,1,,1
15203,0,Effect/Battle/Fx_anyingmushi_attack_hit,30,1000,0,1,,1
15301,0,Effect/Battle/Fx_nvpu_skill03_hit,30,1000,0,1,,1
15401,0,Effect/Battle/Fx_nvpu_skill03_hit,30,1000,0,1,,1
15402,0,Effect/Battle/Fx_zhihuanshi_ZW_mogu_hit,30,1000,0,1,,1
25010,0,Effect/Battle/Fx_zhihuanshi_attack_hit/zqj_mb_hit,30,1000,0,1,,1
60051,1,Effect/Battle/Boss/Skull_Shaman_attack_hit,50,500,0,1,,1
60209,1,Effect/Battle/Boss/TZ_attack_fly_Hit,0,500,0,1,,1
60210,0,Effect/Battle/Boss/LJX_Skill2_Hit,0,500,0,1,,1
60212,1,Effect/Battle/Boss/SJ_Hit,0,500,0,1,,1
60213,1,Effect/Battle/Boss/YXL_Hit,0,500,0,1,,1
60214,0,Effect/Battle/Boss/GL_Skill2,40,1000,0,1,,1
60248,0,Effect/Battle/Boss/sangshilong_attack_hit,40,1000,0,1,,1
60308,0,Seasons/S2/Effect/Boss/BSSS_skill00_hit,50,1000,0,1,,1
60339,0,Seasons/S2/Effect/monster/Fx_HSJSN_atk,0,1000,0,1,,1
60352,0,Seasons/S2/Effect/monster/Fx_FBYS_atk_end,0,1000,0,1,,1
60366,0,Seasons/S3/Effect/BOSS/S3_XYJF_skill2_hit,0,1000,0,1,,1
60368,0,Seasons/S3/Effect/BOSS/S3_XXGNW_attack1_sj,0,1000,0,1,,1
60376,0,Seasons/S3/Effect/BOSS/S3_JSXN_attack_hit,50,1000,0,1,,1
6037701,1,Seasons/S3/Effect/BOSS/S3_YW02_skill1_hit,50,1000,0,1,,1
6037702,1,Seasons/S3/Effect/BOSS/S3_YW02_skill2_hit,0,1000,0,1,,1
60392,1,Seasons/S3/Effect/monster/S3_XXG_skill2_sj,0,1000,0,1,,1
60396,0,Seasons/S3/Effect/monster/S3_MGFS_skill0_sj,0,1000,0,1,,1
60420,1,Seasons/S4/Effect/Boss/Fx_S4_boss_Heichaonvwang_Skill1_Hit,0,1000,0,1,,1
60431,1,Seasons/S4/Effect/xiaoguai/FX_dianyao_attack_hit,0,1000,0,1,,1
6043101,1,Seasons/S4/Effect/xiaoguai/FX_dianyao_skill0_hit,0,1000,0,1,,1
71041,0,Effect/Battle/Boss/muou_skill0_buff1,0,1000,0,1,,1
10001011,-1,Effect/Battle/Humam_Attack_02,0,500,1,-1,,1
10001111,-1,Effect/Battle/Humam_SF_Skill0,0,1000,0,-1,,1
10001201,-1,Effect/Battle/Humam_Skill1_SF,0,500,1,-1,,1
10001211,-1,Effect/Battle/Humam_Skill1,0,800,0,-1,,1
10002111,-1,Effect/Battle/Archer_Attack_SF,0,500,0,-1,,1
10002211,-1,Effect/Battle/Archer_Skill1_SF,0,500,0,-1,,1
10004011,-1,Effect/Battle/Knight_Attack_01,0,500,0,-1,,1
10004111,-1,Effect/Battle/Knight_Skill_1,0,650,0,-1,,1
10004112,-1,Effect/Battle/Knight_Skill_1,150,650,0,-1,,1
10004113,-1,Effect/Battle/Knight_Skill_1,187,650,0,-1,,1
10004114,-1,Effect/Battle/Knight_Skill_1,300,650,0,-1,,1
10004115,-1,Effect/Battle/Knight_Skill_1,187,650,0,-1,,1
10004116,-1,Effect/Battle/Knight_Skill_1,187,650,0,-1,,1
10004117,-1,Effect/Battle/Knight_Skill_1,300,650,0,-1,,1
10004201,-1,Effect/Battle/Knight_Skill2_SF,0,500,1,-1,,1
10004211,-1,Effect/Battle/Knight_Skill2_Dilie2,0,1000,0,-1,,1
10005111,-1,Effect/Battle/Dance_SF_skill_1_n,0,2000,0,-1,,1
10005211,-1,Effect/Battle/Dance_SF_skill_2_n,0,2000,0,-1,,1
10007211,-1,Effect/Battle/Trade_Skill02,0,2000,0,-1,,1
10008311,-1,Effect/Battle/Druid_SF_Skill2_SF,0,1500,0,-1,,1
10008802,-1,Effect/Battle/Druid_ZW_SF,0,1500,1,-1,,1
10009011,-1,Effect/Battle/Fx_Ironsmith_Attack_01,0,500,0,-1,,1
10009101,-1,Effect/Battle/Fx_Ironsmith_Skill1_SF,0,1000,1,-1,,1
10009111,-1,Effect/Battle/Fx_Ironsmith_Skill_01,0,500,0,-1,,1
10009211,-1,Effect/Battle/Fx_Ironsmith_Skill_02,0,2000,0,-1,,1
10010011,-1,Effect/Battle/Fx_Guard_Attack_01,0,500,0,-1,,1
10010211,-1,Effect/Battle/Fx_Guard_Skill_02,0,2000,0,-1,,1
10011011,-1,Effect/Battle/Thief_Attack_01,0,500,0,-1,,1
10011111,-1,Effect/Battle/Thief_Skill_01,0,500,0,-1,,1
10012001,-1,Effect/Battle/Fx_Pathfinder_Attack_01,0,1000,1,-1,,1
10012101,-1,Effect/Battle/Fx_Pathfinder_Skill_01,0,1000,1,-1,,1
10012201,-1,Effect/Battle/Fx_Pathfinder_Skill_02,0,2000,1,-1,,1
10013211,-1,Effect/Battle/Fx_Priest_Skill_3_SF,0,1500,0,-1,,1
10014111,-1,Effect/Battle/Fx_Ranger_Skill0_SF,0,1000,0,-1,,1
10015111,-1,Effect/Battle/Convict_Attack_Skill0,0,1000,0,-1,,1
10015211,-1,Effect/Battle/Convict_Attack_Skill1,0,2000,0,-1,,1
10016011,-1,Effect/Battle/Fighter_Attack,0,1000,0,-1,,1
10016111,-1,Effect/Battle/Fighter_Skill0,0,1000,0,-1,,1
10016211,-1,Effect/Battle/Fighter_Skill1,0,1000,0,-1,,1
10017011,-1,Effect/Battle/Barbarian_Attack_01,0,500,0,-1,,1
10017111,-1,Effect/Battle/Barbarian_skill_0,0,1000,0,-1,,1
10017311,-1,Effect/Battle/Barbarian_Skill2,0,1200,0,-1,,1
10017802,-1,Effect/Battle/Fx_Barbarian_ZW_SF,0,2000,0,-1,,1
10018011,-1,Effect/Battle/SecretKeeper_Attack,0,1500,0,-1,,1
10018301,-1,Effect/Battle/SecretKeeperV2_Skill2_SF,0,500,1,-1,,1
10018311,-1,Effect/Battle/SecretKeeper_Skill2_n2,0,2000,0,-1,,1
10018312,-1,Effect/Battle/SecretKeeper_Skill2_n2,100,2000,0,-1,,1
10018313,-1,Effect/Battle/SecretKeeper_Skill2_n2,150,2000,0,-1,,1
10018314,-1,Effect/Battle/SecretKeeper_Skill2_n2,150,2000,0,-1,,1
10018315,-1,Effect/Battle/SecretKeeper_Skill2_n2,200,2000,0,-1,,1
10018316,-1,Effect/Battle/SecretKeeper_Skill2_n2,200,2000,0,-1,,1
10018802,-1,Effect/Battle/SecretKeeper_ZW_sf,0,2000,0,-1,,1
10019011,-1,Effect/Battle/TreeGuard_Attack_01,0,1000,0,-1,,1
10019301,-1,Effect/Battle/TreeGuard_Skill2,0,3000,1,-1,,1
10019802,-1,Effect/Battle/TreeGuard_ZW_SF,0,2000,0,-1,,1
10020011,-1,Effect/Battle/Swordinstructor_Attack,0,500,0,-1,,1
10020111,-1,Effect/Battle/Swordinstructor_Skill0,0,500,0,-1,,1
10020211,-1,Effect/Battle/Swordinstructor_Skill1,0,800,0,-1,,1
10020212,-1,Effect/Battle/Swordinstructor_Skill1_LV2,0,800,0,-1,,1
10020802,-1,Effect/Battle/SwordInstructor_ZW_SF,0,2000,0,-1,,1
10021011,-1,Effect/Battle/Watchman_Attack_01,0,1000,0,-1,,1
10021311,-1,Effect/Battle/Watchman_Skill3,0,1000,0,-1,,1
10022011,-1,Effect/Battle/Headhunter_Attack_01,0,700,0,-1,,1
