id,headAtlas,imageAtlas,animationtype,avatar,blood_hight,bullet_hight,deadAudio,desc,elc_hit,forward,frameChar,frameCharFramerate,frameCharScale,frameRate,head,head_Atlas,hit_hight,horse,image,image_Atlas,name,RageSkill_head,scale,show_id,specialHit
1,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,1,Avatar/Monster/Empty,100,40,death_human_monster,hero_desc_60067,,-1,,,-1,,Head_60052,,40,-1,Lihui_10006,,hero_name_60067,-1,40,-1,{elc_hit:}
2,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,1,Avatar/Monster/Empty,100,40,death_human_monster,hero_desc_60067,,1,,,-1,,Head_60052,,40,-1,Lihui_10006,,hero_name_60067,-1,40,-1,{elc_hit:}
100,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/lingzhu,170,68,Battle_die_male_1,hero_desc_10001,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Human,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_110010,Atlas/UI_Hero_Head,68,-1,Lihui_10001,,hero_name_10001,4,40,-1,{elc_hit:Effect/Battle/Spine/hit_dian}
10001,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Human,170,68,Battle_die_male_1,hero_desc_10001,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Human,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10001,Atlas/UI_Hero_Head,68,-1,Lihui_10001,,hero_name_10001,4,40,10001,{elc_hit:Effect/Battle/Spine/hit_dian}
10002,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Archer,170,68,Battle_die_male_1,hero_desc_10002,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Archer,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10002,Atlas/UI_Hero_Head,68,-1,Lihui_10002,,hero_name_10002,2,40,10002,{elc_hit:Effect/Battle/Spine/hit_dian}
10003,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Healing,170,68,Battle_die_female_1,hero_desc_10003,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Healing,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10003,Atlas/UI_Hero_Head,68,-1,Lihui_10003,,hero_name_10003,1,40,10003,{elc_hit:Effect/Battle/Spine/hit_dian}
10004,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Knight,170,68,Battle_die_male_1,hero_desc_10004,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Knight,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10004,Atlas/UI_Hero_Head,68,-1,Lihui_10004,,hero_name_10004,4,40,10004,{elc_hit:Effect/Battle/Spine/hit_dian}
10005,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Dance,170,68,Battle_die_female_1,hero_desc_10005,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Dance,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10005,Atlas/UI_Hero_Head,68,-1,Lihui_10005,,hero_name_10005,4,40,10005,{elc_hit:Effect/Battle/Spine/hit_dian}
10006,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Old_mage,170,68,Battle_die_male_1,hero_desc_10006,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Old_mage,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10006,Atlas/UI_Hero_Head,68,-1,Lihui_10006,,hero_name_10006,1,40,10006,{elc_hit:Effect/Battle/Spine/hit_dian}
10007,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Trade,170,68,Battle_die_male_1,hero_desc_10007,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Trade,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10007,Atlas/UI_Hero_Head,68,-1,Lihui_10007,,hero_name_10007,2,40,10007,{elc_hit:Effect/Battle/Spine/hit_dian}
10008,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Druid,170,68,Battle_die_female_1,hero_desc_10008,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Druid,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10008,Atlas/UI_Hero_Head,68,-1,Lihui_10008,,hero_name_10008,2,40,10008,{elc_hit:Effect/Battle/Spine/hit_dian}
10009,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Ironsmith,170,68,Battle_die_male_1,hero_desc_10009,Effect/Battle/Spine/hit_dian2,1,Avatar/CharFrame/CharFrame_Ironsmith,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10009,Atlas/UI_Hero_Head,68,-1,Lihui_10009,,hero_name_10009,4,40,10009,{elc_hit:Effect/Battle/Spine/hit_dian2}
10010,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Guard,170,68,Battle_die_female_1,hero_desc_10010,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Guard,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10010,Atlas/UI_Hero_Head,68,-1,Lihui_10010,,hero_name_10010,2,40,10010,{elc_hit:Effect/Battle/Spine/hit_dian}
10011,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Thief,170,68,Battle_die_male_1,hero_desc_10011,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Thief,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10011,Atlas/UI_Hero_Head,68,-1,Lihui_10011,,hero_name_10011,4,40,10011,{elc_hit:Effect/Battle/Spine/hit_dian}
10012,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Pathfinder,170,68,Battle_die_male_1,hero_desc_10012,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Pathfinder,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10012,Atlas/UI_Hero_Head,68,-1,Lihui_10012,,hero_name_10012,4,40,10012,{elc_hit:Effect/Battle/Spine/hit_dian}
10013,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Priest,170,68,Battle_die_female_1,hero_desc_10013,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Priest,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10013,Atlas/UI_Hero_Head,68,-1,Lihui_10013,,hero_name_10013,1,40,10013,{elc_hit:Effect/Battle/Spine/hit_dian}
10014,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Ranger,170,50,Battle_die_male_1,hero_desc_10014,Effect/Battle/Spine/hit_dian,1,Avatar/CharFrame/CharFrame_Ranger,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10014,Atlas/UI_Hero_Head,50,-1,Lihui_10014,,hero_name_10014,4,40,10014,{elc_hit:Effect/Battle/Spine/hit_dian}
10015,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Convict,170,68,Battle_die_male_1,hero_desc_10015,Effect/Battle/Spine/hit_dian2,1,Avatar/CharFrame/CharFrame_Convict,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10015,Atlas/UI_Hero_Head,68,-1,Lihui_10015,,hero_name_10015,3,40,10015,{elc_hit:Effect/Battle/Spine/hit_dian2}
10016,Atlas/UI_Hero_Head,Atlas/UI_Hero_Lihui,2,Avatar/Spine/Hero/Fighter,170,68,Battle_die_male_1,hero_desc_10016,Effect/Battle/Spine/hit_dian2,1,Avatar/CharFrame/CharFrame_Fighter,[6|15|15|15|15|15|15],86,{idle:6|run:15|attack:15|work:15|sleep1:15|sleep2:15|sleep3:15},Head_10016,Atlas/UI_Hero_Head,68,-1,Lihui_10016,,hero_name_10016,1,40,10016,{elc_hit:Effect/Battle/Spine/hit_dian2}
