id,carryIconAtlas,carry_icon,carry_icon_atlas,citybuilding,defaultPathNode,dirType,endAnimeList,endbubble,endBubbles,endstate,IsShowProgressBar,lasttime,moveto_slot,ProgressBarOffset,progressPos,publicuse,skinID,startAnimeList,startbubble,startBubbles,startstate,type
100,Atlas/UI_Item,icon_20007,,106,,0,[village_carry|carry],[bubble_emoji_3|bubble_work_7|||bubble_work_6],[bubble_emoji_3|bubble_work_7|||bubble_work_6],[village_carry|carry],1,20,0,[0|4],[0|4],0,50012,[cut|cut],[bubble_work_1|||||bubble_work_2|bubble_work_5|bubble_sleep_1],[bubble_work_1|||||bubble_work_2|bubble_work_5|bubble_sleep_1],[cut|cut],0
101,Atlas/UI_Item,icon_20004,,107,,0,[village_carry|carry],[bubble_emoji_3|bubble_work_7|||bubble_work_6],[bubble_emoji_3|bubble_work_7|||bubble_work_6],[village_carry|carry],1,20,0,[0|3],[0|3],0,51011,[dig|dig],[bubble_work_3|bubble_work_2|||bubble_work_6|bubble_sleep_2],[bubble_work_3|bubble_work_2|||bubble_work_6|bubble_sleep_2],[dig|dig],0
102,Atlas/UI_Item,,,102,,0,[run],,[],[run],0,0,0,[0|0],[0|0],1,-1,[],,[],,0
103,Atlas/UI_Item,,,108,,0,[run],,[],[run],0,60,0,[0|0],[0|0],0,-1,[work|work],,[],[work|work],1
104,Atlas/UI_Item,,,109,,0,[run],,[],[run],0,60,0,[0|0],[0|0],0,-1,[work|work],,[],[work|work],1
105,Atlas/UI_Item,icon_20008,,110,,0,[village_carry|carry],[bubble_relax_7||||bubble_work_6],[bubble_relax_7||||bubble_work_6],[village_carry|carry],0,10,0,[0|0],[0|0],1,-1,[work|work],,[],[work|work],0
106,Atlas/UI_Item,,,110,,0,[run],,[],[run],0,0,0,[0|0],[0|0],1,-1,[],,[],,0
107,Atlas/UI_Item,icon_20001,,110,,0,[village_carry|carry],,[],[village_carry|carry],0,10,0,[0|0],[0|0],1,-1,[work|work],[bubble_emoji_1|||bubble_emoji_0],[bubble_emoji_1|||bubble_emoji_0],[work|work],0
108,Atlas/UI_Item,,,110,,0,[run],,[],[run],0,0,0,[0|0],[0|0],1,-1,[],[bubble_emoji_3|||bubble_work_6],[bubble_emoji_3|||bubble_work_6],,0
109,Atlas/UI_Item,icon_20007,,102,,0,[village_carry|carry],,[],[village_carry|carry],0,0,0,[0|0],[0|0],1,-1,[],,[],,0
