id,boundColor,color1,color2,glowColor
1,ffa736,dc5b22,,FF7136
2,ff6564,cd3632,,ff3641
3,3aff4d,32e631,,3aff4d
4,4aedff,22a3dc,,36c3ff
5,c762ff,7429d6,,9c36ff
6,fff636,dcb822,,ffd536
7,76ffe5,11be91,,27e8be
8,837cff,3835d2,,7745ff
9,ff52dd,d02e7b,,ff367a
10,ff5e53,d1351c,,f53a1b
11,76F5A4,78CA2F,,64E994
12,98ddfd,728ac5,,80abfe
13,61CDFF,3651C3,,427FF5
14,BE7BFD,9C1E82,,CC45FF
15,58EAFC,0F8A9C,,2FD0FB
16,cbfa6f,a3ad4b,,acd923
17,76f5a4,809f64,,62c987
18,e1c1ff,b17da6,,d784f6
19,ffbcad,d9764d,,ff7854
20,fceb58,df9847,,fbba2f
21,E4FA6F,C1D130,,E0FF83
22,76DCF5,52C9E2,,59E3EE
23,FEC1FF,E051F1,,FF88E8
24,ffbcad,d9764d,,ff7854
25,FCAD58,B06D20,,E2A116
