id,buy_limit,buy_type,icon_desc,is_open,item_id,name,price,target,type
1,1,2,,1,[2|204|5],,5000,,1
2,1,2,,1,[2|204|5],,5000,,1
3,3,1,,1,[2|204|10],,1500,,1
4,3,1,,1,[2|204|10],,2000,,1
5,10,1,,1,[2|204|20],,300,,1
6,10,1,,1,[2|200002|5],,750,,1
7,100,1,,1,[2|10031|1],SSR人类坦克【光盾】,120,,2
8,100,1,,1,[2|10017|1],SSR部落坦克【蛮斗士】,120,,2
9,1,2,,1,[7|131|1],999联盟城堡【黄金狮鹫】,10000,,2
10,9,2,,1,[6|104501|1],敬火种的荣光,900,,2
11,9,2,,1,[6|30002|1],遮阳伞,900,,2
12,9,2,,1,[6|30001|1],躺椅,300,,2
13,9,2,,1,[6|30003|1],水果桌,300,,2
14,9,2,,1,[6|30004|1],冲浪板,300,,2
15,9,2,,1,[6|30005|1],沙堡,300,,2
16,1,1,,1,[2|210003|10],橙卡英雄碎片,800,,2
17,1,1,,1,[2|100002|1],体力25,100,,2
18,1,1,,1,[2|201|5],抽卡券,400,,2
19,1,1,,1,[999|2|100],突破材料自选箱,200,,2
20,100,1,,1,[2|10031|1],SSR人类坦克【光盾】,120,,3
21,100,1,,1,[2|10027|1],SSR人类治疗【修女】,120,,3
22,100,1,,1,[2|10017|1],SSR部落坦克【蛮斗士】,120,,3
23,100,1,,1,[2|10023|1],SSR部落输出【荒野猎手】,120,,3
24,1,2,,1,[7|151|1],328城堡【大都会】,4000,,3
25,9,2,,1,[6|104501|1],敬火种的荣光,900,,3
26,9,2,,1,[6|104401|1],一食一思,300,,3
27,9,2,,1,[6|104403|1],龙潭密宝,300,,3
28,9,2,,1,[6|104404|1],幽谷明灯,300,,3
29,9,2,,1,[6|104402|1],最初的光荣,300,,3
30,5,2,,1,[4|531130|1],人族防御衣服,6000,,3
31,5,2,,1,[4|532130|1],人族防御头盔,6000,,3
32,5,2,,1,[4|533130|1],人族防御鞋子,6000,,3
33,5,2,,1,[4|534130|1],人族防御武器,6000,,3
34,1,1,,1,[2|210003|10],橙卡碎片,2000,,3
35,1,1,,1,[2|100002|1],体力药水25,100,,3
36,1,1,,1,[2|201|5],抽卡券,1500,,3
37,1,1,,1,[999|2|100],突破材料自选,300,,3
38,100,1,,1,[2|10035|1],SSR自然坦克【贤者】,120,,4
39,100,1,,1,[2|10027|1],SSR人类治疗【修女】,120,,4
40,1,2,,1,[7|112|1],不败荣耀低级,2000,,4
41,1,2,,1,[2|20112|1],不败荣耀升级道具,8000,,4
42,9,2,,1,[6|105501|1],嶙峋石堆,900,,4
43,9,2,,1,[6|105401|1],小聚餐桌,300,,4
44,9,2,,1,[6|105402|1],休闲吊床,300,,4
45,9,2,,1,[6|105403|1],大叶盆栽,300,,4
46,9,2,,1,[6|105404|1],悠悠吊灯,300,,4
47,1,1,,1,[2|210003|10],橙卡英雄碎片,800,,4
48,1,1,,1,[2|100002|1],体力25,100,,4
49,1,1,,1,[2|201|5],抽卡券,1500,,4
50,1,1,,1,[999|2|100],突破材料自选箱,300,,4
51,50,1,,1,[2|10028|1],SSR部落DPS【术士】,150,,5
52,50,1,,1,[2|10036|1],SSR自然辅助【森之少女】,150,,5
53,1,2,,1,[7|141|1],部落城堡-龙堡,6000,,5
54,9,2,,1,[6|104501|1],敬火种的荣光,3000,,5
55,9,2,,1,[6|104401|1],一食一思,800,,5
56,9,2,,1,[6|104403|1],龙潭密宝,800,,5
57,9,2,,1,[6|104404|1],幽谷明灯,800,,5
