id,day,equip_day,group,have,hero,order,position
1,99999,50,1,1,10025,1,-35
2,99999,50,1,1,10018,2,0
3,99999,50,1,1,10019,3,0
4,99999,50,1,1,10040,4,0
5,99999,50,1,1,10034,5,0
6,99999,50,1,1,10028,6,0
7,99999,50,1,1,10030,7,0
8,99999,50,1,1,10024,8,0
9,99999,50,1,1,10008,9,0
10,99999,50,1,1,10036,10,0
11,99999,50,1,1,10023,11,0
12,99999,50,1,1,10020,12,0
13,99999,50,1,1,10035,13,0
14,99999,50,1,1,10027,14,0
15,99999,50,1,1,10031,15,0
16,99999,50,1,1,10038,16,0
17,99999,50,1,1,10017,17,0
18,99999,50,1,1,10037,18,0
19,99999,50,1,1,10041,19,0
20,99999,50,1,1,10033,20,0
21,99999,50,1,1,10039,21,0
22,99999,50,1,1,10043,22,0
23,99999,50,1,1,10045,23,0
24,99999,50,1,1,10046,24,0
25,99999,50,1,1,10042,25,0
26,99999,50,1,1,10044,26,0
27,99999,50,1,1,10047,27,0
28,99999,50,1,1,10048,28,0
29,99999,50,1,1,10049,29,0
30,99999,50,1,1,10050,30,0
31,99999,50,1,1,10051,31,0
32,99999,50,1,1,10052,32,0
33,99999,50,1,1,10053,33,0
101,99999,-1,1,1,1001,1,0
102,99999,-1,1,1,2001,2,0
103,99999,-1,1,1,3001,3,0
104,99999,-1,1,1,4001,4,0
105,99999,-1,1,1,5001,5,0
106,99999,-1,1,1,6001,6,0
