id,Atlas,coordinate,coordinates,dec,findMetaIds,go_target,icon,is_show_hand,jumpParams,map_id,param1,param2,parm,pre_id,reward,scene,slg_underpalace,task_guide,type,UnEffective
1,Atlas/UI_Monster_Head,[32|70],[32|70],task_dec_1,[10111],[10111],Head_60005,-1,[10111],1,10111,3,[10111|3],-1,3001,1,-1,3,1,-1
2,Atlas/UI_Hero_Head,[32|70],[32|70],task_dec_gongjianshou,[101],[101],Head_10002,-1,[101],1,101,0,[101],1,3014,1,-1,5,2,-1
3,Atlas/UI_Item,[32|70],[32|70],task_dec_3,[10111],[10111],icon_20001,-1,[10111],1,3,10,[3|10],2,3014,1,-1,3,3,-1
4,Atlas/UI_Hero_Head,[32|70],[32|70],task_dec_shangren,[104],[104],Head_10007,-1,[104],1,104,0,[104],3,3002,1,-1,5,2,-1
5,Atlas/UI_Item,[32|70],[32|70],task_dec_3,[101|102|103|104|105|106|107|108|109|110|111],[101|102|103|104|105|106|107|108|109|110|111],icon_20007,-1,[101|102|103|104|105|106|107|108|109|110|111],1,4,5,[4|5],4,3052,1,-1,3,5,-1
6,Atlas/UI_Building,[32|70],[32|70],task_dec_miwu,[10001],[10001],Building_03,-1,[10001],1,10001,0,[10001],5,3052,1,-1,5,2,-1
7,Atlas/UI_Hero_Head,[32|70],[32|70],task_dec_cunmin,[41002],[41002],Head_20002,-1,[41002],1,41002,0,[41002],6,3027,1,-1,5,2,-1
8,Atlas/UI_Building,[32|70],[32|70],task_dec_muchang,[110],[110],Building_muchang,-1,[110],1,110,0,[110],7,3002,1,-1,1,4,-1
166,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[110],[110],Building_muchang,-1,[110],1,110,2,[110|2],8,3019,1,-1,1,101,-1
120,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,1,[117],1,117,2,[117|2],166,3052,1,-1,1,101,-1
9,Atlas/UI_Building,[32|70],[32|70],task_dec_chuansong,[20011],[20011],Building_02,-1,[20011],1,20011,0,[20011],120,3014,1,-1,5,2,1
10,Atlas/UI_Monster_Head,[32|70],[32|70],task_dec_1,[10511],[10511],Head_60043,1,[10511],1,10511,5,[10511|5],9,3066,1,-1,3,6,-1
146,Atlas/UI_Building,[32|70],[32|70],task_dec_miwu,[10002],[10002],Building_03,-1,[10002],1,10002,0,[10002],10,3052,1,-1,5,2,-1
12,Atlas/UI_Monster_Head,[32|70],[32|70],task_dec_1,[10711],[10711],Head_60020,-1,[10711],1,10711,5,[10711|5],146,3027,1,-1,3,1,-1
13,Atlas/UI_Hero_Head,[32|70],[32|70],task_dec_mofashi,[103],[103],Head_10006,-1,[103],1,103,0,[103],12,3066,1,-1,5,2,-1
14,Atlas/UI_Monster_Head,[32|70],[32|70],task_dec_1,[10611],[10611],Head_60008,-1,[10611],1,10611,5,[10611|5],13,3053,1,-1,3,1,-1
15,Atlas/UI_Monster_Head,[32|70],[32|70],task_dec_1,[15111],[15111],Head_60009,-1,[15111],1,15111,1,[15111|1],14,3066,1,-1,3,6,-1
90,Atlas/UI_Building,[32|70],[32|70],task_dec_miwu,[10005],[10005],Building_03,-1,[10005],1,10005,0,[10005],15,3015,1,-1,5,2,-1
16,Atlas/UI_Building,[96|104],[96|104],task_dec_chuansong,[20021],[20021],Building_02,-1,[20021],2,20021,0,[20021],90,3064,1,-1,5,2,-1
